prolific_id,object,colour,typicality,object_en,colour_en
53c3b85bfdf99b5098c22fe7,Ananas,blau,0,pineapple,blue
53c3b85bfdf99b5098c22fe7,Ananas,braun,100,pineapple,brown
53c3b85bfdf99b5098c22fe7,Ananas,gruen,17,pineapple,green
53c3b85bfdf99b5098c22fe7,Ananas,lila,0,pineapple,lilac
53c3b85bfdf99b5098c22fe7,Ananas,rot,88,pineapple,red
53c3b85bfdf99b5098c22fe7,Aprikose,blau,51,apricot,blue
53c3b85bfdf99b5098c22fe7,Aprikose,gelb,100,apricot,yellow
53c3b85bfdf99b5098c22fe7,Aprikose,gruen,28,apricot,green
53c3b85bfdf99b5098c22fe7,Aprikose,lila,75,apricot,lilac
53c3b85bfdf99b5098c22fe7,Aprikose,rot,100,apricot,red
53c3b85bfdf99b5098c22fe7,Aubergine,blau,5,aubergine,blue
53c3b85bfdf99b5098c22fe7,Aubergine,gelb,15,aubergine,yellow
53c3b85bfdf99b5098c22fe7,Aubergine,gruen,26,aubergine,green
53c3b85bfdf99b5098c22fe7,Aubergine,rot,13,aubergine,red
53c3b85bfdf99b5098c22fe7,Aubergine,schwarz,100,aubergine,black
53c3b85bfdf99b5098c22fe7,Avocado,blau,0,avocado,blue
53c3b85bfdf99b5098c22fe7,Avocado,gelb,0,avocado,yellow
53c3b85bfdf99b5098c22fe7,Avocado,gruen,100,avocado,green
53c3b85bfdf99b5098c22fe7,Avocado,lila,0,avocado,lilac
53c3b85bfdf99b5098c22fe7,Avocado,rot,0,avocado,red
53c3b85bfdf99b5098c22fe7,Banane,blau,0,banana,blue
53c3b85bfdf99b5098c22fe7,Banane,braun,51,banana,brown
53c3b85bfdf99b5098c22fe7,Banane,gelb,100,banana,yellow
53c3b85bfdf99b5098c22fe7,Banane,gruen,57,banana,green
53c3b85bfdf99b5098c22fe7,Banane,rot,3,banana,red
53c3b85bfdf99b5098c22fe7,Birne,blau,0,pear,blue
53c3b85bfdf99b5098c22fe7,Birne,gruen,100,pear,green
53c3b85bfdf99b5098c22fe7,Birne,lila,6,pear,lilac
53c3b85bfdf99b5098c22fe7,Birne,orange,6,pear,orange
53c3b85bfdf99b5098c22fe7,Birne,rot,7,pear,red
53c3b85bfdf99b5098c22fe7,Bohnen,blau,2,beans,blue
53c3b85bfdf99b5098c22fe7,Bohnen,gelb,38,beans,yellow
53c3b85bfdf99b5098c22fe7,Bohnen,gruen,100,beans,green
53c3b85bfdf99b5098c22fe7,Bohnen,orange,14,beans,orange
53c3b85bfdf99b5098c22fe7,Bohnen,rot,0,beans,red
53c3b85bfdf99b5098c22fe7,Bueroklammer,blau,54,paper.clip,blue
53c3b85bfdf99b5098c22fe7,Bueroklammer,braun,89,paper.clip,brown
53c3b85bfdf99b5098c22fe7,Bueroklammer,gelb,68,paper.clip,yellow
53c3b85bfdf99b5098c22fe7,Bueroklammer,grau,54,paper.clip,gray
53c3b85bfdf99b5098c22fe7,Bueroklammer,gruen,49,paper.clip,green
53c3b85bfdf99b5098c22fe7,Bueroklammer,lila,51,paper.clip,lilac
53c3b85bfdf99b5098c22fe7,Bueroklammer,orange,77,paper.clip,orange
53c3b85bfdf99b5098c22fe7,Bueroklammer,rot,64,paper.clip,red
53c3b85bfdf99b5098c22fe7,Bueroklammer,schwarz,47,paper.clip,black
53c3b85bfdf99b5098c22fe7,Erbsen,blau,5,peas,blue
53c3b85bfdf99b5098c22fe7,Erbsen,gelb,26,peas,yellow
53c3b85bfdf99b5098c22fe7,Erbsen,gruen,82,peas,green
53c3b85bfdf99b5098c22fe7,Erbsen,orange,1,peas,orange
53c3b85bfdf99b5098c22fe7,Erbsen,rot,3,peas,red
53c3b85bfdf99b5098c22fe7,Erdbeere,blau,0,strawberry,blue
53c3b85bfdf99b5098c22fe7,Erdbeere,gelb,0,strawberry,yellow
53c3b85bfdf99b5098c22fe7,Erdbeere,grau,0,strawberry,gray
53c3b85bfdf99b5098c22fe7,Erdbeere,lila,0,strawberry,lilac
53c3b85bfdf99b5098c22fe7,Erdbeere,rot,100,strawberry,red
53c3b85bfdf99b5098c22fe7,Gurke,blau,0,cucumber,blue
53c3b85bfdf99b5098c22fe7,Gurke,braun,16,cucumber,brown
53c3b85bfdf99b5098c22fe7,Gurke,gelb,0,cucumber,yellow
53c3b85bfdf99b5098c22fe7,Gurke,gruen,100,cucumber,green
53c3b85bfdf99b5098c22fe7,Gurke,rot,4,cucumber,red
53c3b85bfdf99b5098c22fe7,Kartoffeln,blau,0,potatoes,blue
53c3b85bfdf99b5098c22fe7,Kartoffeln,braun,100,potatoes,brown
53c3b85bfdf99b5098c22fe7,Kartoffeln,gruen,0,potatoes,green
53c3b85bfdf99b5098c22fe7,Kartoffeln,orange,90,potatoes,orange
53c3b85bfdf99b5098c22fe7,Kartoffeln,rot,1,potatoes,red
53c3b85bfdf99b5098c22fe7,Kirsche,blau,0,cherry,blue
53c3b85bfdf99b5098c22fe7,Kirsche,gelb,8,cherry,yellow
53c3b85bfdf99b5098c22fe7,Kirsche,gruen,0,cherry,green
