speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
CO,1,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,gruen,grapes,orange,5.871287128712873,14.374048397258619,0
CO,2,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Avokado,gruen,walnut,brown,97.45544554455445,11.250355329922037,100
CO,3,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,braun,Socken,orange,suglasses,yellow,53.75247524752475,23.21137908035369,56
CO,4,ANF,NA,Erbsen,gelb,Mandarine,orange,Aubergine,gruen,Socken,rot,peas,yellow,34.574257425742566,33.0633774846592,27
CO,5,NF,typical,Bohnen,gruen,Socken,gruen,Zucchini,rot,Birne,rot,beans,green,96.81188118811882,7.0650022948150974,100
CO,6,NF,atypical,Paprika,braun,Waescheklammer,braun,Birne,rot,Zucchini,rot,pepper,brown,7.772277227722771,16.44073063347176,0
CO,7,ANF,NA,Bohnen,gruen,Erdbeere,rot,Sonnenbrille,braun,Avokado,gelb,beans,green,96.81188118811882,7.0650022948150974,100
CO,8,NF,medium,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Socken,orange,banana,brown,27.643564356435643,28.33322578119753,22
CO,9,ANF,NA,Banane,braun,Zitrone,gelb,Zucchini,rot,Birne,rot,banana,brown,27.643564356435643,28.33322578119753,22
CO,10,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,gruen,apricot,red,33.148514851485146,32.654061351878994,25
CO,11,AF,NA,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,braun,Socken,rot,cherry,yellow,1.3861386138613858,3.98489723086984,0
CO,12,NF,medium,Kartoffeln,orange,Socken,orange,Aubergine,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.053709667332015,31
CO,13,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Sonnenbrille,braun,clothes.peg,orange,65.55445544554456,25.699990368684865,67
CO,14,ANF,NA,Erdbeere,rot,Bohnen,gruen,Sonnenbrille,gelb,Bueroklammer,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
CO,15,NF,typical,Zitrone,gelb,Socken,gelb,Bueroklammer,braun,Birne,gruen,lemon,yellow,99.60396039603961,2.3794083631053886,100
