speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
HW,1,NF,atypical,Gurke,rot,Socken,rot,Avokado,gruen,Bueroklammer,braun,cucumber,red,0.8316831683168312,3.449838567036707,0
HW,2,ANF,NA,Aprikose,rot,Erbsen,gelb,Waescheklammer,orange,Bueroklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
HW,3,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Aubergine,gelb,Socken,braun,tomato,green,25.99009900990099,28.5105226362145,18
HW,4,AF,NA,Paprika,braun,Paprika,rot,Sonnenbrille,orange,Birne,orange,pepper,brown,7.772277227722771,16.44073063347176,0
HW,5,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gelb,Aubergine,gelb,suglasses,brown,52.039603960396036,24.203272833267487,57
HW,6,NF,typical,Bohnen,gruen,Socken,gruen,Sonnenbrille,orange,Bueroklammer,gelb,beans,green,96.81188118811882,7.0650022948150974,100
HW,7,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Socken,braun,Birne,orange,cherry,yellow,1.3861386138613858,3.98489723086984,0
HW,8,ANF,NA,Mandarine,orange,Banane,braun,Bueroklammer,gelb,Avokado,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
HW,9,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,braun,Avokado,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
HW,10,AF,NA,Trauben,orange,Trauben,gelb,Bueroklammer,braun,Birne,rot,grapes,orange,5.871287128712873,14.374048397258619,0
HW,11,NF,medium,Aprikose,rot,Bueroklammer,rot,Birne,gruen,Sonnenbrille,orange,apricot,red,33.148514851485146,32.654061351878994,25
HW,12,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,orange,Birne,rot,lemon,yellow,99.60396039603961,2.3794083631053886,100
HW,13,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Birne,gruen,Sonnenbrille,gelb,paper.clip,red,58.821782178217816,28.540285926950347,62
HW,14,ANF,NA,Erdbeere,rot,Tomate,gruen,Sonnenbrille,gelb,Bueroklammer,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
