speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
IP,1,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,gelb,Aubergine,gelb,potatoes,orange,38.851485148514854,33.053709667332015,31
IP,2,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Bueroklammer,gruen,suglasses,brown,52.039603960396036,24.203272833267487,57
IP,3,NF,typical,Mandarine,orange,Socken,orange,Avokado,gelb,Bueroklammer,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
IP,4,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Sonnenbrille,rot,clothes.peg,orange,65.55445544554456,25.699990368684865,67
IP,5,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Birne,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
IP,6,ANF,NA,Mandarine,orange,Erbsen,gelb,Bueroklammer,rot,Socken,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
IP,7,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Birne,orange,Socken,rot,beans,green,96.81188118811882,7.0650022948150974,100
IP,8,ANF,NA,Erbsen,gelb,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,gruen,peas,yellow,34.574257425742566,33.0633774846592,27
IP,9,AF,NA,Moehre,gruen,Moehre,orange,Zucchini,gelb,Zucchini,braun,carrots,green,3.9900990099009914,13.916533368267368,0
IP,10,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,rot,Bueroklammer,gruen,peas,yellow,34.574257425742566,33.0633774846592,27
IP,11,NF,medium,Banane,braun,Sonnenbrille,braun,Aubergine,rot,Bueroklammer,rot,banana,brown,27.643564356435643,28.33322578119753,22
IP,12,AF,NA,Socken,gruen,Socken,orange,Sonnenbrille,rot,Aubergine,rot,socks,green,58.5049504950495,27.195817238088747,63
IP,13,ANF,NA,Kartoffeln,orange,Erdbeere,rot,Avokado,gelb,Socken,braun,potatoes,orange,38.851485148514854,33.053709667332015,31
IP,14,NF,atypical,Moehre,gruen,Socken,gruen,Bueroklammer,rot,Sonnenbrille,orange,carrots,green,3.9900990099009914,13.916533368267368,0
IP,15,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Socken,braun,Zucchini,braun,cherry,yellow,1.3861386138613858,3.98489723086984,0
IP,16,ANF,NA,Erdbeere,rot,Bohnen,gruen,Zucchini,braun,Socken,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
IP,17,NF,atypical,Trauben,orange,Bueroklammer,orange,Sonnenbrille,gruen,Sonnenbrille,rot,grapes,orange,5.871287128712873,14.374048397258619,0
IP,18,AF,NA,Paprika,braun,Paprika,rot,Socken,orange,Zucchini,gelb,pepper,brown,7.772277227722771,16.44073063347176,0
IP,19,NF,typical,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,gruen,lemon,yellow,99.60396039603961,2.3794083631053886,100
IP,20,NF,atypical,Gurke,rot,Waescheklammer,rot,Zucchini,braun,Socken,braun,cucumber,red,0.8316831683168312,3.449838567036707,0
IP,21,ANF,NA,Bohnen,gruen,Walnuss,braun,Sonnenbrille,rot,Aubergine,rot,beans,green,96.81188118811882,7.0650022948150974,100
IP,22,AF,NA,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Sonnenbrille,gruen,cucumber,red,0.8316831683168312,3.449838567036707,0
IP,23,ANF,NA,Aprikose,rot,Banane,braun,Sonnenbrille,gruen,Zucchini,gelb,apricot,red,33.148514851485146,32.654061351878994,25
IP,24,AF,NA,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,rot,cherry,yellow,1.3861386138613858,3.98489723086984,0
IP,25,ANF,NA,Walnuss,braun,Mandarine,orange,Zucchini,gelb,Sonnenbrille,gruen,walnut,brown,97.45544554455445,11.250355329922037,100
