speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
JW_3,1,ANF,NA,Bohnen,gruen,Erbsen,gelb,Bueroklammer,rot,Socken,braun,beans,green,96.81188118811882,7.0650022948150974,100
JW_3,2,NF,typical,Mandarine,orange,Socken,orange,Aubergine,rot,Bueroklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JW_3,3,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Aubergine,gruen,clothes.peg,orange,65.55445544554456,25.699990368684865,67
JW_3,4,NF,medium,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Waescheklammer,orange,tomato,green,25.99009900990099,28.5105226362145,18
JW_3,5,NF,typical,Erdbeere,rot,Bueroklammer,rot,Aubergine,gelb,Sonnenbrille,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
JW_3,6,ANF,NA,Mandarine,orange,Banane,braun,Avokado,gruen,Aubergine,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JW_3,7,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,rot,grapes,orange,5.871287128712873,14.374048397258619,0
JW_3,8,ANF,NA,Erbsen,gelb,Aprikose,rot,Socken,braun,Sonnenbrille,gruen,peas,yellow,34.574257425742566,33.0633774846592,27
JW_3,9,NF,atypical,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Socken,braun,grapes,orange,5.871287128712873,14.374048397258619,0
JW_3,10,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Avokado,gelb,paper.clip,red,58.821782178217816,28.540285926950347,62
JW_3,11,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,rot,carrots,green,3.9900990099009914,13.916533368267368,0
JW_3,12,ANF,NA,Tomate,gruen,Erdbeere,rot,Avokado,gelb,Bueroklammer,orange,tomato,green,25.99009900990099,28.5105226362145,18
JW_3,13,AF,NA,Paprika,braun,Paprika,rot,Aubergine,gruen,Bueroklammer,gruen,pepper,brown,7.772277227722771,16.44073063347176,0
JW_3,14,ANF,NA,Kartoffeln,orange,Bohnen,gruen,Aubergine,rot,Avokado,gelb,potatoes,orange,38.851485148514854,33.053709667332015,31
JW_3,15,AF,NA,Gurke,rot,Gurke,braun,Bueroklammer,orange,Sonnenbrille,gruen,cucumber,red,0.8316831683168312,3.449838567036707,0
JW_3,16,ANF,NA,Aprikose,rot,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen,apricot,red,33.148514851485146,32.654061351878994,25
JW_3,17,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gruen,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.053709667332015,31
JW_3,18,NF,atypical,Kirsche,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange,cherry,yellow,1.3861386138613858,3.98489723086984,0
JW_3,19,AF,NA,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,braun,socks,green,58.5049504950495,27.195817238088747,63
JW_3,20,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Avokado,gruen,Sonnenbrille,gruen,lemon,yellow,99.60396039603961,2.3794083631053886,100
JW_3,21,ANF,NA,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Waescheklammer,orange,lemon,yellow,99.60396039603961,2.3794083631053886,100
JW_3,22,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,gruen,Aubergine,rot,walnut,brown,97.45544554455445,11.250355329922037,100
