StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_2,Q5_3,Q5_4,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Your team name (i.e., the fantasy animal)",The team name (fantasy animal) for the analysis you are reviewing.,"Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the phonetic analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Rate the statistical analysis","Please rate the following aspects of the study under review with regard to how well they answer the research question (""Do speakers acoustically modify utterances to signal atypical word combinations in referring expressions?"") with the available data. - Provide an overall rating",Would the analytical methods presented produce an analysis that is:,Please explain your ratings of this analysis.,Please evaluate the choice of statistical analysis type.,Please evaluate the process of choosing variables for and structuring the statistical model.,Please evaluate the suitability of the variables included in (or excluded from) the statistical model.,Please evaluate the suitability of the structure of the statistical model.,Please evaluate choices to exclude or not exclude subsets of the data.,"Please evaluate any choices to transform data (or, if there were no transformations, but you think there should have been, please discuss that choice).",Please use this space for any additional comment you may have at this stage.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}"
2022-06-01 08:01:10,2022-06-01 08:06:56,IP Address,150.241.189.1,100,345,True,2022-06-01 08:06:57,R_33dtPdLm78AZJxa,,,,,43.3126,-1.9745,anonymous,EN,gymnothorax_spinulosus,comanthina_maculatus,16,10,13,deeply flawed and unpublishable.,"They only analyzed (coded) half of the data – I guess because of lack of time as they have done the coding manually (without using a forced aligner)
They did not take the condition (AF, NF, ANF) into account in their analysis, which lead to false conclusion because the effect of the condition is wrongly attributed to the typicality.
As ANOVA could not be applied here, they used t-test without explicitly correcting for multiple comparisons (unless I got it wrong) 
","The choice of doing multiple t-test does not seem good to me, as there are more than two modalities to compare. And it does not allow to take random factors into account.","Several dependent variables (which is not following the guidelines)
The process of structuring the statistical model is not really explained (since it’s t-test).
I acknowledge one good thing is that they rejected ANOVA because of the non-normal residuals.
","The condition should have been included as a fixed factor in the model as it clearly influences the prosody. (And not taking into account the condition leads to false conclusion on the effect of typicality)
The typicality has been included as a 3-modalities factor while I would prefer using the continuous variable typ_mean or typ_median not to loose information.
",I don’t know if we can speak about the model structure given that they only did some t-test. I would say the structure is not appropriate.,"Their choice is okay except that they did not analyzed half of the data (probably because they lack time I guess) which is not acceptable to me. They excluded errors properly, which is good. They did not exclude any outlier, which should have been done I think.","It’s okay. No transformation was applied, and I don’t think it would have been relevant.",
2022-06-01 07:31:37,2022-06-01 08:14:26,IP Address,96.242.236.104,100,2568,True,2022-06-01 08:14:26,R_3rSyqGFtq9RJdFb,,,,,40.5921,-74.6238,anonymous,EN,procambarus_mahogoni,aracana_bitatawa,90,75,80,publishable with major revision.,The explanation seems a bit inaccessible and over-complex for the given data set.,"The authors might have chosen a challenging statistical model instead of focusing on the research questions themselves. ","They chose duration and F0 of the adjective, which are good variables for answering the research question.","They are appropriate to answer the question provided given the data. ","Our minimal understanding of the model is that it is best suited for longitudinal data and for a larger data set. With that in mind, the model is too complex for the data.",N/A,"They z-normalized frequency values due to differences in sex of the participants. This was a good choice. ","We question the use of Google for frequency measures and the subsequent use of that measure in the statistical model, particularly given that we were provided with multiple measures of typicality, including a numeric one."
2022-06-01 07:41:43,2022-06-01 08:15:51,IP Address,85.245.142.120,100,2048,True,2022-06-01 08:15:52,R_1gI5xwPTZt6yfri,,,,,38.6417,-9.2401,anonymous,EN,eosipterus_pytyopsittacus,sphyrna_ellioti,40,60,45,publishable with major revision.,"This analysis aimed to examine typicality differences in duration, intensity, and F0 of the adjective-noun pair. The data processing steps were appropriate, especially the use of the MFA and the specified Praat scripts. However, the authors are not specific about which tokens they were examining, saying at one point that they were interested in the modifier-noun pair, but never further explaining whether they were looking at properties of the noun or of the adjective. Though this becomes apparent later when examining the model, their narrative description should have better detailed these choices. The choices of models and visualizations was also appropriate for their research question, but this analysis contains a critical flaw. By examining F0, duration, and intensity at the word level, the authors did not control for the fact that different segments have different expected properties. Crucially, by measuring F0 at the word onset, offset, and midpoint, they necessarily captured F0 values during some voiced and some voiceless segments, without controlling for segment identity. Similarly, by measuring the entire word duration and intensity, they introduced a lot of variation related to the fact that different words simply have different segments with different properties. This creates so much noise in the data as to make their claims very unreliable. A better method would have been to either control for segment identity, or to limit the analysis to vowels in the words and conditions of interest. ","The choice of statistical type was appropriate, and we appreciate their thoughtful choices with respect to data analysis. However, the strength of their statistics is somewhat undermined by the choice of variables, which has the outcome of producing results that are not reliable. These limitations are further discussed below. ","First and foremost, a major and critical flaw in the model is that they measured F0, intensity, and duration at the word level, as mentioned above. Since they did not control for the different segments, these measures will be so variant as to be meaningless in comparing values across typicality conditions.

In addition, the authors do not provide extensive justification for their choice of variables; essentially they are just looking for differences between typicality conditions. They do not state the direction of their hypotheses for these variables, which is a major limitation. Do the authors expect longer duration, lower/higher F0 or lower/higher intensity for entire words in the atypical condition, without controlling for segments at all? If so, what motivates these hypotheses?
","The acoustic variables were suitable for measuring acoustic differences between typicality conditions, though again, the authors did not provide a hypothesis or motivation for the variables they chose. The authors also did not control for effects of speaker, which is a major flaw given that this data set contains both male and female speakers, and F0 and intensity have been shown to vary predictably by gender. F0 measurements therefore should have been normalized, and speaker should have been added as a random effect in their model. ","The choice of a linear mixed effects model was appropriate.  The model included their variables of interest, but was limited by the fact that the F0 and intensity data was not normalized for important speaker characteristics (especially gender) which should have been included. ",N/A,"We think the authors should have normalized f0 (e.g., as a z-score according to speaker) to run measures on data that come from a variety of speakers.","There is a lot of good work here particularly in the data cleaning and statistical setup, but there are critical changes that would need to be made for the results to be meaningful: the normalization of F0 and intensity measures for each speaker, and a focus on a smaller target than the word-level, for the reasons discussed above. In addition, the authors are strongly encouraged to revisit the direction of effects in their hypotheses and to be explicit about what motivates these hypotheses. "
2022-06-01 17:17:59,2022-06-01 17:22:15,IP Address,166.88.131.233,100,255,True,2022-06-01 17:22:16,R_2cC2xQZFdnkWfVn,,,,,37.353,-121.9543,anonymous,EN,pervagor_meeki,alosa_atun,83,90,87,publishable with minor revision.,"Positives
- Pre-registration
- Well-organized report, most choices were well justified
- Statistical analyses are appropriate
- Well-defined procedure for arriving at the mixed effects model structure (starting maximal and pairing down via backward elimination)

Negatives
- Some of the pre-registered predictions are a little vague (e.g. for f0 and amplitude)
- Would have been useful to have p-levels for the model outputs (e.g., with lmerTest) as significance is hard to determine with t values alone
- Could have reported the model structure even for models that led to no significant effects
- Unclear if the fixed effects were treatment coded or not - if so, it might make more sense to use “T” as the baseline
",Mixed effects models are an appropriate analysis.,"1. There were a lot of dependent variables, some of which could be seen as redundant (e.g., both F1 and F2 and the euclidean distance between the two; several measures of duration). We would recommend narrowing down to fewer justified measures, even if the analysis is exploratory.

2. Including speech rate as a predictor is a good idea.

3. The team also nicely dealt with the uneven design by using typicality ratings rather than the typicality category. However since the ratings are not distributed equally across focus conditions (fig. 3) that might still lead to problems in the models (e.g. might be why there were convergence issues). A possible solution would be to run a separate model on each focus condition.
",The team mentions using the intensity/f0 from “den” as a control variable but it doesn’t appear to be included in any of the model structures reported,The overall model structure was well justified and there was a clear process for determining it.,"1. It would be useful to know how many trials included “den” and were therefore excluded from the analyses. The team could have included both for the /e/ analyses, adding phonetic context (/r/ or /n/) as a predictor.

2. How did the team identify “misleading or incomplete” observations, and how many were removed?
","1. We agree with the choice to center/scale trial number and speech rate (though we would suggest to use syllables x seconds rather than x minute)

2. Since the data included both male and female speakers, it would be appropriate to transform F0 and F1/F2 so that they’re both on linear scales (e.g., logging), rather than using an arbitrary 800 Hz upper limit.
",
2022-06-02 08:29:46,2022-06-02 08:39:41,IP Address,115.128.143.91,100,595,True,2022-06-02 08:39:42,R_1pMg4JzWNdrJ78X,,,,,-33.8715,151.2006,anonymous,EN,dunkleosteus_inscriptus,stygobromus_tyraica,90,80,85,publishable with minor revision.,This is an extremely comprehensive and robust analysis of the intervals of the speech dataset that are directly comparable (color adjectives in NF condition trials). The high dimensionality of the acoustic analysis is able to tease out differences between the utterances corresponding to changes in typicality. The major limitation of this approach is the restricted interval of speech which can be analyzed.,"The statistical analysis used in this study is entirely appropriate for the machine-learning methods deployed, although difficult to interpret.","The methods used to structure, evaluate and interpret the statistical models are state-of-the-art for this type of analysis.","The variables chosen for this analysis are generally appropriate, although the dataset was originally developed to analyze affective differences in speech, rather than prosodic differences. Nevertheless, one of the great advantages of this study is the use of high-dimensional acoustic parameterization, which may be able to detect differences between utterances not apparent with more simplistic acoustic characterizations.","The statistical models are structured in a way that is standard for this type of analysis, and entirely appropriate for this approach.","The exclusion of the 54 trials with notes is well motivated, as this removes utterances compromised by errors and hesitation break.  The analysis is restricted to the short interval of time corresponding to adjective production in NF trials; this selection is well explained and motivated as this technique requires directly comparable utterances, but it does mean that only a tiny subset of the data have been analyzed, so the results should be interpreted with some caution as this approach tells us nothing about overall patterns of production of the larger consistuents containing the adjectives.","The use of DCTs to parameterize the acoustic profile of the adjectives is entirely appropriate, and an effective way to efficiently represent the temporal acoustic dynamics of the speech intervals being compared.","This team have analyzed the acoustic profiles of adjectives in the NF condition utterances using a parameterized form of a set of 25 low level acoustic features originally developed for analysis of affective states in speech (GeMAPS). This is a comprehensive analysis of the way that the acoustic properties change over the speech intervals corresponding to the color words, and the data are interpreted by comparing the way that these dynamic feature sets differ with typicality, with respect to machine-learnt default characterizations.

Although this is a state-of-the art approach for affective computing, the analysis could use some further unpacking to make it more accessible to phoneticians less familiar with machine learning techniques. In particular, although the study is extremely well documented overall, it is not entirely clear how to interpret the significance of the findings, especially since the feature set used was designed to detect emotional, rather than linguistic differences between utterances.

Nevertheless, these data suggest that the utterances do differ with typicality, primarily in the spectral flux, loudness, spectral balance above and below 1 kHz, first three MFCCs, and F0 trajectories over directly comparable adjectives. It is not surprising that differences between utterances are encoded as complex combinations of acoustic properties, so this is an important contribution to the meta-study, as most teams will not have investigated multiple integrated phonetic properties, where subtle speech differences can be encoded."
2022-06-02 09:32:07,2022-06-02 09:33:24,IP Address,83.135.242.90,100,77,True,2022-06-02 09:33:25,R_e2LfBj8O2HQb1a9,,,,,50.973,7.1754,anonymous,EN,petauroides_fistulator,varanus_eulophotes,50,70,60,publishable with major revision.,"The phonetic analysis is described in great detail. The authors aim to extract average F0 values for each trial’s adjective. However, we fear that they did not regard the following issue: As an example, let us assume that two adjectives are of similar segments, i.e. that we have two productions of ‘grüne’. The segments of these two instances, however, differ in their acoustic durations. While for the first ‘grüne’ we find a relatively long vowel of the first syllable (i.e. the stressed one), for the second ‘grüne’ we find a relatively short vowel of the first syllable but a rather long nasal. Now, measuring the average F0 for both instances of ‘grüne’, we potentially find very different values even if the F0 of the stressed vowel is identical. Following the references given by the authors, this presents an issue: The vowel of the stressed syllable is the ‘main bearer’ of stress in German and thus should be main subject to any changes due to typicality; averaging F0 across all segments (ignoring their durations) potentially occludes such an effect. In sum, we think that the idea of using an average F0 is straightforward and well-motivated; however, the implementation lacks an integration of necessary detail.
The statistical analysis consists of two parts: 1) descriptive results, 2) inferential results.
Concerning 1), we are not sure why the authors include purely descriptive observations of their data. The differences shown across levels of typicality and across adjectives are small (i.e. they are small in their actual dimensions as given in the pertinent plots). The reader is not able to intuitively take away anything from the presentation but uncertainty.
Concerning 2), the authors used linear mixed-effects regression to analyse the influence of typicality on their dependent variable of choice, i.e. average F0. The authors try to obtain a more normal distribution of their F0 variable without success. However, this demonstrates that they are aware of such issues. They continue fitting their model with typicality as categorical fixed effect (3 levels) and random intercepts for speaker. We would have wished for a more in-depth discussion of how the random effect structure was chosen and why no random effects for item and/or adjective combinations were included. The authors report on the model’s residual distribution; yet they do not discuss it. We miss trimming of said residuals to achieve more reliable regression coefficients.
The overall rating is the mean of both other ratings. We chose ‘publishable with major revisions’ as we find that our concerns regarding the measurement of average F0 values as well as an overhaul of the statistical analysis is required.",We find that linear mixed-effects regression is an adequate choice of statistical analysis type.,"The authors make use of one dependent variables: average F0. The authors do provide motivation for their choice of dependent variables.
As independent variables, typicality and speaker are used. Typicality being the predictor variable of interest, including it is straightforward and requires no further motivation. Speaker was included as random effect to account for inter-speaker differences. 
As briefly mentioned above, adjective and item were not included in the modelling process, i.e. as potential random effects. This is something we would have liked to see.","Typicality is the predictor of interest; thus it should be part of any model trying to answer the present research question. However, we would have liked to see some sort of random effect variable for adjective and/or noun combinations, as well as the use of the continuous typicality variable.","We find the structure of the presented models to be overall suitable for answering the present research question. As mentioned before, a more sophisticated (initial) random effect structure – even if it is found that is does not improve the model and is to be removed – is preferable.","Data for which no typicality rating was available was removed. While this in itself is well-motivated in an analysis of typicality, we are unsure why the authors lost about 57 % of their data.","The authors attempted to transform their dependent variable, average F0, to achieve of distribution closer to a normal distribution. However, they did not succeed. Their attempt is well-motivated; proceeding after failure (which by no means is a lack of skill but due the nature of the data) is justified.",We do not have any additional comments.
2022-06-03 04:41:36,2022-06-03 04:43:12,IP Address,84.215.16.54,100,95,True,2022-06-03 04:43:13,R_qCkj0U0wFctA7cd,,,,,58.3383,8.5959,anonymous,EN,linckia_nattereri,eosipterus_pytyopsittacus,10,10,10,deeply flawed and unpublishable.,"The main problem of the proposed analysis is that it is out of the scope of the current project. The authors did not look at typicality but only at whether the noun, adjective or both were in focus (and worked only with medium typical utterances). This cannot contribute to answering the research question of the project, which was “Do speakers phonetically modulate utterances to signal atypical word combinations?”, as stated on the website.
Additionally, the report is not always clear. Some abbreviations are not explained (e.g., “ML”, p. 1), some procedures are only rapidly mentioned but not described or justified (e.g., extracting procedures for the k-means analysis), and some variables are not adequately described (acoustic measures included in the model).
Importantly, this analysis lacks reproducibility. Textgrids are not provided, even though a large amount of at least partially manual work was done to annotate them according to the PoLaR conventions. The whole PoLAR analysis is not reproducible at all. R scripts are not provided either, and the specifications of the random forests models are not provided.","The authors used a random forests classification model. The choice of the analysis is not justified, but seems appropriate with respect to what the authors are investigating.","The first step of the analysis was a k-means clustering analysis on three acoustic measures based on PoLaR labels: “the length of time coded as accent-related”, “the average scaled f0 height”, and “a measure taking into account the slopes of the f0 movement during the pitch accent”. 

The authors used the results of the k-means clustering as predictors in a random forest classification model trying to predict whether the noun, adjective or both were informationally focused. They also added some acoustic variables as additional predictors.

Running the k-means analysis first to use the results as predictors in the random forest classification analysis is standard and makes sense. However, the choice of the measures used as input to the k-means structuring is not really justified or explained. The authors just mentioned that they used PoLaR-BEAR to guide their analysis of the PoLaR labels.","The main problem with the analysis is that the dependent variable chosen does not enable the authors to address the question of typicality, as they examine whether the noun, adjective or both were focused (and, in the second model, whether there is a difference between adjective focus and other types of focus, as noun and adjective + noun seem to be marked similarly). Typicality is not included in the models.

The predictors are the results of the K-means analysis, in the form of the accent type for each word – suggesting that for each utterance, only one of the three variables (“AdjAccentTpe”, “NAccentType”, and “AdjNAccented”) contains a value, the other two being NAs (as each utterance has either the Adj, the N or both in focus). => is that a pb? Feels weird
Some additional acoustic measures were also included in the original model. However, their exact nature is not clear. It is written p2 that these are “acoustic variables of the utterance”, but authors report in the questionnaire that they “focused [their] analysis on the region of each utterance containing the determiner, adjective, and noun in the second half”. We therefore don’t know whether the f0 measures included are for the whole utterance, the NP in the second half of the utterance, or the focused word. These variables are however not kept in the final, simplified model.
In the end, the model seems to predict whether the adjective is in focus or not based on whether there is an accent on the Noun or not – the authors note than the most important factors are “about simple presence or absence of an accent”, with the specific type of accent as identified in the k-means analysis only “playing a much minor role”. The analysis does not seem very informative in the end and, again, does not address the question of typicality.","The structure seems appropriate but a lot of information is missing (package used, number of trees, number of predictors used in the random forests model). The formula for the k-means clustering analysis is missing.","The authors used only the data in the “medium typicality” condition. While their reason for doing so (only condition where there was an equal number of observations across focus types) makes sense regarding the research questions they chose to investigate, it is problematic as the common research question for the MSA project was to investigate how speakers phonetically change their utterance to reflect the typicality of the association between noun and adjective. The chosen subsets of the data cannot therefore contribute to answering the research question.","No transformations were performed, although the authors note that PoLaR annotations transform f0 values to scaled or normed pitch levels. ",
2022-06-03 10:15:25,2022-06-03 11:00:38,IP Address,134.69.55.168,100,2713,True,2022-06-03 11:00:39,R_1dA07CqsC0OqXNG,,,,,34.1325,-118.2076,anonymous,EN,hoplostethus_macrosteus,epinephelus_aztecus,60,70,80,publishable with minor revision.,"Overall, this write-up was well-written, well-explained, and left only a few questions unanswered. In terms of the phonetic analysis, we were left wondering precisely what acoustic and auditory cues the authors used to segment the determiner+adjective combination (i.e. waveform? spectrogram? periodicity? differences in intensity? formant information?). Though the textgrids were provided, including this information in the write-up improves the likelihood of faithful replicability.","The motivation for using the path models was well motivated and well-explained. ","Though the path models seem well motivated, we were unsure as to whether the DVs (duration, F0 mean, etc.) were standardized. It appeared so since the authors were comparing effect sizes/coefficients, but we were not totally clear on this. 
Overall (and we may be a bit biased due to our own usage of linear mixed-effects models), it seems that 5 separate linear mixed-effects models (that the authors included in addition) might have sufficed. ","Additionally, we expected to see a few other independent variables included in the analysis such as vowel (or color) and perhaps a variable representing a possible order effect. 
","We are not experts in path models, so to our knowledge, this seems fine. Again, it was well-motivated. ","The researchers excluded any errors in the ""notes"" tier of the textgrids. However, they do not mention exclusions based on hesitations or other types of annotations in the notes tier. No mention was made of any other exclusions, though we might wonder if there were any outliers or undefined pitch regions. We also observed many instances of creaky voice in the data, but no mention was made of this in this writeup. 
","No transformations were made for F0. Though later the authors fit individual-level models (and ran linear mixed-effects regression with participant as a random effect) to account for individual-level differences in vocal tract size, we might have expected to see these values normalized (via z-scores or semitones) for broader comparison.","On page 3, the authors focus in on the effects of pitch, saying that it ""stands out the most"", but we were not clear as to why. Its p-values were not the closest to 0.05, its effect sizes were not the largest, so we were left a bit confused. We appreciate the authors' justification of discussing nonsignificant results (since the model was well-fit), but we might have expected to see those described as ""trends""."
