StartDate,Q17,Q16,Q2,Q3,Q13,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
2022-03-18 08:47:52,lasionycteris_altavela,https://osf.io/aes8n/?view_only=232b2de4e8254af5832d63baa2a9450a,"We used a combination of GitHub and OSF as our research workflow. Each member pushed and pulled from the Github (https://github.com/doomlab/many_speeches) which automatically synced with our OSF account (https://osf.io/ycn9r/). Further,  we set up bi-weekly meetings  (as needed) and discussed the selection of the dependent variable, the structure of the analyses, and how to prepare the information for sharing the final product.","The processing of the recordings and the extraction of acoustic measurements were done with Praat praat6209, R version 4.1.1, and rPraat v. 1.3.2.1 package.",Jason: Very familiar Erin: Super Duper Familiar Ryan: Slightly familiar,"We used intensity at the segmental level as our DV. Fundamental frequency, duration, and intensity are all commonly cited correlates of stress in languages such as English and German (Baumann et al., 2007; Braun, 2006; Braun & Ladd, 2003; Katz & Selkirk, 2011; Mixdorff et al., 2015; Sityaev & House, 2003; for a review, see Gordon & Roettger, 2017). We chose intensity both because it is a reliable indicator of 
stress and contrastive focus, and because of the difficulty extracting durational information from the raw recordings. We extracted peak intensity values from each sentence under the hypothesis that the target word would be subject to contrastive focus and likely show increased duration and intensity, as well as elevated F0.","The only IV we included was typicality (as a continuous measure). This was based on the question of interest (i.e., Do speakers phonetically modulate utterances to signal atypical word combinations?). We chose to use the continuous measure of typicality, over the categorical option, because we believed it provided more information in the continuous form to explore information about the nature of typicality across the spectrum. Further, this provided one parameter estimate (b) for typicality predicting our DV, rather than categorical comparisons between each level of typicality. We also included the random intercept of participants (filename below) to control for the repeated measurement of participants which was cross classified with the item target name. Intensity ~ typ_mean + (1|target_name) + (1|filename) + (1|filename:target_name)","IV: Typicality was treated as a continuous measure, as provided in the dataset (0 to 100 typical features of the object). 

DV: We extracted intensity in dB from the segment level. We broke down each segment into (approximately) milliseconds to find the maximum intensity for the segment. 
",We did not transform any of our variables.,"We excluded any trials that were marked as ""error""","We used p < .05 as our criteria. 
","Zero 

< .001 [.000, .999]
",Pseudo-R2 < .000,"We originally discussed using typicality as a categorical variable. This model was analyzed, but then we figured out the typicality mean was included in the data, and we switched to the more descriptive version of typicality. Additionally, we discussed that the team likely wanted one parameter estimate, but the categorical option would create multiple parameter estimates (i.e., 3 b values if you compared all versions of typicality)."
2022-03-27 02:31:39,petauroides_fistulator,https://osf.io/k5bxr/?view_only=8d16018b339f4db58584bec4a89ccd0e,"Praat: multiple splitting of TextGrid and audio files; extraction of pitch information in Hz at 10 ms intervals
R: extraction of the TextGrid ‘word’ tier entries; creation of utterances as text files
webMAUS: automated transcription and segmentation of utterances (as created by R)",We used a Gaussian generalised additive mixed model as statistical technique.,"Fairly familiar, spent some years using it","We chose fundamental pitch, F0. The rational of this choice was that if intonation was different due to differences in typicality, this should become visible in the overall pitch contour.","We included a number of independent variables:
-	as parametric predictor: TYPICALITY
-	as smooth term predictor: ID
-	as random smooth terms: TRIAL, SPEAKER, TARGET_NAME, TARGET_COLOUR, COMPETITOR_NAME, COMPETITOR_COLOUR, DISTRACTOR1_NAME, DISTRACTOR1_COLOUR, DISTRACTOR2_NAME, and DISTRACTOR2_COLOUR

We chose to include as many variables as possible to account for potential effects of these variables. Including especially names and colours of non-target objects, we took into account effects which might otherwise stayed hidden. Including ID as smooth term, we accounted for the natural order of the pitch values we extracted. TYPICALITY, finally, was the predictor of interest.","Dependent variable: F0 was extracted in Hz for each target word (i.e. the noun) at intervals of 10 ms. Before the statistical analysis, F0 was transformed to semitones with a baseline frequency of 50 Hz. For each target word, F0 was measured at 10 ms intervals, starting at the onset of the word. Thus, there are multiple data points per target word.

Independent variables: ID was included to account for the natural order of the pitch values we extracted.

All other variables (as mentioned in Q5) were included in the way they are provided in the original materials. No changes have been made as we found that no changes were necessary.","Pitch in Hz as extracted by the Praat script was transformed into semitones using the hqmisc (Quené, 2014) package’s f2st function in R, with the default baseline frequency of 50 Hz. The pitch variable in Hz is given as ‘pitch’, the pitch variable in semitones is given as ‘pitch_st’.

Other variables were not transformed.
",All observations of the ‘NF’ condition were included.,We relied on p-values as obtained by multiple comparisons of the variable of interest (TYPICALITY) as contained in our GAMM. We aimed at a conservative alpha-level of 0.001 (instead of the common 0.05) to speak of significance.,"We are not aware of a widely accepted concept of effect size in GAMS, or an appropriate method thereof. We report here the estimated means and their CIs of the TYPICALITY variable’s levels:
typical: 20.39079 [19.43039, 21.35119]
medium: 21.01482 [20.05419, 21.97545]
atypical: 18.80542 [17.95549, 19.65535]","Connected to Q10, our values are given in (estimated) semitones.","To our own surprise, no roadblocks occurred."
2022-03-30 18:55:29,pervagor_meeki,https://osf.io/sfhn5/?view_only=a8cec2e3e26043f2ab0218c7a02694f2,"We force-aligned the TextGrid word boundaries with the Montreal Forced Aligner (MFA, v1) (McAuliffe et al., 2017) with the pre-trained acoustic Prosody Lab German model and the ProsodyLab German Dictionary. 

We then wrote a custom Praat code to recombine the force-aligned TextGrid output with the original TextGrid (indicating Condition, Sentence Number; replacing the erroneous phone/word tiers with those from the MFA output). We also wrote a custom script to slow down the wavfile and TextGrid for one particularly fast talker (Subject “AL”); after running the slowed soundfile/TextGrid through MFA, we wrote another custom script to speed up the MFA TextGrid to match the original for the speaker. This speed manipulation was only needed for the one subject (AL).

Average acoustic measurements over each word were acquired through Praat, using a custom analysis script.
","Each acoustic feature was separately analyzed through linear mixed effects models, using the lme4 and lmerTest packages (Bates et al., 2015; Kuznetsova, Brockhoff, & Christensen, 2017) in R (version 4.1.2, R Core Team, 2021). Separate models compared the acoustic features of the noun and the color adjective of the NF trials.

The models on the nouns included a fixed effect of Typicality (Typical, Medium, Atypical; treatment coded, reference = Typical) and by-Speaker random intercepts and slopes for Typicality. The models on the adjectives additionally included by-Word random intercepts and slopes for Typicality. In case of non-convergence or singular fit, the random effects structure was simplified by iteratively removing the random effects associated with the least amount of variance (Barr et al., 2013). Each model was run twice (reference = Typical or reference = Medium) in order to produce estimates for all contrasts.
",Very familiar (primary method for analysis),"The dependent variables were mean and max f0, mean intensity and duration for each word (nouns and adjectives in NF), as all of these acoustic features have been found to correlate with focus (Breen et al., 2010; Lam & Watson, 2010; Roettger et al., 2019). 
","The only predictor we used was the Typicality category assigned to each color-noun pair, as this was the primary manipulation in the study. 

We originally intended to include the focus condition (NF vs AF) as an additional predictor, but decided not to due to limitations of the study design (see answer to question 11).
","Dependent variables: 
Average mean and max f0, intensity (in dB) and duration were extracted at the word-level, from the nouns and color adjectives in the NF trials. Similarly to previous studies (e.g., Lam & Watson, 2010) we used a single average acoustic measurement over each word, rather than over individual vowels, because different target words in this experiment (the focused nouns) contain unequal numbers of vowels. 

Only pitch measurements within the plausible range of 78 to 300 Hz were used to calculate mean and max f0 over each word.

Independent variable:
Typicality included three levels: Typical, Medium and Atypical. Each color-noun pair in the NF condition had been already categorized as part of one of the three levels by the study coordinators based on the norming study. Typicality was treatment coded, with the reference level = ‘Typical’.
","Pitch was converted to semitones (ST; relative to 75 Hz) with the hqmisc R package (Quené, 2014), so that f0 would be on a linear scale. 

In our dataset, non-transformed f0 measurements (in Hz) are found under the column names “Mean_f0” and “Max_f0”. Transformed f0 measurements (in ST) are found under the column names “Mean_f0_st” and “Max_f0_st”.
","Only sentences in the critical Noun Focus condition were analyzed. Sentences that had been marked as containing a speech or structure error, noise or hesitation were excluded from the analyses.

Acoustic measurements exceeding 3 standard deviations from each speaker’s mean were excluded from the analyses.
","The decision was based on beta coefficients from the mixed effects models (which also represent simple effect sizes) and the corresponding p-values, for each contrast among the three Typicality levels.
","NOUNS
Measure	Contrast	Effect size (beta)	95% CI
intensity	atypical - typical	-1.06	[-1.57, -0.55]
intensity	medium - typical	-1.54	[-2.05, -1.03]
intensity	atypical - medium	0.48	[-0.04, 0.99]
duration	atypical - typical	-80.67	[-98.54, -62.79]
duration	medium - typical	33.02	[15.26, 50.78]
duration	atypical - medium	-113.69[-131.59, -95.8]
meanf0	atypical - typical	0.94	[0.51, 1.36]
meanf0	medium - typical	0.41	[0.02, 0.81]
meanf0	atypical - medium	0.53	[0.11, 0.94]
maxf0		atypical - typical	0.77	[0.43, 1.1]
maxf0		medium - typical	0.77	[0.44, 1.1]
maxf0		atypical - medium	-0.01	[-0.34, 0.33]


ADJECTIVES:
Measure	Contrast	Effect size (beta)	95% CI
intensity	atypical - typical	-0.01	[-1.3, 1.28]
intensity	medium - typical	-0.48	[-1.3, 0.35]
intensity	atypical - medium	0.47	[-0.7, 1.64]
duration	atypical - typical	3.98	[-45.55, 53.51]
duration	medium - typical	-9.65	[-52.58, 33.28]
duration	atypical - medium	13.63	[-23.73, 51]
meanf0	atypical - typical	0.16	[-0.14, 0.45]
meanf0	medium - typical	0	[-0.3, 0.29]
meanf0	atypical - medium	0.16	[-0.14, 0.46]
maxf0		atypical - typical	0.27	[0.04, 0.5]
maxf0		medium - typical	0.06	[-0.17, 0.29]
maxf0		atypical - medium	0.21	[-0.02, 0.45]
","We chose to report simple effect sizes rather than a standardized measure of effect size (e.g., eta squared), following Baguley (2009). Simple effect sizes (i.e. unstandardized regression coefficients) are easier to interpret in relation to each dependent measure of interest, and are automatically computed as the estimated beta coefficient of treatment-coded contrasts in mixed effects models. Thus, the effect sizes are in the units of each acoustic measure (Intensity: dB; Duration: ms; Mean/Max f0: ST).

This method allowed us to report an effect size for each contrast of interest (e.g., Atypical vs. Typical), while common methods to acquire standardized effect sizes (e.g., eta squared using the R package effectsize; Ben-Shachar et al., 2020) only lead to a single, less interpretable value for the effect of Typicality across all contrasts. The 95% confidence intervals for the simple effect sizes were calculated using the R package emmeans (Lenth et al., 2019).","We had to make two changes to our planned analyses, resulting from limitations of the production study design.

First, we initially intended to include by-Word random effects for the noun models to account for differences in baseline acoustic measurements (e.g., certain words being overall longer than others). However, we did not ultimately include this random effect for the noun models because, contrary to the color adjectives, target nouns were not fully crossed with Typicality (each noun was only associated with one Typicality level). 

Second, we originally intended to compare Noun Focus (NF) and Adjective Focus (AF) conditions to determine whether the effect of typicality on the noun and adjective varied as a function of whether the noun or the adjective were in focus. However, in the end we only analyzed NF trials because the data were not balanced. In the AF trials, the nouns were not counterbalanced across the 3 Typicality categories (typical, medium, atypical), but rather only contained atypical food color-noun combinations and some medium-typicality non-food nouns.

We suggest that in the final paper resulting from this study, the study description in the method should be revised to more clearly differentiate between the designs of the NF, AF and ANF conditions, as the current study description and examples used (e.g., “yellow banana” vs “blue banana” for the AF condition, which were not actual items used in AF) led us to misinterpret the design.
"
2022-04-06 04:22:09,aracana_bitatawa,https://osf.io/u5sx6/?view_only=dc3af8fe09eb49d1b90405bb9a73f260,"The extraction of acoustic measurements (F0, duration) was accomplished with Praat.",We run Quantile Generalized Additive Mixed Effects Models.,Very familiar,"We used 
*duration of the adjective and
* F0 
as the dependent variables. Reasoning: these have been mostly found to correlate with lexical predictors such as frequency or probability -- measues that can be regarded to gauge typicality. 

We did not use other dependent variables such as formants of the stressed vowel because the adjectives were not controlled for phonetic characteristics (which is technically also not possible).","The predictor of interest was typicality -- the target of this analysis. 
We also controlled for and tested  
* frequency of occurrence of the adjective-noun phrase -- which can be regarded to gauge typicality
* number of syllables of the following noun -- to account for potential duration variation in an articulatory frame
* speaking rate -- to account for contextual velocity changes affecting both, F0 and the duration of the adjective. 
* when testing F0, we also controlled for the duration of the adjective -- to account for effects of duration onto F0","dependent variables
-----------------------------
* duration - duration of the adjective, gradient variable
* F0 - extracted as a trajectory along the entire adjective, gradient variable, z-transformed across participants

independent variables
--------------------------------
* frequency of occurrence -- google count, gradient variable, log transformed
* number of syllables of the following noun -- numeric
* speaking rate -- number of syllables in entire phrase divided by the duration of the phrase in seconds","* frequency of occurrence (adjective + noun) was log transformed --> column L.Freq
* F0 was  z-scaled --> column c.F0",We used all observations.,"We used z-values provided by the qgam analysis, with absolute 2 as the significance threshold.","We have performed an analysis that gives an effect for a continuum of percentiles of the dependent variable. This is why we obtained a set of effect differences. On average, we our effect size is negative and smaller than 0.002 seconds (standard error of 0.01).",Seconds.,No.
2022-04-06 10:05:21,hoplostethus_macrosteus,https://osf.io/csujh/?view_only=3e4c9e83560d4811940b8fc4d1f65fef,"First, the target (stressed) vowels were segmented by hand in Praat. Then, a Praat script was used to extract the acoustic measurements of duration and intensity of target vowel.",We ran linear mixed-effects regression models in R using duration (in milliseconds) and maximum intensity (in decibels) as our continuous dependent variables.,Very familiar,"Our dependent variables were duration and intensity of the target vowel. We chose these variables because they are two of the few vowel variables that do not differ between male and female speakers. Since we were not provided with the gender of the participants, we did not feel we could use f0 or vowel quality, as both of these variables (and their measurements) depend heavily on vocal tract size. 
","We included ‘typicality’, ‘color’, and ‘observation’ as independent variables (fixed effects) and ‘participant’ as a random effect. We included ‘typicality’ to respond to the research question of whether speakers acoustically modify their speech with different color + noun typicality combinations. We included color in order to examine the differences in acoustic realization between the five colors. We also included Observation, a numeric variable assigned during data collection, as a possible task effect of where in the experiment the token appeared. Given what we know about variation in duration based on vowel identity, we tested models that included an interaction between color and typicality, so we could evaluate each color’s typicality separately. Finally, we included participants as a random effect to account for interspeaker variation.","Because the stressed syllable of the adjective started with either a liquid (grün, roten, braun, orangen) or a stop (gelb), we determined that measuring consonantal features such as VOT would be inappropriate. Therefore, we chose to segment the stressed vowel of each adjective. The target nuclear vowel (that of the stressed syllable in each color word) was segmented by hand using the following criteria for onset and offset of the vowel, primarily relying on oral consonantal constriction events (as recommended by Turk et al. 2006:3).
Onset:
In the case of vowel nuclei preceded by a liquid, we relied on a change in waveform amplitude between the preceding voiced liquid and the vowel nucleus, as well as clear onset of energy in the vowel’s second formant. For vowels that followed stops, we again relied on an increase in waveform amplitude, periodicity in the waveform, and clear formant energy to mark the onset of the segment (the stop burst was not included in the vowel nuclei segment). In the few instances of mismatch among these three parameters, we particularly relied on the onset of the second formant (following Turk et al. 2006) to identify oral stop closure releases. 

Offset: 
To determine the offset of the vowel nuclei, we utilized both the waveform and spectrogram and placed the offset of the vowel at the point at which amplitude in the waveform decreased accompanied by cessation of formant energy (relying specifically on the second and third formants (following Turk et al. 2006:7) when there were instances of formants offsetting at different times). 

Following nasal (grun, braun, orangen): The nasals were often accompanied by abrupt spectral changes at closure onset (cf. Turk et al. 2006:12), particularly in the middle and higher-frequency regions due to nasal antiformants, and a decrease in waveform amplitude.
Following stop (roten): The offset of the vowel was marked at the oral stop closure, indicated by a cessation of formant energy and a decrease in overall amplitude.
Following liquid (gelb): Many times there was no clear decrease in waveform amplitude, signaling a deleted or coarticulated /l/ in the word ‘gelben’. In these instances, the offset of the vowel was marked at the oral stop closure [b].

Duration: The Praat script measured the duration of the segmented target vowel.
Intensity: The Praat script measured the maximum intensity of the target vowel. 
Typicality: Typical, medium, atypical
Color: Grün, Gelb, Ro:ten, Braun, Orangen 
","We centered and scaled the duration and intensity_maximum variables to ensure normality of our data distribution. 
","During our segmentation process, we noted that some of the trials were marked with “Error” codes on the textgrid and excluded these observations from our analysis. In addition, there were some trials that were marked with “hesitation break”. If the hesitation break affected the target color + noun combination, we excluded the observation, and if it did not affect the target, we included the observation. 
Additionally, since we had normalized the duration and the intensity measures, we excluded any values that were +/- 2 standard deviations from the mean (in the case of duration, this excluded N=30 observations, leaving 830 observations, and in the case of intensity, N=33 observations were excluded, leaving 827 observations for the analysis. 
","We used p-values (alpha value of 0.05) to determine whether there was a significant effect of the independent variables on duration or intensity. 
We compared the AIC values of the models to determine the model with the best fit. 
Additionally, we calculated the marginal and conditional R-squared values of each of the models (from Nakagawa and Schielzeth (2012), using the performance R package (Lüdecke et al. 2021)). The “winning” model in each case was the model with the lowest AIC and the largest marginal and conditional R-squared values.",We found no significant main effects.,n/a,"We determined early on that we would not be able to use f0 or vowel quality, two of the predictors we thought would be most influenced by typicality, without making assumptions about the gender of the participants. We decided that it was not a sound decision to make this assumption and thus were not able to include these predictors. 
We encountered a couple of issues with segmenting which were resolved with our inter-rater reliability checks: 
At times the vowel was nasalized. 
Because of the variation in liquid realization, segmenting words such as “braunen”, “orangen”, “rot”, and “gelb” proved challenging at times. 
"
2022-04-08 14:37:53,psittacula_scabriculus,https://osf.io/ge7fm/?view_only=5bbf60695804487d9c6862f4798ebe7b,Segmentation of the data was conducted in Praat. The team member created an additional interval tier in each of the received text grid files and segmented and marked on it the vowels of the nouns in the NF trials.,We run Bayesian mixed-effect models using a Gaussian likelihood as the distribution of the outcome variable,Novice,"Vowel duration. The reason for choosing vowels for the investigation of the effects of typically was based on previous research (Bell et al., 2002; Bell et al., 2009; Bybee & De Souza, 2019; Jurafsky et al., 2000; Seyfarth, 2014). that predictability has an influence on vowels' qualitative and quantitative characteristics.","Typicality. Speakers are often overinformative, i.e. they use referring expressions that are more specific than necessary. This redundancy has been argued to facilitate object identification and more efficient communication (Arts et al. 2011, Paraboni et al. 2007, Rubio-Fernandez 2016). For example, Degen et al. (2020) show that modifiers that are less typical for a given referent (e.g. a blue banana) are more likely to be used in an overinformative scenario (e.g. when there is just one banana). As a result, atypical objects would be used in a more overinformative scenario than typical objects.","Average vowel duration was computed by averaging individual vowel durations per word for that specific speaker in that condition. For instance, <tomate> in an atypical condition has three vowels 'o', 'a' and 'e' with the duration being 0.05, 0.06, 0.05, so the average duration would be 0.053.
Typicality was operationalised as a three-level factor: typical, medium and atypical.",No transformations were conducted.,No data exclusion,The decision was conducted based on credible intervals and if it crossed or overlapped with 0.,Atypical vs typical: 0.00[-0.04 0.05],Cohen's d,No
2022-04-08 12:56:27,procambarus_mahogoni,https://osf.io/52n8b/?view_only=9d22b89ad26f40288e115830e8718f79,The processing of recordings and the extraction of acoustic measurements were done with Praat.,We fitted 3 linear mixed-effects models using the lme4 package in R.,We are all very familiar with the lme4 package in R.,"The dependent variables were duration, pitch, and intensity. This was done because those three measurements have been shown to be correlates of word stress (Gordon & Roettger, 2017).",The independent variable was typicality median. We chose this because of the research question that asked if speakers phonetically modulate utterances to signal atypical word combinations.,"For the independent variable, we treated it as a continuous measure as was provided in the dataset. For the dependent variable, we extracted duration in milliseconds, intensity in dB, and pitch in Hz.","We standardized duration, intensity, and pitch values.",N/A,We used p-values below 0.05 as a means of answering the research question.,"None of the models revealed significant p-values nor large or medium effect sizes. From duration, pitch, and intensity on typicality all effect sizes were small.",Cohen's D,N/A
2022-04-11 01:47:25,stygobromus_tyraica,https://osf.io/4jzgd/?view_only=8730bd46a96a4626a54e23f023cffa54,"Word- and phone-level forced alignment was performed using Montreal Forced Aligner v2.0, using the pretrained (Prosodylab) German acoustic model and accompanying pronunciation dictionary (edited to include alternative transliterations in the TextGrids, e.g. grünen/gruenen).

Further trimming of recordings was accomplished in Praat.

Acoustic features were extracted using the openSMILE 3.0 toolkit and the “extended Geneva Minimalistic Acoustic Parameter Set” (eGEMAPS) v02, which comprises 25 acoustic features measured at 10 ms intervals. These features were extracted using the reticulate R package interface to the openSMILE Python package.","We trained an extreme gradient boosting model to perform a multiclass classification task, using the XGBoost R package. The acoustic features were used as independent variables and a three-class representation of typicality for the outcome variable.","With the general approach (supervised machine learning classification task), quite familiar: 8/10. With the specific approach (extreme gradient boosting), moderately familiar: 6/10.","Typicality (categorical).

Rationale: If speakers do systematically modulate utterances, then there will be phonetic and acoustic consequences of this modulation. If there are acoustic consequences, then using relevant acoustic parameters to classify and predict typicality category should produce a greater-than-chance outcome. Using typicality as the outcome variable allowed us to incorporate multiple input features in our investigation of how the acoustic signal may be modulated, while maintaining a single effect size output.","We chose to incorporate all 25 low-level acoustic features from the openSMILE “extended Geneva Minimalistic Acoustic Parameter Set” (eGEMAPS) v02 feature set, as well as duration, aimed at making use of the frequency, energy, spectral and temporal dimensions to capture acoustic patterns in relation to stress, accent and aspects of voice quality.","Categorical dependent variable (typicality: “atypical”, “medium”, “typical”): operationalized as zero-based ordinal factor.

All acoustic independent variables: extracted at the word level, at 10 ms intervals across the duration of the modifier adjective.

Duration (independent variable): extracted at the word level.

Acoustic features were included for only the adjectives (i.e. the color words), since these words are the same across the three typicality conditions whereas the nouns are not.","We performed discrete cosine transform (DCT) on all acoustic variables except duration, over the interval of the entire word, and retained the first four coefficients (named with the suffixes x0-x3). This resulted in 101 features for each speaker (4 DCT coefficients x 25 openSMILE features, + duration). These 101 features were centered and scaled (i.e. z-score transformed) for each speaker.","We excluded trials with non-empty “notes” in the provided TextGrids (indicating errors, hesitations, etc.). No other observations (e.g., acoustic feature outliers) were removed.",p-value from one-tailed binomial test of whether model accuracy is higher than the no-information rate.,"15.37% [11.95%, 18.79%].",(Percentage) accuracy above chance level (i.e. the no-information rate).,"Initially, we used random sampling for tuning the values of the XGBoost hyperparameters. After further consideration, we came to the conclusion that this approach is anti-conservative. We then changed the approach to use random speaker-wise folds, in the same manner that was applied to building the final models."
2022-04-11 09:13:53,eriphia_laterispinis,https://osf.io/q8ru2/?view_only=e0ddb34a25ef42c5bfb5a0068f2b99cf,"The acoustic measurements were extracted using the PraatR, rPraat, and phonfieldwork packages (Albin, 2014; Bořil & Skarnitzl, 2016; Moroz, 2020) in R version 4.1.2 (R Core Team, 2020).","We fitted a multivariate (i.e., with multiple outcomes) multilevel Bayesian regression model using the brms package (Bürkner, 2017).",Quite familiar (wrote some tutorials about it).,"We chose to focus on three acoustic measurements: the F0, the intensity, and the duration. As the time alignment for the words tier was not available, we computed the average F0, intensity, and duration of the whole sentence.","We only used the typicality categories from the norming study as predictor. Because we were interested in assessing the effects of typicality, we chose to remove medium-typical items to focus on the comparison between highly atypical and highly typical items (included as a binary predictor in the model).","We chose to focus on three acoustic measurements: the F0, the intensity, and the duration. As the time alignment for the words tier was not available, we computed the average F0, intensity, and duration of the whole sentence.","Because speakers have very variable baseline levels of F0 or intensity, our three acoustic measurement were standardised (i.e., subtracting the mean and dividing by the standard deviation) per speaker.",We did not exclude observations.,"We used both the standardised regression coefficient (the slope), its 95% credible interval, a standardised mean difference, and a BF to answer the research question.","Our analyses revealed a negative effect of typicality on the average F0, with atypical items having a higher average F0 than typical items (𝛽 = -0.469, 95% CrI [-0.626, -0.313], 𝛿𝑡 = -0.479, 95% CrI [-0.642, -0.317]), but a positive effect of typicality on the average intensity (𝛽 = 0.308, 95% CrI [0.145, 0.469], 𝛿𝑡 = 0.304, 95% CrI [0.142, 0.464]) and average duration
(𝛽 = 0.274, 95% CrI [0.116, 0.434], 𝛿𝑡 = 0.276, 95% CrI [0.116, 0.436]).","The effect size is a standardised mean difference (computed from the model's estimates, see the RMarkdown document for code details).","Yes. We initially planned on conducting our analyses at the word level, but then realised than the time alignement was not available for words. Because we had not enough time (or skill) to perform the alignement ourselves, we decided to focus on the sentence level."
2022-04-11 13:50:21,trapezia_cantonensis,https://osf.io/8efv2/?view_only=433cd82c91734325aa15d408738ed522,"All acoustic processing was done via Praat. Text was aligned to the audio manually. Acoustic measurements (F1, F2, F3, intensity, duration, F0) were extacted using Fast Track, a Praat plugin.","I ran generalized additive mixed-effects models on F1/F2, intensity, and F0 contours. I ran a linear mixed-effects model on durations.",Pretty familiar. I've used them in multiple publications.,"I analyzed F1, F2, intensity, F0, and duration. 

My hypothesis was that atypical treatments would be realized louder, longer, with more intensity, and with more peripheral vowels than typical treatments. The is consistent with what is often found in stressed syllables (compared to unstressed) syllables in many of the world's languages. I wasn't sure if all four of these differences would be found, but I thought I'd extract all of them and check anyway.","Typicality was the only main predictor. Adjective and speaker were also included as random effects because I expect to find differences across those groups, but I'm not particularly in those differences.","Because I used FastTrack, I was able to extract F1, F2, intensity, and F0 data every 5ms along the duration of each vowel. This resulted in formant, intensity, and fundamental frequency counters. Duration obvious does not apply across time like that, so duration measures were calculated for each vowel token.",No transformations were done.,The only observations that were excluded were in the F0 analysis. Any observation with an F0 of 0 was considered bad data and excluded.,"For the GAMMs, I used model comparison between full and impoverished models. The full model contained typicality as a predictor and the impoverished model did not. The model comparisons consider AIC scores and p-values. In all cases, the p-value was small (as it typically is in GAMMs, I've noticed), so I just examined visualizations of predicted trajectories to check for consistent effects

For the linear mixed-effects models, I used p-values of the model estimates.",I don't know of a way to calculate effect sizes for GAMMs.,unknown,"The only major obstacle was that the data was in German. I am used to using English, so it was not possible to use the tools I normally use for automatic forced-alignment. The manual aligning was easily the most time-consuming step (I spread it out over a month). Once everything was aligned, the formant extraction and most of the analysis was completed in a couple hours."
