years_from_phd,years_from_phd_sd,prior_belief,prior_belief_sd,team,animal,added_on_osf
8,NA,60,NA,T027,anthracoceros_coronata,yes
9.5,10.606601717798213,80.5,13.435028842544403,T029,lycodes_bradfieldi,yes
3.25,4.9916597106239795,71,15.165750888103101,T019,dermatolepis_aculeatus,yes
-3.75,1.7677669529663689,62.5,17.67766952966369,T034,comanthina_maculatus,yes
0,1.5,80,17.320508075688775,T048,nestor_idahoensis,yes
0,1.5,80,17.320508075688775,T049,sphyrna_ellioti,yes
7.5,12.020815280171307,78.5,2.1213203435596424,T047,clione_dorsalis,yes
3,3.9157800414902435,55.5,17.52141546793523,T025,pseudodax_euryzona,yes
4,NA,65,NA,NA,NA,NA
NA,NA,70,NA,T067,acanthopagrus_signatus,dropped
7.25,12.374368670764582,48.5,40.30508652763321,T032,anomalocaris_ornata,yes
5,NA,93,NA,NA,NA,NA
4,NA,50,NA,T024,hoplostethus_binoculata,dropped
0.5,0.7071067811865476,66,22.627416997969522,T021,manupecten_pearcei,dropped
7,NA,85,NA,NA,NA,NA
4,5.656854249492381,65,7.0710678118654755,T005,stygobromus_tyraica,yes
8.5,11.150485789118488,80.75,7.88986691902975,T009,trachurus_riukiuensis,yes
0.3333333333333333,2.309401076758503,71.66666666666667,30.138568866708543,T043,ctenosaura_limax,yes
15,NA,50,NA,T001,echeneis_occidentale,dropped
10,NA,62,NA,NA,NA,NA
-1,0,81.66666666666667,2.886751345948129,T011,petauroides_fistulator,yes
7.333333333333333,9.71253485622231,46.4,32.00468715672753,T051,pseudopleuronectes_assasi,yes
11,15.231546211727817,75.5,5.259911279353167,T059,pervagor_meeki,yes
1,NA,70,NA,T057,callorhinchus_libratus,dropped
-1,NA,60,NA,T002,butis_texana,dropped
16,9.899494936611665,90,17.320508075688775,T062,aracana_bitatawa,yes
7.571428571428571,12.765280292746453,58.75,17.902513789968157,T031,trigonias_lachneri,yes
0.5,NA,54.5,30.116440692751194,T052,aratinga_lugubris,yes
6,NA,70,NA,T036,arapaima_modularis,yes
NA,NA,45,NA,NA,NA,NA
3,NA,85,NA,T012,polymetme_brevirostrum,yes
15,4.242640687119285,62.5,17.67766952966369,T058,seigisaurus_cristatus,dropped
5.75,10.319883720275147,72.125,18.011405116917288,T037,naso_cassivellaunos,yes
14,NA,100,NA,T064,auchenoglanis_capriscus,dropped
2.5,NA,50,0,T015,varanus_eulophotes,yes
4.333333333333333,8.082903768654761,53,17.397317800933184,T039,linckia_nattereri,yes
8,NA,84,NA,T056,ceratophrys_elephantotus,yes
6.333333333333333,5.8594652770823155,71.33333333333333,21.548395145191982,T028,lasionycteris_altavela,yes
0,NA,75,NA,T035,plectorhinchus_virens,dropped
10,NA,50,NA,NA,NA,NA
1.5,NA,92,NA,T033,trapezia_cantonensis,yes
-1,NA,79.5,13.435028842544403,T071,stenomylus_hemistiktos,dropped
5.75,7.424621202458749,70,0,T061,trachyphyllia_lappa,yes
0.5,2.1213203435596424,74,22.627416997969522,T014,eriphia_laterispinis,yes
18,NA,51,NA,T060,lepophidium_ochropus,dropped
-2,0,75.66666666666667,5.033222956847166,T066,prionotus_herodias,dropped
NA,NA,22,NA,T068,orohippus_quadricornis,dropped
5,1.4142135623730951,88.5,9.192388155425117,T007,hoplostethus_macrosteus,yes
8,NA,50,NA,T044,cromileptes_saxatilis,yes
0,NA,50,NA,T053,muriceopsis_polydactyla,dropped
-1,NA,100,NA,T008,gorgasia_eleutherus,dropped
1,6.284902544988268,68.4,14.08190328045183,T013,epinephelus_aztecus,yes
6.333333333333333,7.637626158259733,76.66666666666667,5.773502691896258,T010,berardius_roseicapilla,dropped
12,NA,85,NA,T063,dunkleosteus_inscriptus,yes
11,7.0710678118654755,68.5,12.020815280171307,NA,NA,NA
6,NA,70,NA,T004,paralichthys_undulatus,yes
NA,NA,75,NA,T042,gnathosaurus_canadensis,yes
5.333333333333333,0.5773502691896257,92.75,11.89887949906769,T045,eosipterus_pytyopsittacus,yes
1,1.4142135623730951,50,10,T055,procambarus_mahogoni,yes
29,2.8284271247461903,67.5,10.606601717798213,T020,ornithorhynchus_ruficapillus,dropped
-1,NA,24,NA,NA,NA,NA
NA,NA,78,22.627416997969522,T038,opsanus_caryi,dropped
3,NA,50,NA,NA,NA,NA
3,NA,70,NA,T006,pseudechidna_nubiae,dropped
-1,0,61.666666666666664,12.583057392117917,T054,procambarus_maculosus,yes
NA,NA,70,NA,NA,NA,NA
2,NA,65,NA,NA,NA,NA
1.3333333333333333,7.571877794400365,55,22.9128784747792,T065,aphaniotis_alcockii,dropped
2,NA,70,NA,T018,kryptopterus_megistos,dropped
4,NA,50,NA,T003,choerodon_retusa,dropped
6,7,61.333333333333336,2.309401076758503,T022,swiftia_ruber,yes
1,6.561673228343176,64.91666666666667,18.500409495877424,T026,haematopus_fossor,yes
12.375,11.81365735071066,68.75,16.520189667999176,T050,chelonia_brummeri,yes
13,NA,70,NA,NA,NA,NA
3.25,7.274384280931732,73.75,17.017148213885115,T017,saron_pictus,yes
-4,NA,60,NA,NA,NA,NA
1.8571428571428572,8.970852271450605,66.33333333333333,19.12459149890528,T069,alosa_atun,yes
1.5,2.1213203435596424,68,2.8284271247461903,NA,NA,NA
4,NA,30,NA,NA,NA,NA
1.8,2.7748873851023217,64,21.400934559032695,T030,gymnothorax_spinulosus,yes
10.2,9.338094023943002,63.6,32.4237567225021,T023,neosilurus_omanensis,yes
0,NA,65,0,T040,pseudobalistes_placidus,dropped
2.5,2.614064523559687,57.5,9.574271077563381,T041,pervagor_adscensionis,yes
0,1.4142135623730951,50,0,T016,genyonemus_evotis,yes
-0.75,1.2665570127975554,59.285714285714285,20.989793438036223,T046,psittacula_scabriculus,yes
NA,NA,NA,NA,T070,priodontes_geoffroanus,dropped
