commenter,date,comment,type,assigned,solution,done,notes
Alessandro Tavano,2022-09-28T11:20:57Z,Agreed,,,,,
Alessandro Tavano,2022-09-28T11:27:32Z,very well stated,,,,,
Alicia Megan Brown,2022-10-09T06:39:02Z,"or an indefinite article for 'vast heterogeneity,' that would clear up what is (not) being predicted",,,,,
Alicia Megan Brown,2022-10-09T06:42:53Z,"(but yes, would then also require ""seem"" > ""seems"")",,,,,
Alicia Megan Brown,2022-10-09T06:47:37Z,"According to the PDF, the full sentence is ""The authors argue that the observed heterogeneity acrossanalysts in Silberzahn et al. (2018) might have been driven by flexibilityin statistically interpreting the research question.""",,,,,
Allison Hilger,2022-10-03T17:29:11Z,"I suggest replacing with the word ""treatment""",,,,,
Allison Hilger,2022-10-03T17:31:21Z,I'm in awe of this figure,,,,,
Andrés Buxó Lugo,2022-10-07T19:40:00Z,Just marking as a reminder that this link is not included yet.,,,,,
Andrés Buxó Lugo,2022-10-07T20:25:45Z,"One aspect of the project that hasn't been talked about much is that this was a case where the project was pretty much guaranteed to get published regardless of what our individual analyses found. Unfortunately, this isn't standard for our fields yet, and so it's something I can imagine having an impact on the relationship between our priors and our findings. Of course, this is something we should all be avoiding/resisting; I just wanted to point this out as another factor that might increase the chance that we are honest/transparent about analyses in our research.",,,,,
Anonymous,2022-10-02T08:12:22Z,_Marked as resolved_,,,,,
Beth MacLeod,2022-10-03T18:19:57Z,Should 'hope' be 'bear'?  I'm not sure where 'hope' came from.,,,,,
Christina Bjorndahl,2022-10-11T02:20:54Z,"The way this is phrased, one might think that the analyses were distributed independently, but they weren’t, since they were always distributed together with the other analyses from that team. I think this should be made clear since it could have an effect on the ratings.",,,,,
Christina Bjorndahl,2022-10-11T02:47:15Z,"HAHAHA!  Well, it looks like we all ignored you and gave you advice anyway.  I'll use the line my mother uses on me and say that it's given from a place of love...  Does that make it better?  ;)",,,,,
Christina Bjorndahl,2022-10-11T02:48:40Z,"Yes, this is confusing to me as well: Later on you say that 46 teams submitted their analyses by the established deadline, so does that mean that no one submitted after peer review? In which case, why bring it up here?  In general, I'm confused about which analyses and analyst teams were excluded, and how those decisions were arrived at.",,,,,
Christina Bjorndahl,2022-10-11T02:50:01Z,"Echoing the comments here that you need to be explicit about how you went from 46 to 30 analyses; also, were only individual analyses discarded, or all the analyses from entire teams?",,,,,
Christina Bjorndahl,2022-10-11T02:52:32Z,"It's not totally clear to me how the 170 individual analyses is related to the 104 models.  Maybe I'm just missing something, but please clarify.",,,,,
Christina Bjorndahl,2022-10-11T02:54:50Z,This meaningfulness of this quote is lost on me.  What are we supposed to get from it?,,,,,
Christina Bjorndahl,2022-10-11T02:58:41Z,"Outlier treatment needs to be discussed.  There were many different approaches to how outliers were assessed and dealt with, and this will have a large effect on the results and the variability.  Thinking in particular about creak as the source of outliers for many f0 measurements.",,,,,
Christina Bjorndahl,2022-10-11T03:00:55Z,"Echoing this: If the duration is of vowels, then they need to say it (and in which case, the incomplete neutralization data is irrelevant); if it combines different segment classes, then this is uninterpretable.",,,,,
Christina Bjorndahl,2022-10-11T03:04:08Z,"It seems here that you need to consider experimenter ""stake"" in the project; since it's not ""our"" research, the teams aren't going to have as strong opinions, which might have altered how teams approached the task.  Also, I might address the possibility that researchers didn’t fully understand the experiment design at the point that we had to make that judgement. Remember that you even had to send out a clarifying email re: the AF and ANF conditions, so it seems many people could have had a different opinion if they'd understood the design more fully.",,,,,
Christina Bjorndahl,2022-10-11T03:31:09Z,"Some typos / general small issues with presentation:- missing apostrophe in plural possessives, as in ""the authors results"" (authors')- inconsistencies w.r.t. British and American spelling conventions (modelling and modeling)- it's very difficult to read the figures when rendered in grey scale (as in printing it out); could you add some additional annotations to make this easier?",,,,,
Christina Bjorndahl,2022-10-11T03:32:29Z,"Here it's clearly stated that the ANF and AF conditions are just fillers. This was not conveyed clearly to the analysis teams, and conveying it might have cut down some of the variability in analyses and effect sizes found by discouraging groups from trying to include measurements from those filler conditions. This could merit a paragraph in the discussion section (though not here)",,,,,
Christina Bjorndahl,2022-10-11T03:33:12Z,"It's not clear whether all 46 submitted teams' work were reviewed by other teams, or only the 30 included in quantitative analyses.",,,,,
Christina Bjorndahl,2022-10-11T03:34:42Z,"It would be clearer to add an example to the measure of uniqueness definition.  This may be common in Many Analyses projects, but the paper will, I think, have broad interest to linguists, and so would be helpful.  From N. Warner: I would ask for an actual hypothetical example from this project. Something like ""For example, if one team used LMEs to analyze two dependent variables (adjective duration and peak f0 during adjective), both including the same three independent variables, and an additional ... test of ... on a third dependent variable (...), the pair of analyses consisting of the two LMEs with different dependent variables would have X of ... and Y of ..., leading to SDI of ..."" The could maybe go further with ""An analysis team that submitted 5 different analyses of different dependent variables, with each of them using a different statistical method and several different predictor variables, might have an SDI of ..., while one submitting just two analyses, which differ only in dependent variable, would have one of ....""",,,,,
Christina Bjorndahl,2022-10-11T03:36:03Z,"This really sounds like the descriptive statistics given describe the individual analysts, rather than the team averages. It did mention team averages above, but here where it says that ""analysts had"" a range of years post PhD from -3.8 to 12.4, that really sounds like all groups containing someone with more seniority than that got excluded.",,,,,
Christina Bjorndahl,2022-10-11T03:37:36Z,"N. Warner: I think this method of ""shrinkage"" of the effect sizes really needs to be explained more thoroughly, ideally with an example. Is this what was explained on p. 19 (of the pdf)? I can't even tell if that's where the explanation of it was, and it's crucial to understand this, since it reduced the percentage of analyses with significant/non-zero effects from about 22% to 16%. If I'm just being dense here and it's explained, then this needs an ""as explained in ... above.""",,,,,
Christina Bjorndahl,2022-10-11T03:38:19Z,"N. Warner: I think this is an overly positive interpretation. Rating an analysis as publishable with major revision leaves a lot of leeway for pretty bad analyses, since major revision can include changing every aspect that was used in these analyses, such as dependent variables, measurement time period, statistical model, etc.",,,,,
Christina Bjorndahl,2022-10-11T03:39:56Z,"This would be an ideal place to elaborate discussion of whether some teams lacked expertise in phonetics and joined the project thinking they would be doing only the statistical portion. One of the analyses we reviewed  explicitly stated that they lacked phonetics training and weren't going to learn now, so they used what they could immediately and obviously extract from the files without any phonetic methods. But there probably were some other teams like that.",,,,,
Christina Bjorndahl,2022-10-11T03:41:27Z,"This section would also be an excellent place to add a paragraph about the role of journal reviewers and editors in catching poor choices of dependent variable, measurement method, time span over which measured, etc. These are very typical items to bring up during the review process, regardless of which statistical method is preferred, and many of the analyses in the current project would not have gotten through review at a phonetics journal.  I can't help but wonder if there were a second round (namely, if we treated all analyses as a “revise and resubmit”), would the results start to converge?",,,,,
Dominic Schmitz,2022-09-28T07:32:39Z,"this should be either lowercase (if English) or ""Banane"" (if German)",,,,,
Dominic Schmitz,2022-09-28T07:34:19Z,times,,,,,
Dorota Krajewska,2022-10-10T18:34:44Z,"delete "")""?",,,,,
