team,es,se,fixed_1,fixed_2,fixed_3,fixed_4,fixed_5,random_1,random_2,random_3,random_4,random_5,posthoc,nmodels,fixed_num,random_num,reviewer,reviewer_assignment,reviewer_noise,peer_rating
team_1,0.24505058826528592,1.0035799685373024,0,0,0,0,0,1,1,1,1,0,0,6,0,4,rev1,team_1,-0.14014680020842654,4.435573078654688
team_1,0.24505058826528592,1.0035799685373024,0,0,0,0,0,1,1,1,1,0,0,6,0,4,rev10,team_1,-0.2729358870225453,9.138891496330126
team_1,0.24505058826528592,1.0035799685373024,0,0,0,0,0,1,1,1,1,0,0,6,0,4,rev13,team_1,-0.12777949483242776,7.394438857641115
team_2,1.674435501362027,0.953052493293273,1,0,0,0,0,0,0,1,0,0,0,2,1,1,rev3,team_2,0.29785907323796296,19.796323554326136
team_2,1.674435501362027,0.953052493293273,1,0,0,0,0,0,0,1,0,0,0,2,1,1,rev4,team_2,-0.21627723950626465,15.467814383947735
team_2,1.674435501362027,0.953052493293273,1,0,0,0,0,0,0,1,0,0,0,2,1,1,rev8,team_2,0.4374869981087483,25.772603034664975
team_2,1.674435501362027,0.953052493293273,1,0,0,0,0,0,0,1,0,0,0,2,1,1,rev9,team_2,0.12792029402371988,13.813393474110955
team_2,1.674435501362027,0.953052493293273,1,0,0,0,0,0,0,1,0,0,0,2,1,1,rev16,team_2,-0.0241411743645157,0.39429723951147744
team_3,0.9366915051889951,0.2526616392723776,0,0,0,1,0,1,1,0,1,1,0,6,1,4,rev10,team_3,-0.2729358870225453,0.8827940676579082
team_3,0.9366915051889951,0.2526616392723776,0,0,0,1,0,1,1,0,1,1,0,6,1,4,rev11,team_3,-0.3510340793064962,3.1879225169961742
team_4,-0.18570301737703776,1.5082379767087444,1,0,0,0,1,0,1,1,1,1,0,5,2,4,rev2,team_4,-0.2663527864508589,12.001124395312821
team_4,-0.18570301737703776,1.5082379767087444,1,0,0,0,1,0,1,1,1,1,0,5,2,4,rev6,team_4,-0.20471800234758042,0.33008399981438075
team_4,-0.18570301737703776,1.5082379767087444,1,0,0,0,1,0,1,1,1,1,0,5,2,4,rev14,team_4,-0.2595721973093258,0.2960320864666208
team_5,0.5527207377370693,0.8186409871045934,0,0,0,1,0,0,1,1,1,1,0,3,1,4,rev4,team_5,-0.21627723950626465,13.185537862376938
team_5,0.5527207377370693,0.8186409871045934,0,0,0,1,0,0,1,1,1,1,0,3,1,4,rev5,team_5,0.26923942160733644,22.85578225274289
team_5,0.5527207377370693,0.8186409871045934,0,0,0,1,0,0,1,1,1,1,0,3,1,4,rev7,team_5,0.546054223686677,23.726408924213526
team_5,0.5527207377370693,0.8186409871045934,0,0,0,1,0,0,1,1,1,1,0,3,1,4,rev16,team_5,-0.0241411743645157,12.771564173943936
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev1,team_6,-0.14014680020842654,13.678446245532516
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev2,team_6,-0.2663527864508589,3.1483091889967767
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev7,team_6,0.546054223686677,47.05729872666558
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev8,team_6,0.4374869981087483,9.062252140622155
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev9,team_6,0.12792029402371988,0.34839500451848604
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev11,team_6,-0.3510340793064962,4.503603861284919
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev12,team_6,0.6348530007451884,23.44327279790355
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev13,team_6,-0.12777949483242776,5.5494270276737705
team_6,1.752878308757064,1.473522510562679,0,0,1,0,0,0,1,0,0,0,0,3,1,1,rev15,team_6,-0.541377081293515,24.736012280268238
team_7,1.8400903411974876,1.271156579503407,0,1,1,1,0,1,0,1,0,0,0,4,3,2,rev3,team_7,0.29785907323796296,11.680361484098066
team_7,1.8400903411974876,1.271156579503407,0,1,1,1,0,1,0,1,0,0,0,4,3,2,rev5,team_7,0.26923942160733644,36.244048846485555
team_7,1.8400903411974876,1.271156579503407,0,1,1,1,0,1,0,1,0,0,0,4,3,2,rev6,team_7,-0.20471800234758042,0.2874361229322755
team_7,1.8400903411974876,1.271156579503407,0,1,1,1,0,1,0,1,0,0,0,4,3,2,rev10,team_7,-0.2729358870225453,18.01844373785911
team_8,0.6141673391910433,1.4762020749169902,0,0,1,1,0,1,1,0,0,1,0,5,2,3,rev6,team_8,-0.20471800234758042,5.22208081410006
team_8,0.6141673391910433,1.4762020749169902,0,0,1,1,0,1,1,0,0,1,0,5,2,3,rev12,team_8,0.6348530007451884,34.75236560827587
