condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Erbsen,gelb,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb
ANF,Erbsen,gelb,Bohnen,gruen,Socken,braun,Socken,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Avokado,gelb,Zucchini,gruen
ANF,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Avokado,rot
NF,Walnuss,braun,Waescheklammer,braun,Zucchini,gruen,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Socken,braun
ANF,Kartoffeln,orange,Erbsen,gelb,Avokado,rot,Bueroklammer,gruen
AF,Kirsche,gelb,Kirsche,gruen,Avokado,rot,Sonnenbrille,braun
NF,Mandarine,orange,Socken,orange,Sonnenbrille,braun,Aubergine,gelb
ANF,Walnuss,braun,Erdbeere,rot,Aubergine,gruen,Aubergine,gelb
AF,Trauben,orange,Trauben,gelb,Socken,braun,Socken,rot
NF,Paprika,braun,Sonnenbrille,braun,Bueroklammer,gelb,Socken,rot
NF,Zitrone,gelb,Socken,gelb,Avokado,rot,Bueroklammer,gruen
ANF,Banane,braun,Aprikose,rot,Bueroklammer,gelb,Bueroklammer,orange
ANF,Mandarine,orange,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Zucchini,rot
ANF,Tomate,gruen,Mandarine,orange,Socken,rot,Socken,braun
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Aubergine,gruen,Bueroklammer,orange
ANF,Erdbeere,rot,Kartoffeln,orange,Aubergine,gelb,Socken,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Aubergine,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Socken,orange
NF,Erdbeere,rot,Waescheklammer,rot,Socken,gelb,Aubergine,gruen
AF,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Bueroklammer,gelb
NF,Tomate,gruen,Socken,gruen,Aubergine,gelb,Sonnenbrille,braun
ANF,Aprikose,rot,Walnuss,braun,Socken,orange,Waescheklammer,gruen
NF,Banane,braun,Bueroklammer,braun,Socken,rot,Avokado,rot
AF,Socken,gruen,Socken,orange,Bueroklammer,gelb,Avokado,rot
NF,Trauben,orange,Bueroklammer,orange,Zucchini,rot,Birne,rot
AF,Paprika,braun,Paprika,rot,Aubergine,gelb,Bueroklammer,gruen
NF,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,orange,Socken,braun
ANF,Bohnen,gruen,Banane,braun,Socken,gelb,Bueroklammer,gelb
NF,Gurke,rot,Bueroklammer,rot,Socken,braun,Socken,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb
ANF,Erbsen,gelb,Bohnen,gruen,Socken,braun,Socken,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Avokado,gelb,Zucchini,gruen
ANF,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Avokado,rot
NF,Walnuss,braun,Waescheklammer,braun,Zucchini,gruen,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Socken,braun
ANF,Kartoffeln,orange,Erbsen,gelb,Avokado,rot,Bueroklammer,gruen
AF,Kirsche,gelb,Kirsche,gruen,Avokado,rot,Sonnenbrille,braun
NF,Mandarine,orange,Socken,orange,Sonnenbrille,braun,Aubergine,gelb
ANF,Walnuss,braun,Erdbeere,rot,Aubergine,gruen,Aubergine,gelb
AF,Trauben,orange,Trauben,gelb,Socken,braun,Socken,rot
NF,Paprika,braun,Sonnenbrille,braun,Bueroklammer,gelb,Socken,rot
NF,Zitrone,gelb,Socken,gelb,Avokado,rot,Bueroklammer,gruen
ANF,Banane,braun,Aprikose,rot,Bueroklammer,gelb,Bueroklammer,orange
ANF,Mandarine,orange,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Zucchini,rot
ANF,Tomate,gruen,Mandarine,orange,Socken,rot,Socken,braun
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Aubergine,gruen,Bueroklammer,orange
ANF,Erdbeere,rot,Kartoffeln,orange,Aubergine,gelb,Socken,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Aubergine,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Socken,orange
NF,Erdbeere,rot,Waescheklammer,rot,Socken,gelb,Aubergine,gruen
AF,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Bueroklammer,gelb
NF,Tomate,gruen,Socken,gruen,Aubergine,gelb,Sonnenbrille,braun
ANF,Aprikose,rot,Walnuss,braun,Socken,orange,Waescheklammer,gruen
NF,Banane,braun,Bueroklammer,braun,Socken,rot,Avokado,rot
AF,Socken,gruen,Socken,orange,Bueroklammer,gelb,Avokado,rot
NF,Trauben,orange,Bueroklammer,orange,Zucchini,rot,Birne,rot
AF,Paprika,braun,Paprika,rot,Aubergine,gelb,Bueroklammer,gruen
NF,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,orange,Socken,braun
ANF,Bohnen,gruen,Banane,braun,Socken,gelb,Bueroklammer,gelb
NF,Gurke,rot,Bueroklammer,rot,Socken,braun,Socken,gelb
