condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Aprikose,rot,Bueroklammer,rot,Sonnenbrille,orange,Socken,braun
ANF,Banane,braun,Kartoffeln,orange,Socken,gelb,Avokado,gruen
NF,Erdbeere,rot,Socken,rot,Bueroklammer,orange,Sonnenbrille,orange
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Zucchini,rot
ANF,Erdbeere,rot,Banane,braun,Socken,orange,Aubergine,gruen
AF,Moehre,gruen,Moehre,orange,Socken,gelb,Aubergine,gelb
NF,Zitrone,gelb,Sonnenbrille,gelb,Socken,orange,Bueroklammer,rot
ANF,Zitrone,gelb,Erdbeere,rot,Sonnenbrille,orange,Bueroklammer,orange
NF,Banane,braun,Bueroklammer,braun,Birne,gruen,Avokado,gruen
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Socken,gelb
NF,Kartoffeln,orange,Bueroklammer,orange,Socken,braun,Birne,rot
ANF,Walnuss,braun,Tomate,gruen,Waescheklammer,orange,Waescheklammer,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,rot,Socken,braun
NF,Bohnen,gruen,Sonnenbrille,gruen,Avokado,gelb,Waescheklammer,orange
NF,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Aubergine,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Bueroklammer,rot
NF,Tomate,gruen,Bueroklammer,gruen,Waescheklammer,orange,Avokado,gelb
AF,Trauben,orange,Trauben,gelb,Avokado,gruen,Birne,rot
NF,Gurke,rot,Waescheklammer,rot,Aubergine,gelb,Bueroklammer,gruen
ANF,Bohnen,gruen,Walnuss,braun,Waescheklammer,gelb,Socken,gelb
NF,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gelb
ANF,Kartoffeln,orange,Erbsen,gelb,Aubergine,gruen,Birne,rot
ANF,Aprikose,rot,Bohnen,gruen,Socken,braun,Socken,orange
NF,Erbsen,gelb,Socken,gelb,Bueroklammer,rot,Bueroklammer,orange
NF,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,gruen
ANF,Tomate,gruen,Aprikose,rot,Bueroklammer,orange,Sonnenbrille,orange
NF,Kirsche,gelb,Waescheklammer,gelb,Bueroklammer,gruen,Birne,gruen
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Bueroklammer,orange
NF,Moehre,gruen,Socken,gruen,Birne,rot,Waescheklammer,gelb
AF,Socken,gruen,Socken,orange,Birne,rot,Waescheklammer,gelb
NF,Paprika,braun,Sonnenbrille,braun,Aubergine,gruen,Socken,orange
ANF,Mandarine,orange,Zitrone,gelb,Birne,rot,Bueroklammer,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Sonnenbrille,orange
