condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Kartoffeln,orange,Walnuss,braun,Avokado,gelb,Waescheklammer,gelb
NF,Banane,braun,Waescheklammer,braun,Aubergine,gelb,Sonnenbrille,rot
ANF,Erdbeere,rot,Mandarine,orange,Socken,braun,Aubergine,gelb
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Avokado,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Birne,orange
ANF,Zitrone,gelb,Aprikose,rot,Bueroklammer,orange,Birne,orange
NF,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Avokado,gelb
NF,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,rot,Socken,braun
AF,Paprika,braun,Paprika,rot,Aubergine,gelb,Waescheklammer,orange
ANF,Banane,braun,Bohnen,gruen,Waescheklammer,orange,Sonnenbrille,rot
NF,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Waescheklammer,gruen
NF,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,rot
ANF,Aprikose,rot,Banane,braun,Aubergine,gelb,Waescheklammer,orange
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Aubergine,gelb
ANF,Mandarine,orange,Erbsen,gelb,Aubergine,gruen,Bueroklammer,rot
NF,Erdbeere,rot,Socken,rot,Waescheklammer,gruen,Sonnenbrille,braun
AF,Gurke,rot,Gurke,braun,Birne,orange,Bueroklammer,orange
NF,Bohnen,gruen,Socken,gruen,Waescheklammer,orange,Birne,orange
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Socken,braun
NF,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Waescheklammer,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,orange,Aubergine,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Socken,gelb
ANF,Tomate,gruen,Erdbeere,rot,Waescheklammer,gelb,Avokado,gelb
NF,Aprikose,rot,Waescheklammer,rot,Socken,gelb,Avokado,gruen
ANF,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,braun
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,braun,Aubergine,gelb
AF,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,rot
NF,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Aubergine,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Socken,orange,Aubergine,gruen
NF,Paprika,braun,Bueroklammer,braun,Aubergine,gruen,Socken,orange
NF,Kirsche,gelb,Socken,gelb,Bueroklammer,rot,Bueroklammer,orange
ANF,Walnuss,braun,Tomate,gruen,Birne,orange,Bueroklammer,orange
AF,Socken,gruen,Socken,orange,Avokado,gelb,Waescheklammer,gelb
ANF,Kartoffeln,orange,Walnuss,braun,Avokado,gelb,Waescheklammer,gelb
NF,Banane,braun,Waescheklammer,braun,Aubergine,gelb,Sonnenbrille,rot
ANF,Erdbeere,rot,Mandarine,orange,Socken,braun,Aubergine,gelb
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Avokado,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Birne,orange
ANF,Zitrone,gelb,Aprikose,rot,Bueroklammer,orange,Birne,orange
NF,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Avokado,gelb
NF,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,rot,Socken,braun
AF,Paprika,braun,Paprika,rot,Aubergine,gelb,Waescheklammer,orange
ANF,Banane,braun,Bohnen,gruen,Waescheklammer,orange,Sonnenbrille,rot
NF,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Waescheklammer,gruen
NF,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,rot
ANF,Aprikose,rot,Banane,braun,Aubergine,gelb,Waescheklammer,orange
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Aubergine,gelb
ANF,Mandarine,orange,Erbsen,gelb,Aubergine,gruen,Bueroklammer,rot
NF,Erdbeere,rot,Socken,rot,Waescheklammer,gruen,Sonnenbrille,braun
AF,Gurke,rot,Gurke,braun,Birne,orange,Bueroklammer,orange
NF,Bohnen,gruen,Socken,gruen,Waescheklammer,orange,Birne,orange
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Socken,braun
NF,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Waescheklammer,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,orange,Aubergine,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Socken,gelb
ANF,Tomate,gruen,Erdbeere,rot,Waescheklammer,gelb,Avokado,gelb
NF,Aprikose,rot,Waescheklammer,rot,Socken,gelb,Avokado,gruen
ANF,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,braun
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,braun,Aubergine,gelb
AF,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,rot
NF,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Aubergine,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Socken,orange,Aubergine,gruen
NF,Paprika,braun,Bueroklammer,braun,Aubergine,gruen,Socken,orange
NF,Kirsche,gelb,Socken,gelb,Bueroklammer,rot,Bueroklammer,orange
ANF,Walnuss,braun,Tomate,gruen,Birne,orange,Bueroklammer,orange
AF,Socken,gruen,Socken,orange,Avokado,gelb,Waescheklammer,gelb
