condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Bohnen,gruen,Zitrone,gelb,Birne,rot,Waescheklammer,orange
NF,Gurke,rot,Waescheklammer,rot,Socken,gelb,Sonnenbrille,braun
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Sonnenbrille,orange
NF,Bohnen,gruen,Socken,gruen,Sonnenbrille,orange,Sonnenbrille,rot
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Waescheklammer,braun
NF,Trauben,orange,Socken,orange,Birne,rot,Zucchini,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Sonnenbrille,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Waescheklammer,orange
NF,Walnuss,braun,Waescheklammer,braun,Sonnenbrille,rot,Sonnenbrille,orange
ANF,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb
NF,Kirsche,gelb,Socken,gelb,Waescheklammer,gruen,Birne,rot
ANF,Kartoffeln,orange,Walnuss,braun,Sonnenbrille,rot,Zucchini,rot
AF,Paprika,braun,Paprika,rot,Waescheklammer,gruen,Socken,gelb
NF,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,gelb
ANF,Walnuss,braun,Erdbeere,rot,Avokado,gruen,Sonnenbrille,orange
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,orange,Socken,braun
ANF,Mandarine,orange,Tomate,gruen,Zucchini,gelb,Avokado,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,rot,Zucchini,braun
ANF,Tomate,gruen,Aprikose,rot,Waescheklammer,braun,Socken,braun
AF,Trauben,orange,Trauben,gelb,Socken,braun,Waescheklammer,gruen
NF,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,gruen
NF,Mandarine,orange,Waescheklammer,orange,Avokado,gruen,Socken,braun
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Zucchini,rot,Avokado,rot
ANF,Aprikose,rot,Erbsen,gelb,Socken,braun,Waescheklammer,gruen
AF,Gurke,rot,Gurke,braun,Avokado,gruen,Zucchini,gelb
ANF,Erdbeere,rot,Banane,braun,Sonnenbrille,orange,Avokado,gruen
NF,Erbsen,gelb,Sonnenbrille,gelb,Waescheklammer,braun,Avokado,gruen
AF,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Socken,braun,Waescheklammer,braun
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,orange,Avokado,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Avokado,rot,Zucchini,rot
ANF,Erbsen,gelb,Bohnen,gruen,Zucchini,rot,Sonnenbrille,rot
NF,Erdbeere,rot,Bueroklammer,rot,Zucchini,braun,Birne,gruen
ANF,Zitrone,gelb,Kartoffeln,orange,Avokado,rot,Waescheklammer,braun
NF,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Avokado,rot
ANF,Bohnen,gruen,Zitrone,gelb,Birne,rot,Waescheklammer,orange
NF,Gurke,rot,Waescheklammer,rot,Socken,gelb,Sonnenbrille,braun
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Sonnenbrille,orange
NF,Bohnen,gruen,Socken,gruen,Sonnenbrille,orange,Sonnenbrille,rot
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Waescheklammer,braun
NF,Trauben,orange,Socken,orange,Birne,rot,Zucchini,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Sonnenbrille,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Waescheklammer,orange
NF,Walnuss,braun,Waescheklammer,braun,Sonnenbrille,rot,Sonnenbrille,orange
ANF,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb
NF,Kirsche,gelb,Socken,gelb,Waescheklammer,gruen,Birne,rot
ANF,Kartoffeln,orange,Walnuss,braun,Sonnenbrille,rot,Zucchini,rot
AF,Paprika,braun,Paprika,rot,Waescheklammer,gruen,Socken,gelb
NF,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,gelb
ANF,Walnuss,braun,Erdbeere,rot,Avokado,gruen,Sonnenbrille,orange
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,orange,Socken,braun
ANF,Mandarine,orange,Tomate,gruen,Zucchini,gelb,Avokado,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,rot,Zucchini,braun
ANF,Tomate,gruen,Aprikose,rot,Waescheklammer,braun,Socken,braun
AF,Trauben,orange,Trauben,gelb,Socken,braun,Waescheklammer,gruen
NF,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,gruen
NF,Mandarine,orange,Waescheklammer,orange,Avokado,gruen,Socken,braun
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Zucchini,rot,Avokado,rot
ANF,Aprikose,rot,Erbsen,gelb,Socken,braun,Waescheklammer,gruen
AF,Gurke,rot,Gurke,braun,Avokado,gruen,Zucchini,gelb
ANF,Erdbeere,rot,Banane,braun,Sonnenbrille,orange,Avokado,gruen
NF,Erbsen,gelb,Sonnenbrille,gelb,Waescheklammer,braun,Avokado,gruen
AF,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Socken,braun,Waescheklammer,braun
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,orange,Avokado,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Avokado,rot,Zucchini,rot
ANF,Erbsen,gelb,Bohnen,gruen,Zucchini,rot,Sonnenbrille,rot
NF,Erdbeere,rot,Bueroklammer,rot,Zucchini,braun,Birne,gruen
ANF,Zitrone,gelb,Kartoffeln,orange,Avokado,rot,Waescheklammer,braun
NF,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Avokado,rot
