condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,gruen
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Avokado,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,braun,Socken,orange
ANF,Erbsen,gelb,Mandarine,orange,Aubergine,gruen,Socken,rot
NF,Bohnen,gruen,Socken,gruen,Zucchini,rot,Birne,rot
NF,Paprika,braun,Waescheklammer,braun,Birne,rot,Zucchini,rot
ANF,Bohnen,gruen,Erdbeere,rot,Sonnenbrille,braun,Avokado,gelb
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Socken,orange
ANF,Banane,braun,Zitrone,gelb,Zucchini,rot,Birne,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,braun,Socken,rot
NF,Kartoffeln,orange,Socken,orange,Aubergine,rot,Bueroklammer,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Sonnenbrille,braun
ANF,Erdbeere,rot,Bohnen,gruen,Sonnenbrille,gelb,Bueroklammer,braun
NF,Zitrone,gelb,Socken,gelb,Bueroklammer,braun,Birne,gruen
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Sonnenbrille,gelb
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Aubergine,rot
AF,Socken,gruen,Socken,orange,Zucchini,rot,Birne,rot
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gruen,Avokado,gelb
ANF,Tomate,gruen,Erbsen,gelb,Bueroklammer,braun,Socken,orange
AF,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Socken,orange,Sonnenbrille,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Aubergine,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gelb,Socken,gruen
NF,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen
ANF,Zitrone,gelb,Banane,braun,Socken,rot,Sonnenbrille,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Avokado,gelb
ANF,Walnuss,braun,Kartoffeln,orange,Birne,rot,Zucchini,rot
ANF,Mandarine,orange,Aprikose,rot,Avokado,gelb,Sonnenbrille,braun
NF,Gurke,rot,Bueroklammer,rot,Sonnenbrille,gruen,Sonnenbrille,braun
ANF,Kartoffeln,orange,Tomate,gruen,Aubergine,rot,Sonnenbrille,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Avokado,gelb,Socken,rot
ANF,Aprikose,rot,Walnuss,braun,Sonnenbrille,gruen,Aubergine,gruen
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Bueroklammer,braun
AF,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,gruen
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Avokado,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,braun,Socken,orange
ANF,Erbsen,gelb,Mandarine,orange,Aubergine,gruen,Socken,rot
NF,Bohnen,gruen,Socken,gruen,Zucchini,rot,Birne,rot
NF,Paprika,braun,Waescheklammer,braun,Birne,rot,Zucchini,rot
ANF,Bohnen,gruen,Erdbeere,rot,Sonnenbrille,braun,Avokado,gelb
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Socken,orange
ANF,Banane,braun,Zitrone,gelb,Zucchini,rot,Birne,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,braun,Socken,rot
NF,Kartoffeln,orange,Socken,orange,Aubergine,rot,Bueroklammer,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Sonnenbrille,braun
ANF,Erdbeere,rot,Bohnen,gruen,Sonnenbrille,gelb,Bueroklammer,braun
NF,Zitrone,gelb,Socken,gelb,Bueroklammer,braun,Birne,gruen
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Sonnenbrille,gelb
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Aubergine,rot
AF,Socken,gruen,Socken,orange,Zucchini,rot,Birne,rot
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gruen,Avokado,gelb
ANF,Tomate,gruen,Erbsen,gelb,Bueroklammer,braun,Socken,orange
AF,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Socken,orange,Sonnenbrille,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Aubergine,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gelb,Socken,gruen
NF,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen
ANF,Zitrone,gelb,Banane,braun,Socken,rot,Sonnenbrille,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Avokado,gelb
ANF,Walnuss,braun,Kartoffeln,orange,Birne,rot,Zucchini,rot
ANF,Mandarine,orange,Aprikose,rot,Avokado,gelb,Sonnenbrille,braun
NF,Gurke,rot,Bueroklammer,rot,Sonnenbrille,gruen,Sonnenbrille,braun
ANF,Kartoffeln,orange,Tomate,gruen,Aubergine,rot,Sonnenbrille,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Avokado,gelb,Socken,rot
ANF,Aprikose,rot,Walnuss,braun,Sonnenbrille,gruen,Aubergine,gruen
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Bueroklammer,braun
