condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Erbsen,gelb,Walnuss,braun,Socken,gruen,Waescheklammer,rot
AF,Socken,gruen,Socken,orange,Zucchini,rot,Avokado,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,gruen,Socken,orange
ANF,Kartoffeln,orange,Tomate,gruen,Waescheklammer,gelb,Sonnenbrille,gelb
NF,Paprika,braun,Waescheklammer,braun,Avokado,rot,Zucchini,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Zucchini,rot,Avokado,rot
ANF,Bohnen,gruen,Aprikose,rot,Sonnenbrille,gelb,Waescheklammer,gelb
NF,Mandarine,orange,Socken,orange,Waescheklammer,braun,Sonnenbrille,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Bueroklammer,rot
NF,Moehre,gruen,Socken,gruen,Aubergine,gelb,Waescheklammer,braun
ANF,Mandarine,orange,Erdbeere,rot,Sonnenbrille,gruen,Aubergine,gelb
AF,Trauben,orange,Trauben,gelb,Waescheklammer,gruen,Sonnenbrille,gruen
NF,Erdbeere,rot,Bueroklammer,rot,Birne,orange,Waescheklammer,gruen
NF,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,gruen,Birne,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gelb,Socken,gruen
NF,Walnuss,braun,Sonnenbrille,braun,Socken,gruen,Waescheklammer,rot
ANF,Tomate,gruen,Zitrone,gelb,Waescheklammer,rot,Socken,orange
AF,Paprika,braun,Paprika,rot,Aubergine,gelb,Waescheklammer,gelb
NF,Zitrone,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,rot
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Socken,orange
NF,Trauben,orange,Waescheklammer,orange,Sonnenbrille,gelb,Socken,gruen
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,gelb,Waescheklammer,rot
ANF,Erdbeere,rot,Mandarine,orange,Aubergine,gelb,Socken,gruen
NF,Banane,braun,Bueroklammer,braun,Waescheklammer,rot,Waescheklammer,gelb
