condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Trauben,orange,Trauben,gelb,Zucchini,braun,Zucchini,rot
NF,Walnuss,braun,Sonnenbrille,braun,Zucchini,rot,Bueroklammer,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,rot,Socken,gruen
ANF,Walnuss,braun,Erdbeere,rot,Socken,orange,Socken,gruen
AF,Socken,gruen,Socken,orange,Aubergine,gelb,Avokado,gelb
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Aubergine,gruen,Zucchini,braun
ANF,Tomate,gruen,Kartoffeln,orange,Aubergine,gelb,Avokado,gelb
NF,Kartoffeln,orange,Waescheklammer,orange,Birne,rot,Aubergine,rot
AF,Kirsche,gelb,Kirsche,gruen,Zucchini,rot,Zucchini,braun
NF,Trauben,orange,Socken,orange,Avokado,gelb,Aubergine,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,gruen,Avokado,gruen
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Zucchini,rot
ANF,Erbsen,gelb,Aprikose,rot,Avokado,gruen,Socken,orange
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Aubergine,gelb
NF,Erbsen,gelb,Socken,gelb,Aubergine,rot,Waescheklammer,rot
ANF,Aprikose,rot,Banane,braun,Aubergine,gruen,Aubergine,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Socken,orange,Bueroklammer,orange
ANF,Banane,braun,Bohnen,gruen,Zucchini,rot,Bueroklammer,orange
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb
ANF,Mandarine,orange,Erbsen,gelb,Socken,gruen,Birne,rot
NF,Banane,braun,Bueroklammer,braun,Socken,orange,Socken,gruen
NF,Erdbeere,rot,Waescheklammer,rot,Zucchini,braun,Aubergine,gelb
AF,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
NF,Aprikose,rot,Socken,rot,Waescheklammer,gelb,Avokado,gruen
ANF,Kartoffeln,orange,Zitrone,gelb,Zucchini,braun,Aubergine,gruen
NF,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Socken,braun
NF,Moehre,gruen,Bueroklammer,gruen,Aubergine,gelb,Avokado,gelb
ANF,Bohnen,gruen,Walnuss,braun,Avokado,gelb,Zucchini,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gelb,Aubergine,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,rot,Socken,orange
ANF,Zitrone,gelb,Mandarine,orange,Birne,rot,Waescheklammer,rot
ANF,Erdbeere,rot,Tomate,gruen,Bueroklammer,orange,Zucchini,braun
AF,Gurke,rot,Gurke,braun,Bueroklammer,orange,Socken,orange
NF,Bohnen,gruen,Socken,gruen,Bueroklammer,gelb,Waescheklammer,braun
AF,Trauben,orange,Trauben,gelb,Zucchini,braun,Zucchini,rot
NF,Walnuss,braun,Sonnenbrille,braun,Zucchini,rot,Bueroklammer,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,rot,Socken,gruen
ANF,Walnuss,braun,Erdbeere,rot,Socken,orange,Socken,gruen
AF,Socken,gruen,Socken,orange,Aubergine,gelb,Avokado,gelb
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Aubergine,gruen,Zucchini,braun
ANF,Tomate,gruen,Kartoffeln,orange,Aubergine,gelb,Avokado,gelb
NF,Kartoffeln,orange,Waescheklammer,orange,Birne,rot,Aubergine,rot
AF,Kirsche,gelb,Kirsche,gruen,Zucchini,rot,Zucchini,braun
NF,Trauben,orange,Socken,orange,Avokado,gelb,Aubergine,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,gruen,Avokado,gruen
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Zucchini,rot
ANF,Erbsen,gelb,Aprikose,rot,Avokado,gruen,Socken,orange
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Aubergine,gelb
NF,Erbsen,gelb,Socken,gelb,Aubergine,rot,Waescheklammer,rot
ANF,Aprikose,rot,Banane,braun,Aubergine,gruen,Aubergine,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Socken,orange,Bueroklammer,orange
ANF,Banane,braun,Bohnen,gruen,Zucchini,rot,Bueroklammer,orange
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb
ANF,Mandarine,orange,Erbsen,gelb,Socken,gruen,Birne,rot
NF,Banane,braun,Bueroklammer,braun,Socken,orange,Socken,gruen
NF,Erdbeere,rot,Waescheklammer,rot,Zucchini,braun,Aubergine,gelb
AF,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
NF,Aprikose,rot,Socken,rot,Waescheklammer,gelb,Avokado,gruen
ANF,Kartoffeln,orange,Zitrone,gelb,Zucchini,braun,Aubergine,gruen
NF,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Socken,braun
NF,Moehre,gruen,Bueroklammer,gruen,Aubergine,gelb,Avokado,gelb
ANF,Bohnen,gruen,Walnuss,braun,Avokado,gelb,Zucchini,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gelb,Aubergine,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,rot,Socken,orange
ANF,Zitrone,gelb,Mandarine,orange,Birne,rot,Waescheklammer,rot
ANF,Erdbeere,rot,Tomate,gruen,Bueroklammer,orange,Zucchini,braun
AF,Gurke,rot,Gurke,braun,Bueroklammer,orange,Socken,orange
NF,Bohnen,gruen,Socken,gruen,Bueroklammer,gelb,Waescheklammer,braun
