condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Banane,braun,Erdbeere,rot,Avokado,gelb,Zucchini,gelb
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Waescheklammer,braun
ANF,Mandarine,orange,Aprikose,rot,Socken,gelb,Bueroklammer,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Zucchini,gelb
ANF,Erdbeere,rot,Tomate,gruen,Waescheklammer,gelb,Socken,gelb
AF,Socken,gruen,Socken,orange,Waescheklammer,braun,Sonnenbrille,braun
NF,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Socken,orange
ANF,Aprikose,rot,Mandarine,orange,Waescheklammer,braun,Zucchini,gruen
NF,Banane,braun,Waescheklammer,braun,Avokado,gelb,Zucchini,gelb
ANF,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,gruen,Socken,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Waescheklammer,gelb
NF,Erbsen,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Socken,rot
NF,Gurke,rot,Bueroklammer,rot,Socken,gelb,Waescheklammer,gelb
AF,Moehre,gruen,Moehre,orange,Socken,gelb,Waescheklammer,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,gruen
ANF,Erbsen,gelb,Bohnen,gruen,Socken,rot,Waescheklammer,rot
NF,Trauben,orange,Bueroklammer,orange,Zucchini,gruen,Waescheklammer,gruen
NF,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Socken,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange
NF,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Aubergine,gruen
ANF,Zitrone,gelb,Banane,braun,Bueroklammer,orange,Aubergine,gruen
NF,Walnuss,braun,Bueroklammer,braun,Zucchini,gelb,Avokado,gelb
NF,Kirsche,gelb,Sonnenbrille,gelb,Aubergine,gruen,Socken,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,gelb
ANF,Walnuss,braun,Zitrone,gelb,Aubergine,gruen,Bueroklammer,orange
NF,Bohnen,gruen,Socken,gruen,Birne,orange,Sonnenbrille,braun
ANF,Tomate,gruen,Walnuss,braun,Zucchini,gelb,Avokado,gelb
NF,Mandarine,orange,Socken,orange,Waescheklammer,braun,Zucchini,gruen
AF,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,rot,Waescheklammer,gelb
AF,Paprika,braun,Paprika,rot,Zucchini,gelb,Avokado,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,gelb,Waescheklammer,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,rot,Bueroklammer,gruen
ANF,Banane,braun,Erdbeere,rot,Avokado,gelb,Zucchini,gelb
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Waescheklammer,braun
ANF,Mandarine,orange,Aprikose,rot,Socken,gelb,Bueroklammer,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Zucchini,gelb
ANF,Erdbeere,rot,Tomate,gruen,Waescheklammer,gelb,Socken,gelb
AF,Socken,gruen,Socken,orange,Waescheklammer,braun,Sonnenbrille,braun
NF,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Socken,orange
ANF,Aprikose,rot,Mandarine,orange,Waescheklammer,braun,Zucchini,gruen
NF,Banane,braun,Waescheklammer,braun,Avokado,gelb,Zucchini,gelb
ANF,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,gruen,Socken,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Waescheklammer,gelb
NF,Erbsen,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Socken,rot
NF,Gurke,rot,Bueroklammer,rot,Socken,gelb,Waescheklammer,gelb
AF,Moehre,gruen,Moehre,orange,Socken,gelb,Waescheklammer,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,gruen
ANF,Erbsen,gelb,Bohnen,gruen,Socken,rot,Waescheklammer,rot
NF,Trauben,orange,Bueroklammer,orange,Zucchini,gruen,Waescheklammer,gruen
NF,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Socken,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange
NF,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Aubergine,gruen
ANF,Zitrone,gelb,Banane,braun,Bueroklammer,orange,Aubergine,gruen
NF,Walnuss,braun,Bueroklammer,braun,Zucchini,gelb,Avokado,gelb
NF,Kirsche,gelb,Sonnenbrille,gelb,Aubergine,gruen,Socken,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,gelb
ANF,Walnuss,braun,Zitrone,gelb,Aubergine,gruen,Bueroklammer,orange
NF,Bohnen,gruen,Socken,gruen,Birne,orange,Sonnenbrille,braun
ANF,Tomate,gruen,Walnuss,braun,Zucchini,gelb,Avokado,gelb
NF,Mandarine,orange,Socken,orange,Waescheklammer,braun,Zucchini,gruen
AF,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,rot,Waescheklammer,gelb
AF,Paprika,braun,Paprika,rot,Zucchini,gelb,Avokado,gelb
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,gelb,Waescheklammer,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,rot,Bueroklammer,gruen
