condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Waescheklammer,gruen
ANF,Erbsen,gelb,Walnuss,braun,Sonnenbrille,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Aubergine,rot,Zucchini,braun
NF,Paprika,braun,Bueroklammer,braun,Waescheklammer,gruen,Zucchini,rot
ANF,Mandarine,orange,Tomate,gruen,Zucchini,rot,Socken,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Bueroklammer,braun
ANF,Tomate,gruen,Mandarine,orange,Aubergine,rot,Zucchini,braun
NF,Kirsche,gelb,Waescheklammer,gelb,Zucchini,rot,Avokado,rot
ANF,Kartoffeln,orange,Tomate,gruen,Bueroklammer,gelb,Zucchini,rot
AF,Trauben,orange,Trauben,gelb,Socken,rot,Bueroklammer,braun
NF,Banane,braun,Waescheklammer,braun,Socken,gelb,Avokado,gelb
AF,Paprika,braun,Paprika,rot,Zucchini,gruen,Sonnenbrille,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Socken,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,gelb,Bueroklammer,orange
NF,Kartoffeln,orange,Socken,orange,Zucchini,gruen,Zucchini,braun
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Avokado,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Sonnenbrille,rot,Sonnenbrille,orange
ANF,Bohnen,gruen,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,braun
NF,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Aubergine,rot
ANF,Walnuss,braun,Erdbeere,rot,Zucchini,gruen,Sonnenbrille,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,rot,Zucchini,gruen
NF,Aprikose,rot,Bueroklammer,rot,Sonnenbrille,braun,Waescheklammer,gruen
AF,Socken,gruen,Socken,orange,Bueroklammer,braun,Sonnenbrille,rot
ANF,Erdbeere,rot,Banane,braun,Avokado,gruen,Bueroklammer,gelb
ANF,Zitrone,gelb,Bohnen,gruen,Zucchini,braun,Aubergine,rot
NF,Trauben,orange,Bueroklammer,orange,Avokado,gruen,Socken,rot
ANF,Banane,braun,Zitrone,gelb,Socken,rot,Sonnenbrille,rot
NF,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gelb
NF,Zitrone,gelb,Socken,gelb,Zucchini,braun,Zucchini,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gelb,Bueroklammer,gruen
NF,Gurke,rot,Socken,rot,Bueroklammer,orange,Bueroklammer,gruen
ANF,Aprikose,rot,Erbsen,gelb,Bueroklammer,braun,Zucchini,gruen
NF,Mandarine,orange,Waescheklammer,orange,Bueroklammer,braun,Avokado,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,braun,Aubergine,rot
NF,Tomate,gruen,Socken,gruen,Aubergine,rot,Sonnenbrille,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Waescheklammer,gruen
ANF,Erbsen,gelb,Walnuss,braun,Sonnenbrille,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Aubergine,rot,Zucchini,braun
NF,Paprika,braun,Bueroklammer,braun,Waescheklammer,gruen,Zucchini,rot
ANF,Mandarine,orange,Tomate,gruen,Zucchini,rot,Socken,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Bueroklammer,braun
ANF,Tomate,gruen,Mandarine,orange,Aubergine,rot,Zucchini,braun
NF,Kirsche,gelb,Waescheklammer,gelb,Zucchini,rot,Avokado,rot
ANF,Kartoffeln,orange,Tomate,gruen,Bueroklammer,gelb,Zucchini,rot
AF,Trauben,orange,Trauben,gelb,Socken,rot,Bueroklammer,braun
NF,Banane,braun,Waescheklammer,braun,Socken,gelb,Avokado,gelb
AF,Paprika,braun,Paprika,rot,Zucchini,gruen,Sonnenbrille,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Socken,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,gelb,Bueroklammer,orange
NF,Kartoffeln,orange,Socken,orange,Zucchini,gruen,Zucchini,braun
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Avokado,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Sonnenbrille,rot,Sonnenbrille,orange
ANF,Bohnen,gruen,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,braun
