condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Sonnenbrille,rot
ANF,Bohnen,gruen,Kartoffeln,orange,Avokado,gelb,Socken,braun
NF,Erdbeere,rot,Socken,rot,Waescheklammer,braun,Aubergine,gruen
AF,Socken,gruen,Socken,orange,Zucchini,rot,Avokado,rot
ANF,Tomate,gruen,Zitrone,gelb,Socken,rot,Avokado,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Zucchini,rot
ANF,Banane,braun,Erdbeere,rot,Aubergine,gruen,Birne,orange
AF,Moehre,gruen,Moehre,orange,Avokado,rot,Socken,rot
NF,Kirsche,gelb,Socken,gelb,Avokado,rot,Birne,orange
NF,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Birne,gruen
ANF,Erdbeere,rot,Mandarine,orange,Socken,braun,Avokado,gelb
NF,Kartoffeln,orange,Socken,orange,Aubergine,gruen,Avokado,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Avokado,gruen
NF,Walnuss,braun,Bueroklammer,braun,Zucchini,gruen,Socken,rot
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,braun,Waescheklammer,braun
ANF,Aprikose,rot,Tomate,gruen,Birne,orange,Waescheklammer,braun
AF,Trauben,orange,Trauben,gelb,Avokado,gruen,Aubergine,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,orange
ANF,Mandarine,orange,Walnuss,braun,Avokado,rot,Aubergine,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Socken,gruen
NF,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gruen,Waescheklammer,rot
ANF,Erbsen,gelb,Aprikose,rot,Waescheklammer,braun,Zucchini,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Aubergine,gruen,Avokado,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Birne,orange,Socken,braun
NF,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gruen
AF,Gurke,rot,Gurke,braun,Zucchini,gruen,Birne,orange
ANF,Walnuss,braun,Erbsen,gelb,Socken,gruen,Avokado,gruen
NF,Gurke,rot,Waescheklammer,rot,Socken,gruen,Avokado,gelb
ANF,Zitrone,gelb,Banane,braun,Avokado,gruen,Socken,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Socken,braun
NF,Aprikose,rot,Bueroklammer,rot,Socken,braun,Zucchini,gruen
ANF,Kartoffeln,orange,Bohnen,gruen,Zucchini,rot,Socken,rot
NF,Bohnen,gruen,Socken,gruen,Avokado,gelb,Waescheklammer,braun
AF,Paprika,braun,Paprika,rot,Birne,orange,Zucchini,gruen
NF,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Avokado,rot
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Sonnenbrille,rot
ANF,Bohnen,gruen,Kartoffeln,orange,Avokado,gelb,Socken,braun
NF,Erdbeere,rot,Socken,rot,Waescheklammer,braun,Aubergine,gruen
AF,Socken,gruen,Socken,orange,Zucchini,rot,Avokado,rot
ANF,Tomate,gruen,Zitrone,gelb,Socken,rot,Avokado,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Zucchini,rot
ANF,Banane,braun,Erdbeere,rot,Aubergine,gruen,Birne,orange
AF,Moehre,gruen,Moehre,orange,Avokado,rot,Socken,rot
NF,Kirsche,gelb,Socken,gelb,Avokado,rot,Birne,orange
NF,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Birne,gruen
ANF,Erdbeere,rot,Mandarine,orange,Socken,braun,Avokado,gelb
NF,Kartoffeln,orange,Socken,orange,Aubergine,gruen,Avokado,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Avokado,gruen
NF,Walnuss,braun,Bueroklammer,braun,Zucchini,gruen,Socken,rot
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,braun,Waescheklammer,braun
ANF,Aprikose,rot,Tomate,gruen,Birne,orange,Waescheklammer,braun
AF,Trauben,orange,Trauben,gelb,Avokado,gruen,Aubergine,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,orange
ANF,Mandarine,orange,Walnuss,braun,Avokado,rot,Aubergine,gruen
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Socken,gruen
NF,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gruen,Waescheklammer,rot
ANF,Erbsen,gelb,Aprikose,rot,Waescheklammer,braun,Zucchini,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Aubergine,gruen,Avokado,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Birne,orange,Socken,braun
NF,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gruen
AF,Gurke,rot,Gurke,braun,Zucchini,gruen,Birne,orange
ANF,Walnuss,braun,Erbsen,gelb,Socken,gruen,Avokado,gruen
NF,Gurke,rot,Waescheklammer,rot,Socken,gruen,Avokado,gelb
ANF,Zitrone,gelb,Banane,braun,Avokado,gruen,Socken,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Socken,braun
NF,Aprikose,rot,Bueroklammer,rot,Socken,braun,Zucchini,gruen
ANF,Kartoffeln,orange,Bohnen,gruen,Zucchini,rot,Socken,rot
NF,Bohnen,gruen,Socken,gruen,Avokado,gelb,Waescheklammer,braun
AF,Paprika,braun,Paprika,rot,Birne,orange,Zucchini,gruen
NF,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Avokado,rot
