condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Gurke,rot,Gurke,braun,Aubergine,gruen,Sonnenbrille,gruen
NF,Erbsen,gelb,Socken,gelb,Sonnenbrille,gruen,Aubergine,gruen
ANF,Aprikose,rot,Mandarine,orange,Birne,gruen,Aubergine,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,orange
NF,Erdbeere,rot,Socken,rot,Birne,gruen,Waescheklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Socken,rot,Bueroklammer,rot
AF,Trauben,orange,Trauben,gelb,Birne,gruen,Zucchini,gruen
ANF,Banane,braun,Zitrone,gelb,Socken,gruen,Sonnenbrille,gruen
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,gelb,Waescheklammer,rot
NF,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Bueroklammer,braun
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb
ANF,Erdbeere,rot,Tomate,gruen,Avokado,gelb,Sonnenbrille,gelb
NF,Walnuss,braun,Waescheklammer,braun,Avokado,gruen,Aubergine,rot
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Socken,rot
NF,Trauben,orange,Waescheklammer,orange,Socken,rot,Bueroklammer,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,rot,Bueroklammer,rot
NF,Gurke,rot,Bueroklammer,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Socken,gruen,Socken,orange,Bueroklammer,rot,Avokado,gelb
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Sonnenbrille,gruen
ANF,Zitrone,gelb,Bohnen,gruen,Bueroklammer,rot,Socken,rot
NF,Paprika,braun,Sonnenbrille,braun,Aubergine,gruen,Socken,gruen
NF,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,gruen
ANF,Kartoffeln,orange,Erbsen,gelb,Sonnenbrille,gruen,Socken,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Socken,gruen,Socken,rot
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gruen,Socken,gruen
NF,Kartoffeln,orange,Bueroklammer,orange,Birne,rot,Waescheklammer,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,orange,Birne,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,gruen,Aubergine,gruen
ANF,Tomate,gruen,Banane,braun,Waescheklammer,orange,Bueroklammer,orange
ANF,Walnuss,braun,Aprikose,rot,Sonnenbrille,gelb,Avokado,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Waescheklammer,orange
NF,Bohnen,gruen,Socken,gruen,Bueroklammer,rot,Avokado,gelb
ANF,Mandarine,orange,Walnuss,braun,Aubergine,gruen,Birne,gruen
NF,Tomate,gruen,Bueroklammer,gruen,Waescheklammer,rot,Birne,rot
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,orange,Waescheklammer,orange
AF,Gurke,rot,Gurke,braun,Aubergine,gruen,Sonnenbrille,gruen
NF,Erbsen,gelb,Socken,gelb,Sonnenbrille,gruen,Aubergine,gruen
ANF,Aprikose,rot,Mandarine,orange,Birne,gruen,Aubergine,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,orange
NF,Erdbeere,rot,Socken,rot,Birne,gruen,Waescheklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Socken,rot,Bueroklammer,rot
AF,Trauben,orange,Trauben,gelb,Birne,gruen,Zucchini,gruen
ANF,Banane,braun,Zitrone,gelb,Socken,gruen,Sonnenbrille,gruen
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,gelb,Waescheklammer,rot
NF,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Bueroklammer,braun
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb
ANF,Erdbeere,rot,Tomate,gruen,Avokado,gelb,Sonnenbrille,gelb
NF,Walnuss,braun,Waescheklammer,braun,Avokado,gruen,Aubergine,rot
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Socken,rot
NF,Trauben,orange,Waescheklammer,orange,Socken,rot,Bueroklammer,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,rot,Bueroklammer,rot
NF,Gurke,rot,Bueroklammer,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Socken,gruen,Socken,orange,Bueroklammer,rot,Avokado,gelb
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Sonnenbrille,gruen
ANF,Zitrone,gelb,Bohnen,gruen,Bueroklammer,rot,Socken,rot
NF,Paprika,braun,Sonnenbrille,braun,Aubergine,gruen,Socken,gruen
NF,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,gruen
ANF,Kartoffeln,orange,Erbsen,gelb,Sonnenbrille,gruen,Socken,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Socken,gruen,Socken,rot
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gruen,Socken,gruen
NF,Kartoffeln,orange,Bueroklammer,orange,Birne,rot,Waescheklammer,rot
NF,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,orange,Birne,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,gruen,Aubergine,gruen
ANF,Tomate,gruen,Banane,braun,Waescheklammer,orange,Bueroklammer,orange
ANF,Walnuss,braun,Aprikose,rot,Sonnenbrille,gelb,Avokado,gelb
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Waescheklammer,orange
NF,Bohnen,gruen,Socken,gruen,Bueroklammer,rot,Avokado,gelb
ANF,Mandarine,orange,Walnuss,braun,Aubergine,gruen,Birne,gruen
NF,Tomate,gruen,Bueroklammer,gruen,Waescheklammer,rot,Birne,rot
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,orange,Waescheklammer,orange
