condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Birne,gruen
NF,Paprika,braun,Bueroklammer,braun,Socken,gruen,Sonnenbrille,gelb
NF,Kartoffeln,orange,Socken,orange,Waescheklammer,rot,Birne,gruen
ANF,Erbsen,gelb,Walnuss,braun,Bueroklammer,rot,Socken,gruen
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,rot,Waescheklammer,rot
AF,Paprika,braun,Paprika,rot,Birne,gruen,Aubergine,gruen
NF,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,rot
NF,Banane,braun,Waescheklammer,braun,Socken,rot,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Avokado,gelb
NF,Mandarine,orange,Bueroklammer,orange,Avokado,gelb,Socken,rot
ANF,Walnuss,braun,Zitrone,gelb,Socken,gruen,Socken,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Avokado,gruen,Bueroklammer,braun
AF,Socken,gruen,Socken,orange,Avokado,gelb,Bueroklammer,rot
ANF,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Avokado,gelb
NF,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,rot,Zucchini,rot
ANF,Tomate,gruen,Erbsen,gelb,Zucchini,rot,Bueroklammer,orange
AF,Gurke,rot,Gurke,braun,Sonnenbrille,gelb,Bueroklammer,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,rot,Socken,rot
ANF,Banane,braun,Kartoffeln,orange,Aubergine,rot,Waescheklammer,rot
NF,Erbsen,gelb,Waescheklammer,gelb,Aubergine,rot,Aubergine,gruen
ANF,Bohnen,gruen,Erdbeere,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,orange,Socken,gruen
NF,Gurke,rot,Bueroklammer,rot,Socken,gelb,Avokado,gruen
ANF,Mandarine,orange,Bohnen,gruen,Waescheklammer,rot,Zucchini,rot
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gelb,Socken,gelb
ANF,Zitrone,gelb,Tomate,gruen,Socken,rot,Bueroklammer,rot
ANF,Aprikose,rot,Banane,braun,Bueroklammer,orange,Birne,gruen
NF,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Zucchini,rot
NF,Tomate,gruen,Socken,gruen,Sonnenbrille,gelb,Bueroklammer,rot
ANF,Kartoffeln,orange,Aprikose,rot,Birne,gruen,Aubergine,gruen
AF,Trauben,orange,Trauben,gelb,Aubergine,rot,Waescheklammer,rot
NF,Aprikose,rot,Socken,rot,Aubergine,gruen,Bueroklammer,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gruen,Sonnenbrille,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Bueroklammer,orange,Aubergine,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Birne,gruen
NF,Paprika,braun,Bueroklammer,braun,Socken,gruen,Sonnenbrille,gelb
NF,Kartoffeln,orange,Socken,orange,Waescheklammer,rot,Birne,gruen
ANF,Erbsen,gelb,Walnuss,braun,Bueroklammer,rot,Socken,gruen
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,rot,Waescheklammer,rot
AF,Paprika,braun,Paprika,rot,Birne,gruen,Aubergine,gruen
NF,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,rot
NF,Banane,braun,Waescheklammer,braun,Socken,rot,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Avokado,gelb
NF,Mandarine,orange,Bueroklammer,orange,Avokado,gelb,Socken,rot
ANF,Walnuss,braun,Zitrone,gelb,Socken,gruen,Socken,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Avokado,gruen,Bueroklammer,braun
AF,Socken,gruen,Socken,orange,Avokado,gelb,Bueroklammer,rot
ANF,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Avokado,gelb
NF,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,rot,Zucchini,rot
ANF,Tomate,gruen,Erbsen,gelb,Zucchini,rot,Bueroklammer,orange
AF,Gurke,rot,Gurke,braun,Sonnenbrille,gelb,Bueroklammer,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,rot,Socken,rot
ANF,Banane,braun,Kartoffeln,orange,Aubergine,rot,Waescheklammer,rot
NF,Erbsen,gelb,Waescheklammer,gelb,Aubergine,rot,Aubergine,gruen
ANF,Bohnen,gruen,Erdbeere,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,orange,Socken,gruen
NF,Gurke,rot,Bueroklammer,rot,Socken,gelb,Avokado,gruen
ANF,Mandarine,orange,Bohnen,gruen,Waescheklammer,rot,Zucchini,rot
NF,Erdbeere,rot,Waescheklammer,rot,Aubergine,gelb,Socken,gelb
ANF,Zitrone,gelb,Tomate,gruen,Socken,rot,Bueroklammer,rot
ANF,Aprikose,rot,Banane,braun,Bueroklammer,orange,Birne,gruen
NF,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Zucchini,rot
NF,Tomate,gruen,Socken,gruen,Sonnenbrille,gelb,Bueroklammer,rot
ANF,Kartoffeln,orange,Aprikose,rot,Birne,gruen,Aubergine,gruen
AF,Trauben,orange,Trauben,gelb,Aubergine,rot,Waescheklammer,rot
NF,Aprikose,rot,Socken,rot,Aubergine,gruen,Bueroklammer,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gruen,Sonnenbrille,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Bueroklammer,orange,Aubergine,rot
