condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Bohnen,gruen,Erbsen,gelb,Bueroklammer,rot,Socken,braun
NF,Mandarine,orange,Socken,orange,Aubergine,rot,Bueroklammer,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Waescheklammer,orange
NF,Erdbeere,rot,Bueroklammer,rot,Aubergine,gelb,Sonnenbrille,braun
ANF,Mandarine,orange,Banane,braun,Avokado,gruen,Aubergine,rot
AF,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,rot
ANF,Erbsen,gelb,Aprikose,rot,Socken,braun,Sonnenbrille,gruen
NF,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Socken,braun
AF,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Avokado,gelb
NF,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,rot
ANF,Tomate,gruen,Erdbeere,rot,Avokado,gelb,Bueroklammer,orange
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Bueroklammer,gruen
ANF,Kartoffeln,orange,Bohnen,gruen,Aubergine,rot,Avokado,gelb
AF,Gurke,rot,Gurke,braun,Bueroklammer,orange,Sonnenbrille,gruen
ANF,Aprikose,rot,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen
NF,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gruen,Bueroklammer,gruen
NF,Kirsche,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange
AF,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,braun
NF,Zitrone,gelb,Waescheklammer,gelb,Avokado,gruen,Sonnenbrille,gruen
ANF,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Waescheklammer,orange
NF,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,gruen,Aubergine,rot
AF,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gruen,Waescheklammer,orange
ANF,Walnuss,braun,Tomate,gruen,Waescheklammer,orange,Socken,rot
