condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Mandarine,orange,Zitrone,gelb,Birne,rot,Waescheklammer,rot
NF,Banane,braun,Bueroklammer,braun,Aubergine,rot,Socken,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,braun,Aubergine,rot
NF,Erdbeere,rot,Bueroklammer,rot,Sonnenbrille,orange,Zucchini,braun
AF,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Zucchini,gruen
NF,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,rot
ANF,Zitrone,gelb,Tomate,gruen,Zucchini,braun,Aubergine,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,gruen,Waescheklammer,orange
NF,Trauben,orange,Bueroklammer,orange,Waescheklammer,gelb,Zucchini,gruen
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Socken,gelb
NF,Bohnen,gruen,Socken,gruen,Sonnenbrille,rot,Waescheklammer,gelb
NF,Gurke,rot,Socken,rot,Zucchini,braun,Sonnenbrille,orange
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Aubergine,gelb,Waescheklammer,rot
NF,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Sonnenbrille,gelb
AF,Socken,gruen,Socken,orange,Waescheklammer,rot,Birne,rot
ANF,Erbsen,gelb,Kartoffeln,orange,Sonnenbrille,rot,Zucchini,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Birne,orange,Waescheklammer,orange
ANF,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Waescheklammer,gelb
NF,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,gelb,Sonnenbrille,rot
ANF,Aprikose,rot,Banane,braun,Socken,gelb,Aubergine,gelb
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Waescheklammer,rot
NF,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Aubergine,gelb
ANF,Walnuss,braun,Bohnen,gruen,Waescheklammer,rot,Birne,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gelb,Birne,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb
NF,Zitrone,gelb,Socken,gelb,Waescheklammer,orange,Avokado,gruen
ANF,Banane,braun,Aprikose,rot,Sonnenbrille,orange,Socken,gelb
ANF,Tomate,gruen,Erdbeere,rot,Aubergine,gelb,Zucchini,braun
AF,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,braun
NF,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Birne,orange
AF,Kirsche,gelb,Kirsche,gruen,Aubergine,rot,Sonnenbrille,orange
ANF,Kartoffeln,orange,Walnuss,braun,Aubergine,rot,Sonnenbrille,gelb
ANF,Bohnen,gruen,Erbsen,gelb,Waescheklammer,orange,Sonnenbrille,orange
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Waescheklammer,gelb
NF,Mandarine,orange,Socken,orange,Avokado,gruen,Zucchini,gelb
ANF,Mandarine,orange,Zitrone,gelb,Birne,rot,Waescheklammer,rot
NF,Banane,braun,Bueroklammer,braun,Aubergine,rot,Socken,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,braun,Aubergine,rot
NF,Erdbeere,rot,Bueroklammer,rot,Sonnenbrille,orange,Zucchini,braun
AF,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Zucchini,gruen
NF,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,rot
ANF,Zitrone,gelb,Tomate,gruen,Zucchini,braun,Aubergine,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,gruen,Waescheklammer,orange
NF,Trauben,orange,Bueroklammer,orange,Waescheklammer,gelb,Zucchini,gruen
AF,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Socken,gelb
NF,Bohnen,gruen,Socken,gruen,Sonnenbrille,rot,Waescheklammer,gelb
NF,Gurke,rot,Socken,rot,Zucchini,braun,Sonnenbrille,orange
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Aubergine,gelb,Waescheklammer,rot
NF,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Sonnenbrille,gelb
AF,Socken,gruen,Socken,orange,Waescheklammer,rot,Birne,rot
ANF,Erbsen,gelb,Kartoffeln,orange,Sonnenbrille,rot,Zucchini,gruen
NF,Moehre,gruen,Sonnenbrille,gruen,Birne,orange,Waescheklammer,orange
ANF,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Waescheklammer,gelb
NF,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,gelb,Sonnenbrille,rot
ANF,Aprikose,rot,Banane,braun,Socken,gelb,Aubergine,gelb
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Waescheklammer,rot
NF,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Aubergine,gelb
ANF,Walnuss,braun,Bohnen,gruen,Waescheklammer,rot,Birne,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gelb,Birne,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb
NF,Zitrone,gelb,Socken,gelb,Waescheklammer,orange,Avokado,gruen
ANF,Banane,braun,Aprikose,rot,Sonnenbrille,orange,Socken,gelb
ANF,Tomate,gruen,Erdbeere,rot,Aubergine,gelb,Zucchini,braun
AF,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,braun
NF,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Birne,orange
AF,Kirsche,gelb,Kirsche,gruen,Aubergine,rot,Sonnenbrille,orange
ANF,Kartoffeln,orange,Walnuss,braun,Aubergine,rot,Sonnenbrille,gelb
ANF,Bohnen,gruen,Erbsen,gelb,Waescheklammer,orange,Sonnenbrille,orange
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Waescheklammer,gelb
NF,Mandarine,orange,Socken,orange,Avokado,gruen,Zucchini,gelb
