condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Erbsen,gelb,Erdbeere,rot,Socken,gruen,Sonnenbrille,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Socken,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot
NF,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun
ANF,Tomate,gruen,Banane,braun,Bueroklammer,rot,Waescheklammer,rot
NF,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,rot,Birne,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Sonnenbrille,orange
NF,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot
ANF,Mandarine,orange,Tomate,gruen,Socken,gelb,Sonnenbrille,rot
NF,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun
ANF,Aprikose,rot,Walnuss,braun,Avokado,gruen,Waescheklammer,gruen
AF,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
NF,Kartoffeln,orange,Socken,orange,Sonnenbrille,rot,Birne,gruen
ANF,Kartoffeln,orange,Erbsen,gelb,Birne,rot,Zucchini,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot
AF,Paprika,braun,Paprika,rot,Sonnenbrille,orange,Socken,gelb
NF,Tomate,gruen,Socken,gruen,Bueroklammer,braun,Aubergine,rot
ANF,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,gelb
NF,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun
ANF,Banane,braun,Mandarine,orange,Birne,gruen,Bueroklammer,rot
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot
ANF,Walnuss,braun,Aprikose,rot,Sonnenbrille,orange,Birne,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,gruen,Bueroklammer,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,orange
ANF,Erdbeere,rot,Zitrone,gelb,Sonnenbrille,braun,Socken,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Socken,gruen,Avokado,gruen
ANF,Zitrone,gelb,Bohnen,gruen,Waescheklammer,rot,Sonnenbrille,braun
AF,Sonnenbrille,braun,Sonnenbrille,rot,Socken,gelb,Birne,gruen
AF,Socken,gruen,Socken,orange,Sonnenbrille,rot,Bueroklammer,rot
NF,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,orange,Socken,gruen
AF,Trauben,orange,Trauben,gelb,Birne,gruen,Sonnenbrille,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Socken,gelb
ANF,Erbsen,gelb,Erdbeere,rot,Socken,gruen,Sonnenbrille,orange
AF,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Socken,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot
NF,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun
ANF,Tomate,gruen,Banane,braun,Bueroklammer,rot,Waescheklammer,rot
NF,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,rot,Birne,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Sonnenbrille,orange
NF,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot
ANF,Mandarine,orange,Tomate,gruen,Socken,gelb,Sonnenbrille,rot
NF,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun
ANF,Aprikose,rot,Walnuss,braun,Avokado,gruen,Waescheklammer,gruen
AF,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
NF,Kartoffeln,orange,Socken,orange,Sonnenbrille,rot,Birne,gruen
ANF,Kartoffeln,orange,Erbsen,gelb,Birne,rot,Zucchini,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot
AF,Paprika,braun,Paprika,rot,Sonnenbrille,orange,Socken,gelb
NF,Tomate,gruen,Socken,gruen,Bueroklammer,braun,Aubergine,rot
ANF,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,gelb
NF,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun
ANF,Banane,braun,Mandarine,orange,Birne,gruen,Bueroklammer,rot
NF,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot
ANF,Walnuss,braun,Aprikose,rot,Sonnenbrille,orange,Birne,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Birne,gruen,Bueroklammer,rot
NF,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,orange
ANF,Erdbeere,rot,Zitrone,gelb,Sonnenbrille,braun,Socken,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Socken,gruen,Avokado,gruen
ANF,Zitrone,gelb,Bohnen,gruen,Waescheklammer,rot,Sonnenbrille,braun
AF,Sonnenbrille,braun,Sonnenbrille,rot,Socken,gelb,Birne,gruen
AF,Socken,gruen,Socken,orange,Sonnenbrille,rot,Bueroklammer,rot
NF,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,orange,Socken,gruen
AF,Trauben,orange,Trauben,gelb,Birne,gruen,Sonnenbrille,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Socken,gelb
