condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Kartoffeln,orange,Banane,braun,Aubergine,gruen,Bueroklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen
NF,Tomate,gruen,Socken,gruen,Waescheklammer,braun,Waescheklammer,orange
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gelb,Bueroklammer,gelb
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Waescheklammer,braun
NF,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun
ANF,Walnuss,braun,Erdbeere,rot,Waescheklammer,gelb,Bueroklammer,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Avokado,rot,Bueroklammer,orange
NF,Trauben,orange,Waescheklammer,orange,Aubergine,gruen,Sonnenbrille,rot
ANF,Mandarine,orange,Aprikose,rot,Zucchini,braun,Socken,gruen
NF,Gurke,rot,Socken,rot,Zucchini,braun,Bueroklammer,braun
ANF,Aprikose,rot,Zitrone,gelb,Socken,gruen,Bueroklammer,braun
NF,Kirsche,gelb,Socken,gelb,Avokado,gruen,Zucchini,gruen
AF,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Socken,gruen
ANF,Erbsen,gelb,Walnuss,braun,Waescheklammer,orange,Aubergine,gruen
NF,Aprikose,rot,Bueroklammer,rot,Zucchini,gruen,Avokado,gruen
AF,Socken,gruen,Socken,orange,Zucchini,braun,Bueroklammer,braun
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Waescheklammer,gelb
NF,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Bueroklammer,gruen
ANF,Banane,braun,Tomate,gruen,Avokado,rot,Bueroklammer,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Avokado,rot,Bueroklammer,orange
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,gelb,Waescheklammer,gelb
ANF,Erdbeere,rot,Erbsen,gelb,Bueroklammer,gruen,Waescheklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,braun,Sonnenbrille,rot
NF,Mandarine,orange,Socken,orange,Bueroklammer,gelb,Zucchini,gelb
ANF,Zitrone,gelb,Bohnen,gruen,Bueroklammer,orange,Avokado,rot
NF,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,braun,Avokado,rot
AF,Trauben,orange,Trauben,gelb,Waescheklammer,braun,Bueroklammer,gruen
NF,Banane,braun,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen
AF,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,rot
NF,Zitrone,gelb,Sonnenbrille,gelb,Socken,gruen,Zucchini,braun
AF,Paprika,braun,Paprika,rot,Bueroklammer,orange,Waescheklammer,orange
ANF,Tomate,gruen,Mandarine,orange,Bueroklammer,braun,Zucchini,braun
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,gruen,Socken,gruen
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Zucchini,braun
ANF,Kartoffeln,orange,Banane,braun,Aubergine,gruen,Bueroklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen
NF,Tomate,gruen,Socken,gruen,Waescheklammer,braun,Waescheklammer,orange
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gelb,Bueroklammer,gelb
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Waescheklammer,braun
NF,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun
ANF,Walnuss,braun,Erdbeere,rot,Waescheklammer,gelb,Bueroklammer,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Avokado,rot,Bueroklammer,orange
NF,Trauben,orange,Waescheklammer,orange,Aubergine,gruen,Sonnenbrille,rot
ANF,Mandarine,orange,Aprikose,rot,Zucchini,braun,Socken,gruen
NF,Gurke,rot,Socken,rot,Zucchini,braun,Bueroklammer,braun
ANF,Aprikose,rot,Zitrone,gelb,Socken,gruen,Bueroklammer,braun
NF,Kirsche,gelb,Socken,gelb,Avokado,gruen,Zucchini,gruen
AF,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Socken,gruen
ANF,Erbsen,gelb,Walnuss,braun,Waescheklammer,orange,Aubergine,gruen
NF,Aprikose,rot,Bueroklammer,rot,Zucchini,gruen,Avokado,gruen
AF,Socken,gruen,Socken,orange,Zucchini,braun,Bueroklammer,braun
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Waescheklammer,gelb
NF,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Bueroklammer,gruen
ANF,Banane,braun,Tomate,gruen,Avokado,rot,Bueroklammer,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Avokado,rot,Bueroklammer,orange
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,gelb,Waescheklammer,gelb
ANF,Erdbeere,rot,Erbsen,gelb,Bueroklammer,gruen,Waescheklammer,orange
ANF,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,braun,Sonnenbrille,rot
NF,Mandarine,orange,Socken,orange,Bueroklammer,gelb,Zucchini,gelb
ANF,Zitrone,gelb,Bohnen,gruen,Bueroklammer,orange,Avokado,rot
NF,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,braun,Avokado,rot
AF,Trauben,orange,Trauben,gelb,Waescheklammer,braun,Bueroklammer,gruen
NF,Banane,braun,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen
AF,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,rot
