condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Bohnen,gruen,Erbsen,gelb,Socken,orange,Avokado,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Waescheklammer,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Bueroklammer,braun
ANF,Kartoffeln,orange,Erdbeere,rot,Bueroklammer,braun,Avokado,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Socken,orange,Avokado,rot
ANF,Erdbeere,rot,Banane,braun,Waescheklammer,gelb,Socken,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Birne,orange,Socken,rot
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Zucchini,braun
NF,Zitrone,gelb,Socken,gelb,Avokado,rot,Zucchini,braun
NF,Mandarine,orange,Socken,orange,Bueroklammer,gruen,Avokado,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Sonnenbrille,orange
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,gelb,Socken,gruen
ANF,Aprikose,rot,Bohnen,gruen,Zucchini,braun,Waescheklammer,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Bueroklammer,gruen
ANF,Tomate,gruen,Mandarine,orange,Zucchini,gelb,Bueroklammer,braun
AF,Paprika,braun,Paprika,rot,Avokado,gruen,Bueroklammer,gruen
NF,Aprikose,rot,Socken,rot,Waescheklammer,orange,Birne,orange
ANF,Banane,braun,Kartoffeln,orange,Zucchini,rot,Bueroklammer,gruen
NF,Gurke,rot,Waescheklammer,rot,Bueroklammer,braun,Sonnenbrille,orange
ANF,Mandarine,orange,Zitrone,gelb,Avokado,gruen,Zucchini,rot
NF,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,orange
ANF,Zitrone,gelb,Tomate,gruen,Socken,rot,Zucchini,braun
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb
AF,Trauben,orange,Trauben,gelb,Socken,rot,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,orange
NF,Banane,braun,Waescheklammer,braun,Zucchini,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Zucchini,braun,Avokado,rot
NF,Erdbeere,rot,Bueroklammer,rot,Socken,gruen,Socken,gelb
ANF,Erbsen,gelb,Walnuss,braun,Avokado,rot,Socken,rot
NF,Moehre,gruen,Socken,gruen,Waescheklammer,gelb,Zucchini,rot
NF,Trauben,orange,Bueroklammer,orange,Avokado,gruen,Zucchini,gelb
ANF,Walnuss,braun,Aprikose,rot,Bueroklammer,gruen,Birne,orange
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gruen,Birne,orange
AF,Socken,gruen,Socken,orange,Zucchini,rot,Bueroklammer,braun
ANF,Bohnen,gruen,Erbsen,gelb,Socken,orange,Avokado,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Waescheklammer,gelb
NF,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Bueroklammer,braun
ANF,Kartoffeln,orange,Erdbeere,rot,Bueroklammer,braun,Avokado,gruen
NF,Kirsche,gelb,Sonnenbrille,gelb,Socken,orange,Avokado,rot
ANF,Erdbeere,rot,Banane,braun,Waescheklammer,gelb,Socken,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Birne,orange,Socken,rot
NF,Bohnen,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Zucchini,braun
NF,Zitrone,gelb,Socken,gelb,Avokado,rot,Zucchini,braun
NF,Mandarine,orange,Socken,orange,Bueroklammer,gruen,Avokado,gruen
AF,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Sonnenbrille,orange
NF,Kartoffeln,orange,Waescheklammer,orange,Socken,gelb,Socken,gruen
ANF,Aprikose,rot,Bohnen,gruen,Zucchini,braun,Waescheklammer,gelb
NF,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Bueroklammer,gruen
ANF,Tomate,gruen,Mandarine,orange,Zucchini,gelb,Bueroklammer,braun
AF,Paprika,braun,Paprika,rot,Avokado,gruen,Bueroklammer,gruen
NF,Aprikose,rot,Socken,rot,Waescheklammer,orange,Birne,orange
ANF,Banane,braun,Kartoffeln,orange,Zucchini,rot,Bueroklammer,gruen
NF,Gurke,rot,Waescheklammer,rot,Bueroklammer,braun,Sonnenbrille,orange
ANF,Mandarine,orange,Zitrone,gelb,Avokado,gruen,Zucchini,rot
NF,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,orange
ANF,Zitrone,gelb,Tomate,gruen,Socken,rot,Zucchini,braun
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb
AF,Trauben,orange,Trauben,gelb,Socken,rot,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,orange
NF,Banane,braun,Waescheklammer,braun,Zucchini,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Zucchini,braun,Avokado,rot
NF,Erdbeere,rot,Bueroklammer,rot,Socken,gruen,Socken,gelb
ANF,Erbsen,gelb,Walnuss,braun,Avokado,rot,Socken,rot
NF,Moehre,gruen,Socken,gruen,Waescheklammer,gelb,Zucchini,rot
NF,Trauben,orange,Bueroklammer,orange,Avokado,gruen,Zucchini,gelb
ANF,Walnuss,braun,Aprikose,rot,Bueroklammer,gruen,Birne,orange
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gruen,Birne,orange
AF,Socken,gruen,Socken,orange,Zucchini,rot,Bueroklammer,braun
