condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,gruen
NF,Aprikose,rot,Socken,rot,Sonnenbrille,gruen,Waescheklammer,gelb
ANF,Erdbeere,rot,Tomate,gruen,Socken,braun,Socken,orange
NF,Kartoffeln,orange,Socken,orange,Bueroklammer,gruen,Waescheklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Socken,gruen
NF,Erbsen,gelb,Sonnenbrille,gelb,Socken,orange,Aubergine,gruen
AF,Kirsche,gelb,Kirsche,gruen,Socken,rot,Socken,braun
NF,Banane,braun,Waescheklammer,braun,Socken,gruen,Sonnenbrille,gruen
ANF,Zitrone,gelb,Erdbeere,rot,Socken,gruen,Waescheklammer,braun
ANF,Kartoffeln,orange,Aprikose,rot,Aubergine,gruen,Birne,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,rot
NF,Gurke,rot,Bueroklammer,rot,Socken,braun,Birne,gruen
ANF,Tomate,gruen,Banane,braun,Waescheklammer,gelb,Sonnenbrille,orange
NF,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gruen
AF,Moehre,gruen,Moehre,orange,Zucchini,rot,Avokado,rot
ANF,Bohnen,gruen,Zitrone,gelb,Zucchini,rot,Socken,rot
NF,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Socken,gruen
ANF,Walnuss,braun,Bohnen,gruen,Socken,orange,Avokado,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Birne,gruen,Aubergine,gruen
NF,Mandarine,orange,Waescheklammer,orange,Birne,gruen,Zucchini,rot
AF,Gurke,rot,Gurke,braun,Sonnenbrille,gruen,Birne,gruen
ANF,Banane,braun,Mandarine,orange,Avokado,rot,Aubergine,gruen
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Socken,orange,Socken,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Bueroklammer,gruen
NF,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Socken,braun
AF,Socken,gruen,Socken,orange,Avokado,rot,Zucchini,rot
ANF,Mandarine,orange,Erbsen,gelb,Sonnenbrille,gruen,Zucchini,rot
NF,Kirsche,gelb,Waescheklammer,gelb,Avokado,rot,Socken,orange
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Socken,orange
NF,Trauben,orange,Bueroklammer,orange,Aubergine,gruen,Avokado,rot
NF,Tomate,gruen,Socken,gruen,Waescheklammer,gelb,Waescheklammer,braun
ANF,Aprikose,rot,Kartoffeln,orange,Birne,gruen,Socken,braun
NF,Zitrone,gelb,Socken,gelb,Waescheklammer,braun,Sonnenbrille,orange
ANF,Erbsen,gelb,Walnuss,braun,Socken,rot,Sonnenbrille,gruen
NF,Paprika,braun,Bueroklammer,braun,Waescheklammer,gruen,Aubergine,rot
AF,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,gruen
NF,Aprikose,rot,Socken,rot,Sonnenbrille,gruen,Waescheklammer,gelb
ANF,Erdbeere,rot,Tomate,gruen,Socken,braun,Socken,orange
NF,Kartoffeln,orange,Socken,orange,Bueroklammer,gruen,Waescheklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Socken,gruen
NF,Erbsen,gelb,Sonnenbrille,gelb,Socken,orange,Aubergine,gruen
AF,Kirsche,gelb,Kirsche,gruen,Socken,rot,Socken,braun
NF,Banane,braun,Waescheklammer,braun,Socken,gruen,Sonnenbrille,gruen
ANF,Zitrone,gelb,Erdbeere,rot,Socken,gruen,Waescheklammer,braun
ANF,Kartoffeln,orange,Aprikose,rot,Aubergine,gruen,Birne,gruen
NF,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,rot
NF,Gurke,rot,Bueroklammer,rot,Socken,braun,Birne,gruen
ANF,Tomate,gruen,Banane,braun,Waescheklammer,gelb,Sonnenbrille,orange
NF,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gruen
AF,Moehre,gruen,Moehre,orange,Zucchini,rot,Avokado,rot
ANF,Bohnen,gruen,Zitrone,gelb,Zucchini,rot,Socken,rot
NF,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Socken,gruen
ANF,Walnuss,braun,Bohnen,gruen,Socken,orange,Avokado,rot
