condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Erbsen,gelb,Tomate,gruen,Avokado,rot,Bueroklammer,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,orange,Birne,gruen
NF,Walnuss,braun,Waescheklammer,braun,Avokado,gruen,Avokado,rot
AF,Trauben,orange,Trauben,gelb,Aubergine,rot,Socken,braun
NF,Paprika,braun,Sonnenbrille,braun,Avokado,rot,Avokado,gruen
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Avokado,rot,Socken,orange
ANF,Aprikose,rot,Erbsen,gelb,Birne,gruen,Avokado,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Socken,orange,Bueroklammer,orange
NF,Aprikose,rot,Waescheklammer,rot,Socken,braun,Aubergine,gruen
ANF,Tomate,gruen,Zitrone,gelb,Socken,orange,Avokado,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,rot,Birne,gruen
NF,Kirsche,gelb,Socken,gelb,Bueroklammer,gruen,Birne,rot
ANF,Bohnen,gruen,Aprikose,rot,Waescheklammer,gelb,Socken,orange
ANF,Erdbeere,rot,Kartoffeln,orange,Aubergine,gruen,Socken,braun
AF,Socken,gruen,Socken,orange,Birne,rot,Aubergine,rot
NF,Mandarine,orange,Bueroklammer,orange,Birne,gruen,Waescheklammer,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Aubergine,gruen
NF,Trauben,orange,Socken,orange,Bueroklammer,braun,Bueroklammer,rot
ANF,Kartoffeln,orange,Erdbeere,rot,Socken,braun,Aubergine,gruen
NF,Banane,braun,Bueroklammer,braun,Aubergine,rot,Waescheklammer,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,gruen,Bueroklammer,gruen
ANF,Zitrone,gelb,Walnuss,braun,Bueroklammer,gruen,Aubergine,rot
NF,Tomate,gruen,Bueroklammer,gruen,Birne,rot,Aubergine,rot
NF,Gurke,rot,Socken,rot,Aubergine,gruen,Bueroklammer,gruen
AF,Kirsche,gelb,Kirsche,gruen,Socken,braun,Birne,rot
ANF,Banane,braun,Bohnen,gruen,Aubergine,rot,Waescheklammer,gelb
NF,Moehre,gruen,Socken,gruen,Waescheklammer,rot,Bueroklammer,braun
ANF,Walnuss,braun,Mandarine,orange,Avokado,gruen,Birne,rot
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Waescheklammer,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Waescheklammer,braun,Socken,gruen
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Avokado,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gelb,Socken,braun
ANF,Mandarine,orange,Banane,braun,Birne,rot,Bueroklammer,gruen
NF,Bohnen,gruen,Sonnenbrille,gruen,Bueroklammer,orange,Socken,orange
AF,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Avokado,gruen
ANF,Erbsen,gelb,Tomate,gruen,Avokado,rot,Bueroklammer,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,orange,Birne,gruen
NF,Walnuss,braun,Waescheklammer,braun,Avokado,gruen,Avokado,rot
AF,Trauben,orange,Trauben,gelb,Aubergine,rot,Socken,braun
NF,Paprika,braun,Sonnenbrille,braun,Avokado,rot,Avokado,gruen
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Avokado,rot,Socken,orange
ANF,Aprikose,rot,Erbsen,gelb,Birne,gruen,Avokado,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Socken,orange,Bueroklammer,orange
NF,Aprikose,rot,Waescheklammer,rot,Socken,braun,Aubergine,gruen
ANF,Tomate,gruen,Zitrone,gelb,Socken,orange,Avokado,rot
NF,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,rot,Birne,gruen
NF,Kirsche,gelb,Socken,gelb,Bueroklammer,gruen,Birne,rot
ANF,Bohnen,gruen,Aprikose,rot,Waescheklammer,gelb,Socken,orange
ANF,Erdbeere,rot,Kartoffeln,orange,Aubergine,gruen,Socken,braun
AF,Socken,gruen,Socken,orange,Birne,rot,Aubergine,rot
NF,Mandarine,orange,Bueroklammer,orange,Birne,gruen,Waescheklammer,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Aubergine,gruen
NF,Trauben,orange,Socken,orange,Bueroklammer,braun,Bueroklammer,rot
ANF,Kartoffeln,orange,Erdbeere,rot,Socken,braun,Aubergine,gruen
NF,Banane,braun,Bueroklammer,braun,Aubergine,rot,Waescheklammer,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Avokado,gruen,Bueroklammer,gruen
ANF,Zitrone,gelb,Walnuss,braun,Bueroklammer,gruen,Aubergine,rot
NF,Tomate,gruen,Bueroklammer,gruen,Birne,rot,Aubergine,rot
NF,Gurke,rot,Socken,rot,Aubergine,gruen,Bueroklammer,gruen
AF,Kirsche,gelb,Kirsche,gruen,Socken,braun,Birne,rot
ANF,Banane,braun,Bohnen,gruen,Aubergine,rot,Waescheklammer,gelb
NF,Moehre,gruen,Socken,gruen,Waescheklammer,rot,Bueroklammer,braun
ANF,Walnuss,braun,Mandarine,orange,Avokado,gruen,Birne,rot
AF,Paprika,braun,Paprika,rot,Aubergine,gruen,Waescheklammer,gelb
NF,Erbsen,gelb,Sonnenbrille,gelb,Waescheklammer,braun,Socken,gruen
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Avokado,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gelb,Socken,braun
ANF,Mandarine,orange,Banane,braun,Birne,rot,Bueroklammer,gruen
