condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Socken,orange
NF,Moehre,gruen,Bueroklammer,gruen,Socken,gelb,Avokado,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gruen,Zucchini,gelb
NF,Zitrone,gelb,Socken,gelb,Bueroklammer,gruen,Sonnenbrille,orange
NF,Gurke,rot,Bueroklammer,rot,Aubergine,gruen,Socken,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,rot
ANF,Mandarine,orange,Bohnen,gruen,Zucchini,rot,Bueroklammer,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,orange,Bueroklammer,gruen
ANF,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb
AF,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot
ANF,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,rot,Bueroklammer,gruen
NF,Tomate,gruen,Socken,gruen,Aubergine,rot,Bueroklammer,rot
ANF,Zitrone,gelb,Aprikose,rot,Socken,orange,Aubergine,gruen
NF,Kartoffeln,orange,Bueroklammer,orange,Zucchini,rot,Waescheklammer,gruen
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Aubergine,gruen
NF,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Zucchini,rot
NF,Walnuss,braun,Bueroklammer,braun,Waescheklammer,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Aubergine,rot
NF,Aprikose,rot,Waescheklammer,rot,Socken,orange,Sonnenbrille,gelb
ANF,Aprikose,rot,Kartoffeln,orange,Sonnenbrille,gelb,Socken,gelb
NF,Paprika,braun,Waescheklammer,braun,Birne,gruen,Socken,gelb
ANF,Tomate,gruen,Zitrone,gelb,Sonnenbrille,orange,Zucchini,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Sonnenbrille,orange
ANF,Walnuss,braun,Tomate,gruen,Zucchini,gelb,Waescheklammer,orange
NF,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,gelb,Waescheklammer,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Bueroklammer,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,gruen,Waescheklammer,gruen
ANF,Bohnen,gruen,Banane,braun,Waescheklammer,orange,Sonnenbrille,orange
AF,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Waescheklammer,gruen
NF,Banane,braun,Sonnenbrille,braun,Waescheklammer,gruen,Zucchini,gelb
NF,Trauben,orange,Socken,orange,Avokado,rot,Birne,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,orange,Waescheklammer,orange
NF,Erdbeere,rot,Socken,rot,Sonnenbrille,gelb,Aubergine,gruen
ANF,Erdbeere,rot,Walnuss,braun,Aubergine,gruen,Socken,orange
NF,Mandarine,orange,Waescheklammer,orange,Bueroklammer,rot,Aubergine,rot
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Socken,orange
NF,Moehre,gruen,Bueroklammer,gruen,Socken,gelb,Avokado,rot
AF,Gurke,rot,Gurke,braun,Waescheklammer,gruen,Zucchini,gelb
NF,Zitrone,gelb,Socken,gelb,Bueroklammer,gruen,Sonnenbrille,orange
NF,Gurke,rot,Bueroklammer,rot,Aubergine,gruen,Socken,orange
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,rot
ANF,Mandarine,orange,Bohnen,gruen,Zucchini,rot,Bueroklammer,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,orange,Bueroklammer,gruen
ANF,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb
AF,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot
ANF,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,rot,Bueroklammer,gruen
NF,Tomate,gruen,Socken,gruen,Aubergine,rot,Bueroklammer,rot
ANF,Zitrone,gelb,Aprikose,rot,Socken,orange,Aubergine,gruen
NF,Kartoffeln,orange,Bueroklammer,orange,Zucchini,rot,Waescheklammer,gruen
AF,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Aubergine,gruen
NF,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Zucchini,rot
NF,Walnuss,braun,Bueroklammer,braun,Waescheklammer,rot,Socken,rot
AF,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Aubergine,rot
NF,Aprikose,rot,Waescheklammer,rot,Socken,orange,Sonnenbrille,gelb
ANF,Aprikose,rot,Kartoffeln,orange,Sonnenbrille,gelb,Socken,gelb
NF,Paprika,braun,Waescheklammer,braun,Birne,gruen,Socken,gelb
ANF,Tomate,gruen,Zitrone,gelb,Sonnenbrille,orange,Zucchini,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Sonnenbrille,orange
ANF,Walnuss,braun,Tomate,gruen,Zucchini,gelb,Waescheklammer,orange
NF,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,gelb,Waescheklammer,orange
AF,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Bueroklammer,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,gruen,Waescheklammer,gruen
ANF,Bohnen,gruen,Banane,braun,Waescheklammer,orange,Sonnenbrille,orange
AF,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Waescheklammer,gruen
NF,Banane,braun,Sonnenbrille,braun,Waescheklammer,gruen,Zucchini,gelb
NF,Trauben,orange,Socken,orange,Avokado,rot,Birne,gruen
AF,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,orange,Waescheklammer,orange
NF,Erdbeere,rot,Socken,rot,Sonnenbrille,gelb,Aubergine,gruen
ANF,Erdbeere,rot,Walnuss,braun,Aubergine,gruen,Socken,orange
NF,Mandarine,orange,Waescheklammer,orange,Bueroklammer,rot,Aubergine,rot
