condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Walnuss,braun,Waescheklammer,braun,Socken,rot,Socken,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,orange,Bueroklammer,braun
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Bueroklammer,rot
NF,Erbsen,gelb,Socken,gelb,Waescheklammer,gruen,Waescheklammer,braun
ANF,Banane,braun,Tomate,gruen,Socken,orange,Socken,rot
NF,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange
AF,Gurke,rot,Gurke,braun,Socken,orange,Bueroklammer,orange
ANF,Aprikose,rot,Kartoffeln,orange,Socken,gruen,Bueroklammer,braun
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Birne,rot,Waescheklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gruen,Socken,orange
NF,Trauben,orange,Waescheklammer,orange,Sonnenbrille,braun,Bueroklammer,rot
NF,Banane,braun,Sonnenbrille,braun,Socken,gruen,Socken,rot
ANF,Erdbeere,rot,Mandarine,orange,Bueroklammer,braun,Socken,gruen
NF,Paprika,braun,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb
ANF,Mandarine,orange,Zitrone,gelb,Socken,braun,Sonnenbrille,braun
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,braun,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Bueroklammer,braun
ANF,Kartoffeln,orange,Banane,braun,Avokado,gelb,Sonnenbrille,gelb
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,braun,Sonnenbrille,braun
NF,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,braun
ANF,Zitrone,gelb,Erdbeere,rot,Sonnenbrille,braun,Socken,braun
AF,Socken,gruen,Socken,orange,Sonnenbrille,gelb,Zucchini,braun
ANF,Erbsen,gelb,Walnuss,braun,Socken,rot,Bueroklammer,orange
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Trauben,orange,Trauben,gelb,Zucchini,braun,Socken,braun
ANF,Bohnen,gruen,Aprikose,rot,Bueroklammer,orange,Zucchini,braun
NF,Gurke,rot,Waescheklammer,rot,Bueroklammer,gelb,Sonnenbrille,gruen
ANF,Walnuss,braun,Bohnen,gruen,Sonnenbrille,gelb,Avokado,gelb
NF,Kirsche,gelb,Waescheklammer,gelb,Bueroklammer,rot,Birne,rot
AF,Sonnenbrille,gelb,Sonnenbrille,rot,Bueroklammer,braun,Socken,gruen
NF,Bohnen,gruen,Socken,gruen,Sonnenbrille,gelb,Bueroklammer,orange
ANF,Tomate,gruen,Erbsen,gelb,Zucchini,braun,Socken,orange
NF,Zitrone,gelb,Sonnenbrille,gelb,Socken,orange,Socken,braun
AF,Kirsche,gelb,Kirsche,gruen,Socken,braun,Sonnenbrille,braun
NF,Walnuss,braun,Waescheklammer,braun,Socken,rot,Socken,gruen
NF,Aprikose,rot,Socken,rot,Bueroklammer,orange,Bueroklammer,braun
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Bueroklammer,rot
NF,Erbsen,gelb,Socken,gelb,Waescheklammer,gruen,Waescheklammer,braun
ANF,Banane,braun,Tomate,gruen,Socken,orange,Socken,rot
NF,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange
AF,Gurke,rot,Gurke,braun,Socken,orange,Bueroklammer,orange
ANF,Aprikose,rot,Kartoffeln,orange,Socken,gruen,Bueroklammer,braun
AF,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Birne,rot,Waescheklammer,gruen
AF,Bueroklammer,rot,Bueroklammer,braun,Socken,gruen,Socken,orange
NF,Trauben,orange,Waescheklammer,orange,Sonnenbrille,braun,Bueroklammer,rot
NF,Banane,braun,Sonnenbrille,braun,Socken,gruen,Socken,rot
ANF,Erdbeere,rot,Mandarine,orange,Bueroklammer,braun,Socken,gruen
NF,Paprika,braun,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb
ANF,Mandarine,orange,Zitrone,gelb,Socken,braun,Sonnenbrille,braun
NF,Tomate,gruen,Sonnenbrille,gruen,Socken,braun,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Socken,rot,Bueroklammer,braun
ANF,Kartoffeln,orange,Banane,braun,Avokado,gelb,Sonnenbrille,gelb
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,braun,Sonnenbrille,braun
NF,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,braun
ANF,Zitrone,gelb,Erdbeere,rot,Sonnenbrille,braun,Socken,braun
AF,Socken,gruen,Socken,orange,Sonnenbrille,gelb,Zucchini,braun
ANF,Erbsen,gelb,Walnuss,braun,Socken,rot,Bueroklammer,orange
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gelb
AF,Trauben,orange,Trauben,gelb,Zucchini,braun,Socken,braun
ANF,Bohnen,gruen,Aprikose,rot,Bueroklammer,orange,Zucchini,braun
NF,Gurke,rot,Waescheklammer,rot,Bueroklammer,gelb,Sonnenbrille,gruen
