condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
NF,Trauben,orange,Waescheklammer,orange,Bueroklammer,braun,Bueroklammer,gelb
ANF,Bohnen,gruen,Zitrone,gelb,Waescheklammer,orange,Bueroklammer,orange
NF,Aprikose,rot,Waescheklammer,rot,Avokado,gelb,Aubergine,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Zucchini,rot
ANF,Mandarine,orange,Walnuss,braun,Zucchini,rot,Waescheklammer,rot
NF,Moehre,gruen,Bueroklammer,gruen,Aubergine,rot,Socken,braun
ANF,Erdbeere,rot,Kartoffeln,orange,Birne,gruen,Aubergine,gelb
NF,Banane,braun,Bueroklammer,braun,Socken,gelb,Aubergine,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,orange,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Bueroklammer,orange
NF,Mandarine,orange,Socken,orange,Aubergine,gruen,Waescheklammer,gelb
ANF,Walnuss,braun,Bohnen,gruen,Aubergine,gelb,Bueroklammer,rot
AF,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,rot
ANF,Tomate,gruen,Mandarine,orange,Bueroklammer,rot,Avokado,gelb
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,rot,Aubergine,rot
ANF,Banane,braun,Erbsen,gelb,Aubergine,rot,Sonnenbrille,rot
NF,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Birne,gruen
ANF,Zitrone,gelb,Tomate,gruen,Sonnenbrille,rot,Aubergine,rot
AF,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,orange,Waescheklammer,orange
AF,Paprika,braun,Paprika,rot,Avokado,gelb,Aubergine,gelb
NF,Erbsen,gelb,Socken,gelb,Waescheklammer,orange,Bueroklammer,orange
AF,Gurke,rot,Gurke,braun,Aubergine,gelb,Avokado,gelb
NF,Zitrone,gelb,Sonnenbrille,gelb,Socken,braun,Waescheklammer,rot
NF,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Zucchini,rot
AF,Trauben,orange,Trauben,gelb,Birne,gruen,Bueroklammer,rot
NF,Bohnen,gruen,Socken,gruen,Zucchini,rot,Bueroklammer,rot
ANF,Aprikose,rot,Banane,braun,Avokado,gelb,Birne,gruen
NF,Tomate,gruen,Sonnenbrille,gruen,Bueroklammer,orange,Waescheklammer,orange
ANF,Kartoffeln,orange,Aprikose,rot,Socken,braun,Socken,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,rot,Socken,braun
NF,Gurke,rot,Bueroklammer,rot,Waescheklammer,gelb,Socken,gelb
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Birne,gruen
NF,Kirsche,gelb,Waescheklammer,gelb,Birne,gruen,Sonnenbrille,rot
NF,Erdbeere,rot,Socken,rot,Aubergine,gelb,Avokado,gelb
AF,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Aubergine,rot
NF,Trauben,orange,Waescheklammer,orange,Bueroklammer,braun,Bueroklammer,gelb
ANF,Bohnen,gruen,Zitrone,gelb,Waescheklammer,orange,Bueroklammer,orange
NF,Aprikose,rot,Waescheklammer,rot,Avokado,gelb,Aubergine,gelb
AF,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Zucchini,rot
ANF,Mandarine,orange,Walnuss,braun,Zucchini,rot,Waescheklammer,rot
NF,Moehre,gruen,Bueroklammer,gruen,Aubergine,rot,Socken,braun
ANF,Erdbeere,rot,Kartoffeln,orange,Birne,gruen,Aubergine,gelb
NF,Banane,braun,Bueroklammer,braun,Socken,gelb,Aubergine,gruen
ANF,Erbsen,gelb,Erdbeere,rot,Bueroklammer,orange,Waescheklammer,orange
AF,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Bueroklammer,orange
NF,Mandarine,orange,Socken,orange,Aubergine,gruen,Waescheklammer,gelb
ANF,Walnuss,braun,Bohnen,gruen,Aubergine,gelb,Bueroklammer,rot
AF,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,rot
ANF,Tomate,gruen,Mandarine,orange,Bueroklammer,rot,Avokado,gelb
NF,Paprika,braun,Waescheklammer,braun,Bueroklammer,rot,Aubergine,rot
ANF,Banane,braun,Erbsen,gelb,Aubergine,rot,Sonnenbrille,rot
