condition,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
ANF,Walnuss,braun,Erdbeere,rot,Bueroklammer,gruen,Aubergine,gruen
NF,Kartoffeln,orange,Socken,orange,Avokado,gruen,Waescheklammer,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange
ANF,Tomate,gruen,Banane,braun,Zucchini,rot,Waescheklammer,orange
NF,Gurke,rot,Socken,rot,Birne,gruen,Bueroklammer,gelb
AF,Socken,gruen,Socken,orange,Zucchini,rot,Sonnenbrille,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Socken,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Socken,gruen
ANF,Aprikose,rot,Kartoffeln,orange,Aubergine,gruen,Bueroklammer,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,braun,Sonnenbrille,rot
NF,Aprikose,rot,Waescheklammer,rot,Bueroklammer,gruen,Aubergine,gruen
ANF,Banane,braun,Erbsen,gelb,Bueroklammer,orange,Socken,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,orange,Socken,gruen
NF,Trauben,orange,Waescheklammer,orange,Socken,gruen,Sonnenbrille,braun
AF,Paprika,braun,Paprika,rot,Socken,gruen,Aubergine,gruen
NF,Mandarine,orange,Bueroklammer,orange,Aubergine,gelb,Avokado,gruen
ANF,Kartoffeln,orange,Walnuss,braun,Birne,rot,Avokado,rot
NF,Erbsen,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,gruen
ANF,Mandarine,orange,Tomate,gruen,Socken,rot,Sonnenbrille,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,gelb,Aubergine,gelb
ANF,Bohnen,gruen,Zitrone,gelb,Sonnenbrille,braun,Bueroklammer,orange
AF,Gurke,rot,Gurke,braun,Bueroklammer,orange,Waescheklammer,orange
ANF,Erdbeere,rot,Mandarine,orange,Socken,gruen,Sonnenbrille,braun
NF,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Bueroklammer,orange
ANF,Erbsen,gelb,Aprikose,rot,Waescheklammer,orange,Socken,gruen
NF,Paprika,braun,Waescheklammer,braun,Avokado,rot,Birne,rot
AF,Kirsche,gelb,Kirsche,gruen,Birne,rot,Zucchini,rot
NF,Tomate,gruen,Socken,gruen,Birne,rot,Avokado,rot
AF,Moehre,gruen,Moehre,orange,Avokado,rot,Birne,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Socken,rot
ANF,Zitrone,gelb,Bohnen,gruen,Sonnenbrille,rot,Zucchini,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Waescheklammer,orange
AF,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Sonnenbrille,braun
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,rot,Zucchini,rot
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Bueroklammer,gruen
ANF,Walnuss,braun,Erdbeere,rot,Bueroklammer,gruen,Aubergine,gruen
NF,Kartoffeln,orange,Socken,orange,Avokado,gruen,Waescheklammer,gelb
AF,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange
ANF,Tomate,gruen,Banane,braun,Zucchini,rot,Waescheklammer,orange
NF,Gurke,rot,Socken,rot,Birne,gruen,Bueroklammer,gelb
AF,Socken,gruen,Socken,orange,Zucchini,rot,Sonnenbrille,rot
NF,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Socken,rot
AF,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Socken,gruen
ANF,Aprikose,rot,Kartoffeln,orange,Aubergine,gruen,Bueroklammer,gruen
NF,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,braun,Sonnenbrille,rot
NF,Aprikose,rot,Waescheklammer,rot,Bueroklammer,gruen,Aubergine,gruen
ANF,Banane,braun,Erbsen,gelb,Bueroklammer,orange,Socken,rot
NF,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,orange,Socken,gruen
NF,Trauben,orange,Waescheklammer,orange,Socken,gruen,Sonnenbrille,braun
AF,Paprika,braun,Paprika,rot,Socken,gruen,Aubergine,gruen
NF,Mandarine,orange,Bueroklammer,orange,Aubergine,gelb,Avokado,gruen
ANF,Kartoffeln,orange,Walnuss,braun,Birne,rot,Avokado,rot
NF,Erbsen,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,gruen
ANF,Mandarine,orange,Tomate,gruen,Socken,rot,Sonnenbrille,rot
NF,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,gelb,Aubergine,gelb
ANF,Bohnen,gruen,Zitrone,gelb,Sonnenbrille,braun,Bueroklammer,orange
AF,Gurke,rot,Gurke,braun,Bueroklammer,orange,Waescheklammer,orange
ANF,Erdbeere,rot,Mandarine,orange,Socken,gruen,Sonnenbrille,braun
NF,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Bueroklammer,orange
ANF,Erbsen,gelb,Aprikose,rot,Waescheklammer,orange,Socken,gruen
NF,Paprika,braun,Waescheklammer,braun,Avokado,rot,Birne,rot
AF,Kirsche,gelb,Kirsche,gruen,Birne,rot,Zucchini,rot
NF,Tomate,gruen,Socken,gruen,Birne,rot,Avokado,rot
AF,Moehre,gruen,Moehre,orange,Avokado,rot,Birne,rot
AF,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Socken,rot
ANF,Zitrone,gelb,Bohnen,gruen,Sonnenbrille,rot,Zucchini,rot
NF,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,rot,Waescheklammer,orange
AF,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Sonnenbrille,braun
NF,Banane,braun,Bueroklammer,braun,Sonnenbrille,rot,Zucchini,rot
AF,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Bueroklammer,gruen
