subject_id,object,colour,typicality,object_en,colour_en
1,Ananas,blau,0,pineapple,blue
1,Ananas,braun,100,pineapple,brown
1,Ananas,gruen,17,pineapple,green
1,Ananas,lila,0,pineapple,lilac
1,Ananas,rot,88,pineapple,red
1,Aprikose,blau,51,apricot,blue
1,Aprikose,gelb,100,apricot,yellow
1,Aprikose,gruen,28,apricot,green
1,Aprikose,lila,75,apricot,lilac
1,Aprikose,rot,100,apricot,red
1,Aubergine,blau,5,aubergine,blue
1,Aubergine,gelb,15,aubergine,yellow
1,Aubergine,gruen,26,aubergine,green
1,Aubergine,rot,13,aubergine,red
1,Aubergine,schwarz,100,aubergine,black
1,Avocado,blau,0,avocado,blue
1,Avocado,gelb,0,avocado,yellow
1,Avocado,gruen,100,avocado,green
1,Avocado,lila,0,avocado,lilac
1,Avocado,rot,0,avocado,red
1,Banane,blau,0,banana,blue
1,Banane,braun,51,banana,brown
1,Banane,gelb,100,banana,yellow
1,Banane,gruen,57,banana,green
1,Banane,rot,3,banana,red
1,Birne,blau,0,pear,blue
1,Birne,gruen,100,pear,green
1,Birne,lila,6,pear,lilac
1,Birne,orange,6,pear,orange
1,Birne,rot,7,pear,red
1,Bohnen,blau,2,beans,blue
1,Bohnen,gelb,38,beans,yellow
1,Bohnen,gruen,100,beans,green
1,Bohnen,orange,14,beans,orange
1,Bohnen,rot,0,beans,red
1,Bueroklammer,blau,54,paper.clip,blue
1,Bueroklammer,braun,89,paper.clip,brown
1,Bueroklammer,gelb,68,paper.clip,yellow
1,Bueroklammer,grau,54,paper.clip,gray
1,Bueroklammer,gruen,49,paper.clip,green
1,Bueroklammer,lila,51,paper.clip,lilac
1,Bueroklammer,orange,77,paper.clip,orange
1,Bueroklammer,rot,64,paper.clip,red
1,Bueroklammer,schwarz,47,paper.clip,black
1,Erbsen,blau,5,peas,blue
1,Erbsen,gelb,26,peas,yellow
1,Erbsen,gruen,82,peas,green
1,Erbsen,orange,1,peas,orange
1,Erbsen,rot,3,peas,red
1,Erdbeere,blau,0,strawberry,blue
1,Erdbeere,gelb,0,strawberry,yellow
1,Erdbeere,grau,0,strawberry,gray
1,Erdbeere,lila,0,strawberry,lilac
1,Erdbeere,rot,100,strawberry,red
1,Gurke,blau,0,cucumber,blue
1,Gurke,braun,16,cucumber,brown
1,Gurke,gelb,0,cucumber,yellow
1,Gurke,gruen,100,cucumber,green
1,Gurke,rot,4,cucumber,red
1,Kartoffeln,blau,0,potatoes,blue
1,Kartoffeln,braun,100,potatoes,brown
1,Kartoffeln,gruen,0,potatoes,green
1,Kartoffeln,orange,90,potatoes,orange
1,Kartoffeln,rot,1,potatoes,red
1,Kirsche,blau,0,cherry,blue
1,Kirsche,gelb,8,cherry,yellow
1,Kirsche,gruen,0,cherry,green
1,Kirsche,lila,0,cherry,lilac
1,Kirsche,rot,100,cherry,red
1,Mandarine,blau,0,mandarine,blue
1,Mandarine,gruen,15,mandarine,green
1,Mandarine,lila,0,mandarine,lilac
1,Mandarine,orange,100,mandarine,orange
1,Mandarine,rot,48,mandarine,red
1,Moehre,blau,0,carrots,blue
1,Moehre,gruen,2,carrots,green
1,Moehre,lila,4,carrots,lilac
1,Moehre,orange,100,carrots,orange
1,Moehre,rot,58,carrots,red
1,Paprika,blau,0,pepper,blue
1,Paprika,braun,0,pepper,brown
1,Paprika,gruen,52,pepper,green
1,Paprika,rot,100,pepper,red
1,Paprika,schwarz,0,pepper,black
1,Socken,blau,73,socks,blue
1,Socken,braun,78,socks,brown
1,Socken,gelb,50,socks,yellow
1,Socken,grau,94,socks,gray
1,Socken,gruen,65,socks,green
1,Socken,lila,62,socks,lilac
1,Socken,orange,59,socks,orange
1,Socken,rot,63,socks,red
1,Socken,schwarz,74,socks,black
1,Sonnenbrille,blau,76,suglasses,blue
1,Sonnenbrille,braun,51,suglasses,brown
1,Sonnenbrille,gelb,82,suglasses,yellow
1,Sonnenbrille,grau,87,suglasses,gray
1,Sonnenbrille,gruen,79,suglasses,green
1,Sonnenbrille,lila,85,suglasses,lilac
1,Sonnenbrille,orange,70,suglasses,orange
1,Sonnenbrille,rot,77,suglasses,red
1,Sonnenbrille,schwarz,98,suglasses,black
1,Tomate,blau,0,tomato,blue
1,Tomate,gelb,57,tomato,yellow
1,Tomate,gruen,47,tomato,green
1,Tomate,lila,8,tomato,lilac
1,Tomate,rot,100,tomato,red
1,Trauben,blau,70,grapes,blue
1,Trauben,gelb,7,grapes,yellow
1,Trauben,grau,50,grapes,gray
1,Trauben,orange,14,grapes,orange
1,Trauben,schwarz,100,grapes,black
1,Waescheklammer,blau,54,clothes.peg,blue
1,Waescheklammer,braun,0,clothes.peg,brown
1,Waescheklammer,gelb,76,clothes.peg,yellow
1,Waescheklammer,grau,44,clothes.peg,gray
1,Waescheklammer,gruen,61,clothes.peg,green
1,Waescheklammer,lila,58,clothes.peg,lilac
1,Waescheklammer,orange,56,clothes.peg,orange
1,Waescheklammer,rot,63,clothes.peg,red
1,Waescheklammer,schwarz,53,clothes.peg,black
1,Walnuss,blau,1,walnut,blue
1,Walnuss,braun,100,walnut,brown
1,Walnuss,gelb,19,walnut,yellow
1,Walnuss,gruen,0,walnut,green
1,Walnuss,rot,4,walnut,red
1,Zitrone,blau,0,lemon,blue
1,Zitrone,gelb,100,lemon,yellow
1,Zitrone,gruen,24,lemon,green
1,Zitrone,orange,25,lemon,orange
1,Zitrone,rot,0,lemon,red
1,Zucchini,blau,0,courgettes,blue
1,Zucchini,braun,10,courgettes,brown
1,Zucchini,gelb,39,courgettes,yellow
1,Zucchini,gruen,100,courgettes,green
1,Zucchini,rot,0,courgettes,red
2,Ananas,blau,0,pineapple,blue
2,Ananas,braun,100,pineapple,brown
2,Ananas,gruen,0,pineapple,green
2,Ananas,lila,0,pineapple,lilac
2,Ananas,rot,7,pineapple,red
2,Aprikose,blau,0,apricot,blue
2,Aprikose,gelb,100,apricot,yellow
2,Aprikose,gruen,10,apricot,green
2,Aprikose,lila,0,apricot,lilac
2,Aprikose,rot,19,apricot,red
2,Aubergine,blau,7,aubergine,blue
2,Aubergine,gelb,9,aubergine,yellow
2,Aubergine,gruen,4,aubergine,green
2,Aubergine,rot,7,aubergine,red
2,Aubergine,schwarz,100,aubergine,black
2,Avocado,blau,0,avocado,blue
2,Avocado,gelb,23,avocado,yellow
2,Avocado,gruen,100,avocado,green
2,Avocado,lila,0,avocado,lilac
