speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
AL,1,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
AL,2,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
AL,3,ANF,NA,Erbsen,gelb,Bohnen,gruen,Socken,braun,Socken,rot,peas,yellow,34.57425742574257,33.063377484659206,27
AL,4,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Avokado,gelb,Zucchini,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
AL,5,ANF,NA,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Avokado,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
AL,6,NF,typical,Walnuss,braun,Waescheklammer,braun,Zucchini,gruen,Avokado,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
AL,7,AF,NA,Moehre,gruen,Moehre,orange,Socken,rot,Socken,braun,carrots,green,3.99009900990099,13.916533368267366,0
AL,8,ANF,NA,Kartoffeln,orange,Erbsen,gelb,Avokado,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
AL,9,AF,NA,Kirsche,gelb,Kirsche,gruen,Avokado,rot,Sonnenbrille,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
AL,10,NF,typical,Mandarine,orange,Socken,orange,Sonnenbrille,braun,Aubergine,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
AL,11,ANF,NA,Walnuss,braun,Erdbeere,rot,Aubergine,gruen,Aubergine,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
AL,12,AF,NA,Trauben,orange,Trauben,gelb,Socken,braun,Socken,rot,grapes,orange,5.871287128712871,14.374048397258605,0
AL,13,NF,atypical,Paprika,braun,Sonnenbrille,braun,Bueroklammer,gelb,Socken,rot,pepper,brown,7.772277227722772,16.440730633471745,0
AL,14,NF,typical,Zitrone,gelb,Socken,gelb,Avokado,rot,Bueroklammer,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
AL,15,ANF,NA,Banane,braun,Aprikose,rot,Bueroklammer,gelb,Bueroklammer,orange,banana,brown,27.643564356435643,28.333225781197537,22
AL,16,ANF,NA,Mandarine,orange,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
AL,17,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
AL,18,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
AL,19,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
AL,20,ANF,NA,Tomate,gruen,Mandarine,orange,Socken,rot,Socken,braun,tomato,green,25.99009900990099,28.510522636214493,18
AL,21,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Aubergine,gruen,Bueroklammer,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
AL,22,ANF,NA,Erdbeere,rot,Kartoffeln,orange,Aubergine,gelb,Socken,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
AL,23,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Aubergine,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
