speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
AS,1,NF,medium,Aprikose,rot,Bueroklammer,rot,Sonnenbrille,orange,Socken,braun,apricot,red,33.148514851485146,32.654061351878994,25
AS,2,ANF,NA,Banane,braun,Kartoffeln,orange,Socken,gelb,Avokado,gruen,banana,brown,27.643564356435643,28.333225781197537,22
AS,3,NF,typical,Erdbeere,rot,Socken,rot,Bueroklammer,orange,Sonnenbrille,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
AS,4,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Zucchini,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
AS,5,ANF,NA,Erdbeere,rot,Banane,braun,Socken,orange,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
AS,6,AF,NA,Moehre,gruen,Moehre,orange,Socken,gelb,Aubergine,gelb,carrots,green,3.99009900990099,13.916533368267366,0
AS,7,NF,typical,Zitrone,gelb,Sonnenbrille,gelb,Socken,orange,Bueroklammer,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
AS,8,ANF,NA,Zitrone,gelb,Erdbeere,rot,Sonnenbrille,orange,Bueroklammer,orange,lemon,yellow,99.60396039603961,2.3794083631053837,100
AS,9,NF,medium,Banane,braun,Bueroklammer,braun,Birne,gruen,Avokado,gruen,banana,brown,27.643564356435643,28.333225781197537,22
AS,10,AF,NA,Paprika,braun,Paprika,rot,Aubergine,gruen,Socken,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
AS,11,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Socken,braun,Birne,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
AS,12,ANF,NA,Walnuss,braun,Tomate,gruen,Waescheklammer,orange,Waescheklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
AS,13,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,rot,Socken,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
AS,14,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Avokado,gelb,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
AS,15,NF,typical,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Aubergine,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
AS,16,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Bueroklammer,rot,suglasses,brown,52.039603960396036,24.20327283326749,57
AS,17,NF,medium,Tomate,gruen,Bueroklammer,gruen,Waescheklammer,orange,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
AS,18,AF,NA,Trauben,orange,Trauben,gelb,Avokado,gruen,Birne,rot,grapes,orange,5.871287128712871,14.374048397258605,0
AS,19,NF,atypical,Gurke,rot,Waescheklammer,rot,Aubergine,gelb,Bueroklammer,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
AS,20,ANF,NA,Bohnen,gruen,Walnuss,braun,Waescheklammer,gelb,Socken,gelb,beans,green,96.81188118811882,7.065002294815097,100
AS,21,NF,atypical,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gelb,grapes,orange,5.871287128712871,14.374048397258605,0
AS,22,ANF,NA,Kartoffeln,orange,Erbsen,gelb,Aubergine,gruen,Birne,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
AS,23,ANF,NA,Aprikose,rot,Bohnen,gruen,Socken,braun,Socken,orange,apricot,red,33.148514851485146,32.654061351878994,25
AS,24,NF,medium,Erbsen,gelb,Socken,gelb,Bueroklammer,rot,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
AS,25,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
