speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
CG,1,ANF,medium,Kartoffeln,orange,Walnuss,braun,Avokado,gelb,Waescheklammer,gelb
CG,2,NF,medium,Banane,braun,Waescheklammer,braun,Aubergine,gelb,Sonnenbrille,rot
CG,3,ANF,typical,Erdbeere,rot,Mandarine,orange,Socken,braun,Aubergine,gelb
CG,4,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Avokado,gelb
CG,5,NF,typical,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Waescheklammer,orange
CG,6,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Birne,orange
CG,7,ANF,typical,Zitrone,gelb,Aprikose,rot,Bueroklammer,orange,Birne,orange
CG,8,NF,typical,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Avokado,gelb
CG,9,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,rot,Socken,braun
CG,10,AF,atypical,Paprika,braun,Paprika,rot,Aubergine,gelb,Waescheklammer,orange
CG,11,ANF,medium,Banane,braun,Bohnen,gruen,Waescheklammer,orange,Sonnenbrille,rot
CG,12,NF,atypical,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Waescheklammer,gruen
CG,13,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,rot
CG,14,ANF,medium,Aprikose,rot,Banane,braun,Aubergine,gelb,Waescheklammer,orange
CG,15,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Aubergine,gelb
CG,16,ANF,typical,Mandarine,orange,Erbsen,gelb,Aubergine,gruen,Bueroklammer,rot
CG,17,NF,typical,Erdbeere,rot,Socken,rot,Waescheklammer,gruen,Sonnenbrille,braun
CG,18,AF,atypical,Gurke,rot,Gurke,braun,Birne,orange,Bueroklammer,orange
CG,19,NF,typical,Bohnen,gruen,Socken,gruen,Waescheklammer,orange,Birne,orange
CG,20,AF,atypical,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Socken,braun
CG,21,NF,atypical,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Waescheklammer,gelb
CG,22,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,orange,Aubergine,gruen
CG,23,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Socken,orange,Socken,gelb
CG,24,ANF,medium,Tomate,gruen,Erdbeere,rot,Waescheklammer,gelb,Avokado,gelb
CG,25,NF,medium,Aprikose,rot,Waescheklammer,rot,Socken,gelb,Avokado,gruen
CG,26,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,braun
CG,27,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Socken,braun,Aubergine,gelb
CG,28,AF,atypical,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,rot
CG,29,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,rot
CG,30,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Aubergine,gruen
CG,31,ANF,medium,Erbsen,gelb,Erdbeere,rot,Socken,orange,Aubergine,gruen
CG,32,NF,atypical,Paprika,braun,Bueroklammer,braun,Aubergine,gruen,Socken,orange
CG,33,NF,atypical,Kirsche,gelb,Socken,gelb,Bueroklammer,rot,Bueroklammer,orange
CG,34,ANF,typical,Walnuss,braun,Tomate,gruen,Birne,orange,Bueroklammer,orange
CG,35,AF,NA,Socken,gruen,Socken,orange,Avokado,gelb,Waescheklammer,gelb
CG,36,ANF,medium,Kartoffeln,orange,Walnuss,braun,Avokado,gelb,Waescheklammer,gelb
CG,37,NF,medium,Banane,braun,Waescheklammer,braun,Aubergine,gelb,Sonnenbrille,rot
CG,38,ANF,typical,Erdbeere,rot,Mandarine,orange,Socken,braun,Aubergine,gelb
CG,39,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Avokado,gelb
CG,40,NF,typical,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Waescheklammer,orange
CG,41,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,orange,Birne,orange
CG,42,ANF,typical,Zitrone,gelb,Aprikose,rot,Bueroklammer,orange,Birne,orange
CG,43,NF,typical,Mandarine,orange,Socken,orange,Waescheklammer,gelb,Avokado,gelb
CG,44,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,rot,Socken,braun
CG,45,AF,atypical,Paprika,braun,Paprika,rot,Aubergine,gelb,Waescheklammer,orange
CG,46,ANF,medium,Banane,braun,Bohnen,gruen,Waescheklammer,orange,Sonnenbrille,rot
CG,47,NF,atypical,Gurke,rot,Bueroklammer,rot,Avokado,gruen,Waescheklammer,gruen
