speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
CH,1,ANF,NA,Bohnen,gruen,Zitrone,gelb,Birne,rot,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
CH,2,NF,atypical,Gurke,rot,Waescheklammer,rot,Socken,gelb,Sonnenbrille,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
CH,3,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Sonnenbrille,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
CH,4,NF,typical,Bohnen,gruen,Socken,gruen,Sonnenbrille,orange,Sonnenbrille,rot,beans,green,96.81188118811882,7.065002294815097,100
CH,5,AF,NA,Moehre,gruen,Moehre,orange,Sonnenbrille,rot,Waescheklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
CH,6,NF,atypical,Trauben,orange,Socken,orange,Birne,rot,Zucchini,gelb,grapes,orange,5.871287128712871,14.374048397258605,0
CH,7,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Sonnenbrille,rot,clothes.peg,orange,65.55445544554455,25.69999036868487,67
CH,8,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Waescheklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
CH,9,NF,typical,Walnuss,braun,Waescheklammer,braun,Sonnenbrille,rot,Sonnenbrille,orange,walnut,brown,97.45544554455445,11.250355329922026,100
CH,10,ANF,NA,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
CH,11,NF,atypical,Kirsche,gelb,Socken,gelb,Waescheklammer,gruen,Birne,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CH,12,ANF,NA,Kartoffeln,orange,Walnuss,braun,Sonnenbrille,rot,Zucchini,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
CH,13,AF,NA,Paprika,braun,Paprika,rot,Waescheklammer,gruen,Socken,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
CH,14,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,gelb,tomato,green,25.99009900990099,28.510522636214493,18
CH,15,ANF,NA,Walnuss,braun,Erdbeere,rot,Avokado,gruen,Sonnenbrille,orange,walnut,brown,97.45544554455445,11.250355329922026,100
CH,16,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,orange,Socken,braun,suglasses,yellow,53.75247524752475,23.211379080353698,56
CH,17,ANF,NA,Mandarine,orange,Tomate,gruen,Zucchini,gelb,Avokado,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
