speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
CO,1,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
CO,2,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Avokado,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
CO,3,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,braun,Socken,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
CO,4,ANF,NA,Erbsen,gelb,Mandarine,orange,Aubergine,gruen,Socken,rot,peas,yellow,34.57425742574257,33.063377484659206,27
CO,5,NF,typical,Bohnen,gruen,Socken,gruen,Zucchini,rot,Birne,rot,beans,green,96.81188118811882,7.065002294815097,100
CO,6,NF,atypical,Paprika,braun,Waescheklammer,braun,Birne,rot,Zucchini,rot,pepper,brown,7.772277227722772,16.440730633471745,0
CO,7,ANF,NA,Bohnen,gruen,Erdbeere,rot,Sonnenbrille,braun,Avokado,gelb,beans,green,96.81188118811882,7.065002294815097,100
CO,8,NF,medium,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Socken,orange,banana,brown,27.643564356435643,28.333225781197537,22
CO,9,ANF,NA,Banane,braun,Zitrone,gelb,Zucchini,rot,Birne,rot,banana,brown,27.643564356435643,28.333225781197537,22
CO,10,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,gruen,apricot,red,33.148514851485146,32.654061351878994,25
CO,11,AF,NA,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,braun,Socken,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CO,12,NF,medium,Kartoffeln,orange,Socken,orange,Aubergine,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
CO,13,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Sonnenbrille,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
CO,14,ANF,NA,Erdbeere,rot,Bohnen,gruen,Sonnenbrille,gelb,Bueroklammer,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
CO,15,NF,typical,Zitrone,gelb,Socken,gelb,Bueroklammer,braun,Birne,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CO,16,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Sonnenbrille,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
CO,17,AF,NA,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
CO,18,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Aubergine,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CO,19,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Birne,rot,socks,green,58.504950495049506,27.195817238088743,63
CO,20,NF,typical,Erdbeere,rot,Waescheklammer,rot,Aubergine,gruen,Avokado,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
CO,21,ANF,NA,Tomate,gruen,Erbsen,gelb,Bueroklammer,braun,Socken,orange,tomato,green,25.99009900990099,28.510522636214493,18
CO,22,AF,NA,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
CO,23,AF,NA,Gurke,rot,Gurke,braun,Socken,orange,Sonnenbrille,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
CO,24,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
CO,25,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gelb,Socken,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
CO,26,NF,atypical,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
CO,27,ANF,NA,Zitrone,gelb,Banane,braun,Socken,rot,Sonnenbrille,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CO,28,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Avokado,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
CO,29,ANF,NA,Walnuss,braun,Kartoffeln,orange,Birne,rot,Zucchini,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CO,30,ANF,NA,Mandarine,orange,Aprikose,rot,Avokado,gelb,Sonnenbrille,braun,mandarine,orange,98.70297029702971,4.731901424280615,100
CO,31,NF,atypical,Gurke,rot,Bueroklammer,rot,Sonnenbrille,gruen,Sonnenbrille,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
CO,32,ANF,NA,Kartoffeln,orange,Tomate,gruen,Aubergine,rot,Sonnenbrille,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
CO,33,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Avokado,gelb,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
CO,34,ANF,NA,Aprikose,rot,Walnuss,braun,Sonnenbrille,gruen,Aubergine,gruen,apricot,red,33.148514851485146,32.654061351878994,25
CO,35,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Bueroklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
CO,36,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
CO,37,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,rot,Avokado,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
CO,38,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,braun,Socken,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
CO,39,ANF,NA,Erbsen,gelb,Mandarine,orange,Aubergine,gruen,Socken,rot,peas,yellow,34.57425742574257,33.063377484659206,27
CO,40,NF,typical,Bohnen,gruen,Socken,gruen,Zucchini,rot,Birne,rot,beans,green,96.81188118811882,7.065002294815097,100
CO,41,NF,atypical,Paprika,braun,Waescheklammer,braun,Birne,rot,Zucchini,rot,pepper,brown,7.772277227722772,16.440730633471745,0
CO,42,ANF,NA,Bohnen,gruen,Erdbeere,rot,Sonnenbrille,braun,Avokado,gelb,beans,green,96.81188118811882,7.065002294815097,100
CO,43,NF,medium,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Socken,orange,banana,brown,27.643564356435643,28.333225781197537,22
CO,44,ANF,NA,Banane,braun,Zitrone,gelb,Zucchini,rot,Birne,rot,banana,brown,27.643564356435643,28.333225781197537,22
CO,45,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,gruen,apricot,red,33.148514851485146,32.654061351878994,25
CO,46,AF,NA,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,braun,Socken,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CO,47,NF,medium,Kartoffeln,orange,Socken,orange,Aubergine,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
CO,48,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,gruen,Sonnenbrille,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
CO,49,ANF,NA,Erdbeere,rot,Bohnen,gruen,Sonnenbrille,gelb,Bueroklammer,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
CO,50,NF,typical,Zitrone,gelb,Socken,gelb,Bueroklammer,braun,Birne,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CO,51,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Sonnenbrille,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
CO,52,AF,NA,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
CO,53,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,gruen,Aubergine,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CO,54,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Birne,rot,socks,green,58.504950495049506,27.195817238088743,63
CO,55,NF,typical,Erdbeere,rot,Waescheklammer,rot,Aubergine,gruen,Avokado,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
CO,56,ANF,NA,Tomate,gruen,Erbsen,gelb,Bueroklammer,braun,Socken,orange,tomato,green,25.99009900990099,28.510522636214493,18
CO,57,AF,NA,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
CO,58,AF,NA,Gurke,rot,Gurke,braun,Socken,orange,Sonnenbrille,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
CO,59,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
CO,60,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gelb,Socken,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
CO,61,NF,atypical,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
CO,62,ANF,NA,Zitrone,gelb,Banane,braun,Socken,rot,Sonnenbrille,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CO,63,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Avokado,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
CO,64,ANF,NA,Walnuss,braun,Kartoffeln,orange,Birne,rot,Zucchini,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CO,65,ANF,NA,Mandarine,orange,Aprikose,rot,Avokado,gelb,Sonnenbrille,braun,mandarine,orange,98.70297029702971,4.731901424280615,100
CO,66,NF,atypical,Gurke,rot,Bueroklammer,rot,Sonnenbrille,gruen,Sonnenbrille,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
CO,67,ANF,NA,Kartoffeln,orange,Tomate,gruen,Aubergine,rot,Sonnenbrille,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
CO,68,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Avokado,gelb,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
CO,69,ANF,NA,Aprikose,rot,Walnuss,braun,Sonnenbrille,gruen,Aubergine,gruen,apricot,red,33.148514851485146,32.654061351878994,25
