speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
CT,1,NF,atypical,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
CT,2,ANF,NA,Erbsen,gelb,Aprikose,rot,Waescheklammer,orange,Waescheklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
CT,3,NF,typical,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gelb,Aubergine,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
CT,4,ANF,NA,Kartoffeln,orange,Tomate,gruen,Waescheklammer,braun,Avokado,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
CT,5,NF,medium,Aprikose,rot,Socken,rot,Zucchini,gruen,Zucchini,braun,apricot,red,33.148514851485146,32.654061351878994,25
CT,6,AF,NA,Trauben,orange,Trauben,gelb,Socken,gruen,Aubergine,rot,grapes,orange,5.871287128712871,14.374048397258605,0
CT,7,NF,atypical,Kirsche,gelb,Socken,gelb,Bueroklammer,gruen,Zucchini,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CT,8,ANF,NA,Aprikose,rot,Walnuss,braun,Avokado,gelb,Waescheklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
CT,9,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Socken,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
CT,10,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Avokado,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
CT,11,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Aubergine,rot,Socken,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
CT,12,AF,NA,Gurke,rot,Gurke,braun,Socken,gelb,Zucchini,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
CT,13,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Bueroklammer,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CT,14,ANF,NA,Walnuss,braun,Bohnen,gruen,Zucchini,gelb,Aubergine,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CT,15,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Waescheklammer,braun,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
CT,16,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,gelb,Zucchini,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
CT,17,ANF,NA,Mandarine,orange,Banane,braun,Socken,gruen,Zucchini,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
CT,18,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,braun,Socken,gruen,suglasses,yellow,53.75247524752475,23.211379080353698,56
CT,19,ANF,NA,Banane,braun,Kartoffeln,orange,Bueroklammer,rot,Socken,gelb,banana,brown,27.643564356435643,28.333225781197537,22
CT,20,NF,atypical,Gurke,rot,Bueroklammer,rot,Waescheklammer,orange,Avokado,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
CT,21,ANF,NA,Erdbeere,rot,Mandarine,orange,Socken,gelb,Zucchini,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
CT,22,ANF,NA,Bohnen,gruen,Zitrone,gelb,Aubergine,rot,Bueroklammer,rot,beans,green,96.81188118811882,7.065002294815097,100
CT,23,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Bueroklammer,rot,Aubergine,rot,peas,yellow,34.57425742574257,33.063377484659206,27
CT,24,NF,medium,Tomate,gruen,Socken,gruen,Aubergine,gelb,Sonnenbrille,rot,tomato,green,25.99009900990099,28.510522636214493,18
CT,25,ANF,NA,Tomate,gruen,Erbsen,gelb,Zucchini,braun,Zucchini,rot,tomato,green,25.99009900990099,28.510522636214493,18
CT,26,AF,NA,Paprika,braun,Paprika,rot,Avokado,gelb,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
CT,27,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Zucchini,rot,Bueroklammer,gelb,carrots,green,3.99009900990099,13.916533368267366,0
CT,28,AF,NA,Socken,gruen,Socken,orange,Aubergine,rot,Zucchini,braun,socks,green,58.504950495049506,27.195817238088743,63
CT,29,NF,typical,Zitrone,gelb,Sonnenbrille,gelb,Zucchini,braun,Socken,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CT,30,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CT,31,NF,atypical,Trauben,orange,Socken,orange,Avokado,gelb,Waescheklammer,braun,grapes,orange,5.871287128712871,14.374048397258605,0
CT,32,ANF,NA,Zitrone,gelb,Erdbeere,rot,Zucchini,gruen,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
