speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
HA,1,ANF,NA,Aprikose,rot,Erbsen,gelb,Waescheklammer,gruen,Socken,orange,apricot,red,33.148514851485146,32.654061351878994,25
HA,2,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,gelb,Waescheklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
HA,3,ANF,NA,Mandarine,orange,Aprikose,rot,Bueroklammer,braun,Bueroklammer,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
HA,4,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,orange,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
HA,5,ANF,NA,Bohnen,gruen,Mandarine,orange,Bueroklammer,rot,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
HA,6,NF,atypical,Gurke,rot,Waescheklammer,rot,Socken,braun,Aubergine,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
HA,7,AF,NA,Trauben,orange,Trauben,gelb,Waescheklammer,rot,Waescheklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
HA,8,ANF,NA,Banane,braun,Zitrone,gelb,Aubergine,gruen,Waescheklammer,orange,banana,brown,27.643564356435643,28.333225781197537,22
HA,9,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Socken,rot,Birne,orange,beans,green,96.81188118811882,7.065002294815097,100
HA,10,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Bueroklammer,rot,clothes.peg,orange,65.55445544554455,25.69999036868487,67
HA,11,ANF,NA,Kartoffeln,orange,Bohnen,gruen,Socken,braun,Bueroklammer,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
HA,12,NF,medium,Aprikose,rot,Bueroklammer,rot,Avokado,gelb,Waescheklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
HA,13,AF,NA,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
HA,14,NF,medium,Banane,braun,Bueroklammer,braun,Zucchini,gruen,Socken,orange,banana,brown,27.643564356435643,28.333225781197537,22
HA,15,ANF,NA,Walnuss,braun,Kartoffeln,orange,Avokado,gelb,Aubergine,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
HA,16,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,orange,Socken,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
HA,17,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,gruen,Socken,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
HA,18,NF,typical,Erdbeere,rot,Socken,rot,Bueroklammer,braun,Waescheklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
HA,19,AF,NA,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,gelb,carrots,green,3.99009900990099,13.916533368267366,0
HA,20,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Waescheklammer,rot,Sonnenbrille,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
HA,21,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Avokado,gelb,Birne,rot,suglasses,brown,52.039603960396036,24.20327283326749,57
HA,22,NF,atypical,Kirsche,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
HA,23,ANF,NA,Zitrone,gelb,Banane,braun,Birne,rot,Waescheklammer,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
HA,24,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gruen,Birne,rot,walnut,brown,97.45544554455445,11.250355329922026,100
HA,25,ANF,NA,Erdbeere,rot,Erbsen,gelb,Zucchini,gruen,Birne,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
HA,26,ANF,NA,Tomate,gruen,Walnuss,braun,Waescheklammer,orange,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
HA,27,NF,atypical,Trauben,orange,Waescheklammer,orange,Sonnenbrille,rot,Zucchini,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
HA,28,ANF,NA,Erbsen,gelb,Tomate,gruen,Socken,orange,Bueroklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
HA,29,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Birne,rot,Bueroklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
HA,30,AF,NA,Paprika,braun,Paprika,rot,Aubergine,gruen,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
HA,31,AF,NA,Socken,gruen,Socken,orange,Birne,rot,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
HA,32,NF,atypical,Paprika,braun,Waescheklammer,braun,Socken,orange,Bueroklammer,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
HA,33,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,rot,Socken,braun,peas,yellow,34.57425742574257,33.063377484659206,27
