speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
HS,1,AF,NA,Trauben,orange,Trauben,gelb,Zucchini,braun,Zucchini,rot,grapes,orange,5.871287128712871,14.374048397258605,0
HS,2,NF,typical,Walnuss,braun,Sonnenbrille,braun,Zucchini,rot,Bueroklammer,orange,walnut,brown,97.45544554455445,11.250355329922026,100
HS,3,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,rot,Socken,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
HS,4,ANF,NA,Walnuss,braun,Erdbeere,rot,Socken,orange,Socken,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
HS,5,AF,NA,Socken,gruen,Socken,orange,Aubergine,gelb,Avokado,gelb,socks,green,58.504950495049506,27.195817238088743,63
HS,6,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
HS,7,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Aubergine,gruen,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
HS,8,ANF,NA,Tomate,gruen,Kartoffeln,orange,Aubergine,gelb,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
HS,9,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Birne,rot,Aubergine,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
HS,10,AF,NA,Kirsche,gelb,Kirsche,gruen,Zucchini,rot,Zucchini,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
HS,11,NF,atypical,Trauben,orange,Socken,orange,Avokado,gelb,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
HS,12,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Socken,gruen,Avokado,gruen,suglasses,yellow,53.75247524752475,23.211379080353698,56
