speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
IB,1,ANF,NA,Banane,braun,Erdbeere,rot,Avokado,gelb,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
IB,2,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Socken,orange,Waescheklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
IB,3,ANF,NA,Mandarine,orange,Aprikose,rot,Socken,gelb,Bueroklammer,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
IB,4,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Zucchini,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
IB,5,ANF,NA,Erdbeere,rot,Tomate,gruen,Waescheklammer,gelb,Socken,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
IB,6,AF,NA,Socken,gruen,Socken,orange,Waescheklammer,braun,Sonnenbrille,braun,socks,green,58.504950495049506,27.195817238088743,63
IB,7,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Socken,orange,lemon,yellow,99.60396039603961,2.3794083631053837,100
IB,8,ANF,NA,Aprikose,rot,Mandarine,orange,Waescheklammer,braun,Zucchini,gruen,apricot,red,33.148514851485146,32.654061351878994,25
IB,9,NF,medium,Banane,braun,Waescheklammer,braun,Avokado,gelb,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
IB,10,ANF,NA,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,gruen,Socken,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
IB,11,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Waescheklammer,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
IB,12,NF,medium,Erbsen,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange,peas,yellow,34.57425742574257,33.063377484659206,27
IB,13,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Socken,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
IB,14,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,gelb,Waescheklammer,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
IB,15,AF,NA,Moehre,gruen,Moehre,orange,Socken,gelb,Waescheklammer,rot,carrots,green,3.99009900990099,13.916533368267366,0
IB,16,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Aubergine,gruen,Bueroklammer,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
IB,17,ANF,NA,Erbsen,gelb,Bohnen,gruen,Socken,rot,Waescheklammer,rot,peas,yellow,34.57425742574257,33.063377484659206,27
IB,18,NF,atypical,Trauben,orange,Bueroklammer,orange,Zucchini,gruen,Waescheklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
IB,19,NF,atypical,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Socken,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
IB,20,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
IB,21,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
IB,22,ANF,NA,Zitrone,gelb,Banane,braun,Bueroklammer,orange,Aubergine,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
IB,23,NF,typical,Walnuss,braun,Bueroklammer,braun,Zucchini,gelb,Avokado,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
IB,24,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Aubergine,gruen,Socken,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
IB,25,AF,NA,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
IB,26,ANF,NA,Walnuss,braun,Zitrone,gelb,Aubergine,gruen,Bueroklammer,orange,walnut,brown,97.45544554455445,11.250355329922026,100
IB,27,NF,typical,Bohnen,gruen,Socken,gruen,Birne,orange,Sonnenbrille,braun,beans,green,96.81188118811882,7.065002294815097,100
IB,28,ANF,NA,Tomate,gruen,Walnuss,braun,Zucchini,gelb,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
IB,29,NF,typical,Mandarine,orange,Socken,orange,Waescheklammer,braun,Zucchini,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
IB,30,AF,NA,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
IB,31,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Bueroklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
IB,32,ANF,NA,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,rot,Waescheklammer,gelb,beans,green,96.81188118811882,7.065002294815097,100
