speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
IP,1,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,gelb,Aubergine,gelb
IP,2,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Bueroklammer,gruen
IP,3,NF,typical,Mandarine,orange,Socken,orange,Avokado,gelb,Bueroklammer,gelb
IP,4,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Sonnenbrille,rot
IP,5,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Birne,orange
IP,6,ANF,typical,Mandarine,orange,Erbsen,gelb,Bueroklammer,rot,Socken,rot
IP,7,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Birne,orange,Socken,rot
IP,8,ANF,medium,Erbsen,gelb,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,gruen
IP,9,AF,atypical,Moehre,gruen,Moehre,orange,Zucchini,gelb,Zucchini,braun
IP,10,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,rot,Bueroklammer,gruen
IP,11,NF,medium,Banane,braun,Sonnenbrille,braun,Aubergine,rot,Bueroklammer,rot
IP,12,AF,NA,Socken,gruen,Socken,orange,Sonnenbrille,rot,Aubergine,rot
IP,13,ANF,medium,Kartoffeln,orange,Erdbeere,rot,Avokado,gelb,Socken,braun
IP,14,NF,atypical,Moehre,gruen,Socken,gruen,Bueroklammer,rot,Sonnenbrille,orange
IP,15,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Socken,braun,Zucchini,braun
IP,16,ANF,typical,Erdbeere,rot,Bohnen,gruen,Zucchini,braun,Socken,orange
IP,17,NF,atypical,Trauben,orange,Bueroklammer,orange,Sonnenbrille,gruen,Sonnenbrille,rot
IP,18,AF,atypical,Paprika,braun,Paprika,rot,Socken,orange,Zucchini,gelb
IP,19,NF,typical,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,gruen
IP,20,NF,atypical,Gurke,rot,Waescheklammer,rot,Zucchini,braun,Socken,braun
IP,21,ANF,typical,Bohnen,gruen,Walnuss,braun,Sonnenbrille,rot,Aubergine,rot
IP,22,AF,atypical,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Sonnenbrille,gruen
IP,23,ANF,medium,Aprikose,rot,Banane,braun,Sonnenbrille,gruen,Zucchini,gelb
IP,24,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,rot
IP,25,ANF,typical,Walnuss,braun,Mandarine,orange,Zucchini,gelb,Sonnenbrille,gruen
IP,26,AF,atypical,Trauben,orange,Trauben,gelb,Aubergine,rot,Socken,braun
IP,27,NF,medium,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,rot,Aubergine,rot
IP,28,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Sonnenbrille,orange
IP,29,ANF,typical,Zitrone,gelb,Tomate,gruen,Socken,braun,Zucchini,braun
IP,30,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,braun,Socken,orange
IP,31,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Avokado,gelb
IP,32,NF,atypical,Paprika,braun,Waescheklammer,braun,Zucchini,gelb,Socken,orange
IP,33,ANF,medium,Tomate,gruen,Kartoffeln,orange,Aubergine,rot,Bueroklammer,rot
IP,34,NF,typical,Walnuss,braun,Bueroklammer,braun,Socken,orange,Zucchini,gelb
IP,35,ANF,medium,Banane,braun,Zitrone,gelb,Socken,orange,Sonnenbrille,rot
IP,36,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Bueroklammer,gelb,Aubergine,gelb
IP,37,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Bueroklammer,gruen
IP,38,NF,typical,Mandarine,orange,Socken,orange,Avokado,gelb,Bueroklammer,gelb
IP,39,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Sonnenbrille,rot
IP,40,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Birne,orange
IP,41,ANF,typical,Mandarine,orange,Erbsen,gelb,Bueroklammer,rot,Socken,rot
IP,42,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Birne,orange,Socken,rot
IP,43,ANF,medium,Erbsen,gelb,Aprikose,rot,Sonnenbrille,orange,Bueroklammer,gruen
IP,44,AF,atypical,Moehre,gruen,Moehre,orange,Zucchini,gelb,Zucchini,braun
IP,45,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,rot,Bueroklammer,gruen
IP,46,NF,medium,Banane,braun,Sonnenbrille,braun,Aubergine,rot,Bueroklammer,rot
IP,47,AF,NA,Socken,gruen,Socken,orange,Sonnenbrille,rot,Aubergine,rot
IP,48,ANF,medium,Kartoffeln,orange,Erdbeere,rot,Avokado,gelb,Socken,braun
IP,49,NF,atypical,Moehre,gruen,Socken,gruen,Bueroklammer,rot,Sonnenbrille,orange
IP,50,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Socken,braun,Zucchini,braun
IP,51,ANF,typical,Erdbeere,rot,Bohnen,gruen,Zucchini,braun,Socken,orange
IP,52,NF,atypical,Trauben,orange,Bueroklammer,orange,Sonnenbrille,gruen,Sonnenbrille,rot
IP,53,AF,atypical,Paprika,braun,Paprika,rot,Socken,orange,Zucchini,gelb
IP,54,NF,typical,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,gruen
IP,55,NF,atypical,Gurke,rot,Waescheklammer,rot,Zucchini,braun,Socken,braun
IP,56,ANF,typical,Bohnen,gruen,Walnuss,braun,Sonnenbrille,rot,Aubergine,rot
IP,57,AF,atypical,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Sonnenbrille,gruen
IP,58,ANF,medium,Aprikose,rot,Banane,braun,Sonnenbrille,gruen,Zucchini,gelb
IP,59,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,rot
IP,60,ANF,typical,Walnuss,braun,Mandarine,orange,Zucchini,gelb,Sonnenbrille,gruen
IP,61,AF,atypical,Trauben,orange,Trauben,gelb,Aubergine,rot,Socken,braun
IP,62,NF,medium,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,rot,Aubergine,rot
IP,63,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Sonnenbrille,orange
IP,64,ANF,typical,Zitrone,gelb,Tomate,gruen,Socken,braun,Zucchini,braun
IP,65,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Zucchini,braun,Socken,orange
IP,66,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Avokado,gelb
IP,67,NF,atypical,Paprika,braun,Waescheklammer,braun,Zucchini,gelb,Socken,orange
IP,68,ANF,medium,Tomate,gruen,Kartoffeln,orange,Aubergine,rot,Bueroklammer,rot
IP,69,NF,typical,Walnuss,braun,Bueroklammer,braun,Socken,orange,Zucchini,gelb
IP,70,ANF,medium,Banane,braun,Zitrone,gelb,Socken,orange,Sonnenbrille,rot
