speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
JH,1,NF,atypical,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Sonnenbrille,rot,pepper,brown,7.772277227722772,16.440730633471745,0
JH,2,ANF,NA,Bohnen,gruen,Kartoffeln,orange,Avokado,gelb,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
JH,3,NF,typical,Erdbeere,rot,Socken,rot,Waescheklammer,braun,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
JH,4,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Avokado,rot,socks,green,58.504950495049506,27.195817238088743,63
JH,5,ANF,NA,Tomate,gruen,Zitrone,gelb,Socken,rot,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
JH,6,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Zucchini,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
JH,7,ANF,NA,Banane,braun,Erdbeere,rot,Aubergine,gruen,Birne,orange,banana,brown,27.643564356435643,28.333225781197537,22
JH,8,AF,NA,Moehre,gruen,Moehre,orange,Avokado,rot,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
JH,9,NF,atypical,Kirsche,gelb,Socken,gelb,Avokado,rot,Birne,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
JH,10,NF,medium,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Birne,gruen,banana,brown,27.643564356435643,28.333225781197537,22
JH,11,ANF,NA,Erdbeere,rot,Mandarine,orange,Socken,braun,Avokado,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
JH,12,NF,medium,Kartoffeln,orange,Socken,orange,Aubergine,gruen,Avokado,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JH,13,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Avokado,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
JH,14,NF,typical,Walnuss,braun,Bueroklammer,braun,Zucchini,gruen,Socken,rot,walnut,brown,97.45544554455445,11.250355329922026,100
JH,15,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,braun,Waescheklammer,braun,suglasses,yellow,53.75247524752475,23.211379080353698,56
JH,16,ANF,NA,Aprikose,rot,Tomate,gruen,Birne,orange,Waescheklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
JH,17,AF,NA,Trauben,orange,Trauben,gelb,Avokado,gruen,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JH,18,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,orange,carrots,green,3.99009900990099,13.916533368267366,0
JH,19,ANF,NA,Mandarine,orange,Walnuss,braun,Avokado,rot,Aubergine,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
JH,20,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Socken,gruen,suglasses,brown,52.039603960396036,24.20327283326749,57
JH,21,NF,typical,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gruen,Waescheklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JH,22,ANF,NA,Erbsen,gelb,Aprikose,rot,Waescheklammer,braun,Zucchini,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
JH,23,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Aubergine,gruen,Avokado,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
JH,24,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Birne,orange,Socken,braun,peas,yellow,34.57425742574257,33.063377484659206,27
JH,25,NF,atypical,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JH,26,AF,NA,Gurke,rot,Gurke,braun,Zucchini,gruen,Birne,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
JH,27,ANF,NA,Walnuss,braun,Erbsen,gelb,Socken,gruen,Avokado,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
JH,28,NF,atypical,Gurke,rot,Waescheklammer,rot,Socken,gruen,Avokado,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
JH,29,ANF,NA,Zitrone,gelb,Banane,braun,Avokado,gruen,Socken,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
JH,30,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Socken,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
JH,31,NF,medium,Aprikose,rot,Bueroklammer,rot,Socken,braun,Zucchini,gruen,apricot,red,33.148514851485146,32.654061351878994,25
JH,32,ANF,NA,Kartoffeln,orange,Bohnen,gruen,Zucchini,rot,Socken,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
JH,33,NF,typical,Bohnen,gruen,Socken,gruen,Avokado,gelb,Waescheklammer,braun,beans,green,96.81188118811882,7.065002294815097,100
JH,34,AF,NA,Paprika,braun,Paprika,rot,Birne,orange,Zucchini,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
JH,35,NF,medium,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
JH,36,NF,atypical,Paprika,braun,Waescheklammer,braun,Bueroklammer,orange,Sonnenbrille,rot,pepper,brown,7.772277227722772,16.440730633471745,0
JH,37,ANF,NA,Bohnen,gruen,Kartoffeln,orange,Avokado,gelb,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
JH,38,NF,typical,Erdbeere,rot,Socken,rot,Waescheklammer,braun,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
JH,39,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Avokado,rot,socks,green,58.504950495049506,27.195817238088743,63
JH,40,ANF,NA,Tomate,gruen,Zitrone,gelb,Socken,rot,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
JH,41,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,gruen,Zucchini,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
JH,42,ANF,NA,Banane,braun,Erdbeere,rot,Aubergine,gruen,Birne,orange,banana,brown,27.643564356435643,28.333225781197537,22
JH,43,AF,NA,Moehre,gruen,Moehre,orange,Avokado,rot,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
JH,44,NF,atypical,Kirsche,gelb,Socken,gelb,Avokado,rot,Birne,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
JH,45,NF,medium,Banane,braun,Sonnenbrille,braun,Zucchini,rot,Birne,gruen,banana,brown,27.643564356435643,28.333225781197537,22
JH,46,ANF,NA,Erdbeere,rot,Mandarine,orange,Socken,braun,Avokado,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
JH,47,NF,medium,Kartoffeln,orange,Socken,orange,Aubergine,gruen,Avokado,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JH,48,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Avokado,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
JH,49,NF,typical,Walnuss,braun,Bueroklammer,braun,Zucchini,gruen,Socken,rot,walnut,brown,97.45544554455445,11.250355329922026,100
JH,50,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,braun,Waescheklammer,braun,suglasses,yellow,53.75247524752475,23.211379080353698,56
JH,51,ANF,NA,Aprikose,rot,Tomate,gruen,Birne,orange,Waescheklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
JH,52,AF,NA,Trauben,orange,Trauben,gelb,Avokado,gruen,Aubergine,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JH,53,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Bueroklammer,orange,carrots,green,3.99009900990099,13.916533368267366,0
JH,54,ANF,NA,Mandarine,orange,Walnuss,braun,Avokado,rot,Aubergine,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
JH,55,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gelb,Socken,gruen,suglasses,brown,52.039603960396036,24.20327283326749,57
JH,56,NF,typical,Mandarine,orange,Bueroklammer,orange,Waescheklammer,gruen,Waescheklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JH,57,ANF,NA,Erbsen,gelb,Aprikose,rot,Waescheklammer,braun,Zucchini,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
JH,58,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Aubergine,gruen,Avokado,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
JH,59,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Birne,orange,Socken,braun,peas,yellow,34.57425742574257,33.063377484659206,27
JH,60,NF,atypical,Trauben,orange,Waescheklammer,orange,Avokado,gruen,Socken,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JH,61,AF,NA,Gurke,rot,Gurke,braun,Zucchini,gruen,Birne,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
JH,62,ANF,NA,Walnuss,braun,Erbsen,gelb,Socken,gruen,Avokado,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
JH,63,NF,atypical,Gurke,rot,Waescheklammer,rot,Socken,gruen,Avokado,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
JH,64,ANF,NA,Zitrone,gelb,Banane,braun,Avokado,gruen,Socken,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
JH,65,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Socken,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
JH,66,NF,medium,Aprikose,rot,Bueroklammer,rot,Socken,braun,Zucchini,gruen,apricot,red,33.148514851485146,32.654061351878994,25
JH,67,ANF,NA,Kartoffeln,orange,Bohnen,gruen,Zucchini,rot,Socken,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
JH,68,NF,typical,Bohnen,gruen,Socken,gruen,Avokado,gelb,Waescheklammer,braun,beans,green,96.81188118811882,7.065002294815097,100
JH,69,AF,NA,Paprika,braun,Paprika,rot,Birne,orange,Zucchini,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
JH,70,NF,medium,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
