speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
JK,1,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Socken,orange,suglasses,brown,52.039603960396036,24.20327283326749,57
JK,2,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Socken,gelb,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
JK,3,AF,NA,Gurke,rot,Gurke,braun,Waescheklammer,gruen,Zucchini,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
JK,4,NF,typical,Zitrone,gelb,Socken,gelb,Bueroklammer,gruen,Sonnenbrille,orange,lemon,yellow,99.60396039603961,2.3794083631053837,100
JK,5,NF,atypical,Gurke,rot,Bueroklammer,rot,Aubergine,gruen,Socken,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
JK,6,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,rot,suglasses,yellow,53.75247524752475,23.211379080353698,56
JK,7,ANF,NA,Mandarine,orange,Bohnen,gruen,Zucchini,rot,Bueroklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JK,8,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,orange,Bueroklammer,gruen,cherry,yellow,1.386138613861386,3.9848972308698327,0
JK,9,ANF,NA,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
JK,10,AF,NA,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot,socks,green,58.504950495049506,27.195817238088743,63
JK,11,ANF,NA,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JK,12,NF,medium,Tomate,gruen,Socken,gruen,Aubergine,rot,Bueroklammer,rot,tomato,green,25.99009900990099,28.510522636214493,18
JK,13,ANF,NA,Zitrone,gelb,Aprikose,rot,Socken,orange,Aubergine,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
JK,14,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Zucchini,rot,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JK,15,AF,NA,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Aubergine,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
JK,16,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Zucchini,rot,peas,yellow,34.57425742574257,33.063377484659206,27
JK,17,NF,typical,Walnuss,braun,Bueroklammer,braun,Waescheklammer,rot,Socken,rot,walnut,brown,97.45544554455445,11.250355329922026,100
JK,18,AF,NA,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Aubergine,rot,carrots,green,3.99009900990099,13.916533368267366,0
JK,19,NF,medium,Aprikose,rot,Waescheklammer,rot,Socken,orange,Sonnenbrille,gelb,apricot,red,33.148514851485146,32.654061351878994,25
JK,20,ANF,NA,Aprikose,rot,Kartoffeln,orange,Sonnenbrille,gelb,Socken,gelb,apricot,red,33.148514851485146,32.654061351878994,25
