speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
JN,1,AF,atypical,Gurke,rot,Gurke,braun,Aubergine,gruen,Sonnenbrille,gruen
JN,2,NF,medium,Erbsen,gelb,Socken,gelb,Sonnenbrille,gruen,Aubergine,gruen
JN,3,ANF,medium,Aprikose,rot,Mandarine,orange,Birne,gruen,Aubergine,gruen
JN,4,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,orange
JN,5,NF,typical,Erdbeere,rot,Socken,rot,Birne,gruen,Waescheklammer,orange
JN,6,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Socken,rot,Bueroklammer,rot
JN,7,AF,atypical,Trauben,orange,Trauben,gelb,Birne,gruen,Zucchini,gruen
JN,8,ANF,medium,Banane,braun,Zitrone,gelb,Socken,gruen,Sonnenbrille,gruen
JN,9,AF,atypical,Moehre,gruen,Moehre,orange,Sonnenbrille,gelb,Waescheklammer,rot
JN,10,NF,medium,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Bueroklammer,braun
JN,11,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb
JN,12,ANF,typical,Erdbeere,rot,Tomate,gruen,Avokado,gelb,Sonnenbrille,gelb
JN,13,NF,typical,Walnuss,braun,Waescheklammer,braun,Avokado,gruen,Aubergine,rot
JN,14,AF,atypical,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Socken,rot
JN,15,NF,atypical,Trauben,orange,Waescheklammer,orange,Socken,rot,Bueroklammer,rot
JN,16,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,rot,Bueroklammer,rot
JN,17,NF,atypical,Gurke,rot,Bueroklammer,rot,Avokado,gelb,Sonnenbrille,gelb
JN,18,AF,NA,Socken,gruen,Socken,orange,Bueroklammer,rot,Avokado,gelb
JN,19,NF,medium,Banane,braun,Bueroklammer,braun,Sonnenbrille,gelb,Sonnenbrille,gruen
JN,20,ANF,typical,Zitrone,gelb,Bohnen,gruen,Bueroklammer,rot,Socken,rot
JN,21,NF,atypical,Paprika,braun,Sonnenbrille,braun,Aubergine,gruen,Socken,gruen
JN,22,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,gruen
