speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
JR,1,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Birne,gruen
JR,2,NF,atypical,Paprika,braun,Bueroklammer,braun,Socken,gruen,Sonnenbrille,gelb
JR,3,NF,medium,Kartoffeln,orange,Socken,orange,Waescheklammer,rot,Birne,gruen
JR,4,ANF,medium,Erbsen,gelb,Walnuss,braun,Bueroklammer,rot,Socken,gruen
JR,5,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,rot,Waescheklammer,rot
JR,6,AF,atypical,Paprika,braun,Paprika,rot,Birne,gruen,Aubergine,gruen
JR,7,NF,typical,Zitrone,gelb,Socken,gelb,Sonnenbrille,orange,Sonnenbrille,rot
JR,8,NF,medium,Banane,braun,Waescheklammer,braun,Socken,rot,Avokado,gelb
JR,9,AF,atypical,Moehre,gruen,Moehre,orange,Socken,rot,Avokado,gelb
JR,10,NF,typical,Mandarine,orange,Bueroklammer,orange,Avokado,gelb,Socken,rot
JR,11,ANF,typical,Walnuss,braun,Zitrone,gelb,Socken,gruen,Socken,rot
JR,12,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Avokado,gruen,Bueroklammer,braun
JR,13,AF,NA,Socken,gruen,Socken,orange,Avokado,gelb,Bueroklammer,rot
JR,14,ANF,typical,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Avokado,gelb
JR,15,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,rot,Zucchini,rot
JR,16,ANF,medium,Tomate,gruen,Erbsen,gelb,Zucchini,rot,Bueroklammer,orange
JR,17,AF,atypical,Gurke,rot,Gurke,braun,Sonnenbrille,gelb,Bueroklammer,orange
JR,18,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,rot,Socken,rot
JR,19,ANF,medium,Banane,braun,Kartoffeln,orange,Aubergine,rot,Waescheklammer,rot
JR,20,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Aubergine,rot,Aubergine,gruen
JR,21,ANF,typical,Bohnen,gruen,Erdbeere,rot,Avokado,gelb,Sonnenbrille,gelb
JR,22,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,orange,Socken,gruen
JR,23,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,gelb,Avokado,gruen
JR,24,ANF,typical,Mandarine,orange,Bohnen,gruen,Waescheklammer,rot,Zucchini,rot
JR,25,NF,typical,Erdbeere,rot,Waescheklammer,rot,Aubergine,gelb,Socken,gelb
JR,26,ANF,typical,Zitrone,gelb,Tomate,gruen,Socken,rot,Bueroklammer,rot
JR,27,ANF,medium,Aprikose,rot,Banane,braun,Bueroklammer,orange,Birne,gruen
JR,28,NF,atypical,Trauben,orange,Waescheklammer,orange,Birne,gruen,Socken,gruen
JR,29,AF,atypical,Kirsche,gelb,Kirsche,gruen,Waescheklammer,rot,Zucchini,rot
JR,30,NF,medium,Tomate,gruen,Socken,gruen,Sonnenbrille,gelb,Bueroklammer,rot
JR,31,ANF,medium,Kartoffeln,orange,Aprikose,rot,Birne,gruen,Aubergine,gruen
JR,32,AF,atypical,Trauben,orange,Trauben,gelb,Aubergine,rot,Waescheklammer,rot
