speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
JW,1,ANF,typical,Bohnen,gruen,Erbsen,gelb,Bueroklammer,rot,Socken,braun,beans,green,96.81188118811882,7.065002294815097,100
JW,2,NF,typical,Mandarine,orange,Socken,orange,Aubergine,rot,Bueroklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JW,3,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Aubergine,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
JW,4,NF,medium,Tomate,gruen,Bueroklammer,gruen,Socken,rot,Waescheklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
JW,5,NF,typical,Erdbeere,rot,Bueroklammer,rot,Aubergine,gelb,Sonnenbrille,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
JW,6,ANF,typical,Mandarine,orange,Banane,braun,Avokado,gruen,Aubergine,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JW,7,AF,atypical,Trauben,orange,Trauben,gelb,Socken,rot,Aubergine,rot,grapes,orange,5.871287128712871,14.374048397258605,0
JW,8,ANF,medium,Erbsen,gelb,Aprikose,rot,Socken,braun,Sonnenbrille,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
JW,9,NF,atypical,Trauben,orange,Bueroklammer,orange,Avokado,gelb,Socken,braun,grapes,orange,5.871287128712871,14.374048397258605,0
JW,10,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Sonnenbrille,gruen,Avokado,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
JW,11,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Waescheklammer,orange,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
JW,12,ANF,medium,Tomate,gruen,Erdbeere,rot,Avokado,gelb,Bueroklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
JW,13,AF,atypical,Paprika,braun,Paprika,rot,Aubergine,gruen,Bueroklammer,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
JW,14,ANF,medium,Kartoffeln,orange,Bohnen,gruen,Aubergine,rot,Avokado,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
JW,15,AF,atypical,Gurke,rot,Gurke,braun,Bueroklammer,orange,Sonnenbrille,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
JW,16,ANF,medium,Aprikose,rot,Zitrone,gelb,Bueroklammer,gruen,Aubergine,gruen,apricot,red,33.148514851485146,32.654061351878994,25
JW,17,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gruen,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JW,18,NF,atypical,Kirsche,gelb,Socken,gelb,Sonnenbrille,braun,Birne,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
JW,19,AF,NA,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,braun,socks,green,58.504950495049506,27.195817238088743,63
JW,20,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Avokado,gruen,Sonnenbrille,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
JW,21,ANF,typical,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Waescheklammer,orange,lemon,yellow,99.60396039603961,2.3794083631053837,100
JW,22,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,gruen,Aubergine,rot,walnut,brown,97.45544554455445,11.250355329922026,100
JW,23,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gruen,Waescheklammer,orange,suglasses,brown,52.039603960396036,24.20327283326749,57
