speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
KM,1,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gelb,Waescheklammer,gruen,suglasses,brown,52.039603960396036,24.20327283326749,57
KM,2,AF,NA,Trauben,orange,Trauben,gelb,Avokado,rot,Bueroklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
KM,3,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,braun,Waescheklammer,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
KM,4,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Bueroklammer,rot,Socken,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
KM,5,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Birne,rot,grapes,orange,5.871287128712871,14.374048397258605,0
KM,6,ANF,NA,Erdbeere,rot,Bohnen,gruen,Waescheklammer,braun,Bueroklammer,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
KM,7,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Zucchini,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
KM,8,NF,medium,Tomate,gruen,Socken,gruen,Zucchini,gelb,Avokado,rot,tomato,green,25.99009900990099,28.510522636214493,18
KM,9,NF,medium,Aprikose,rot,Waescheklammer,rot,Bueroklammer,gelb,Bueroklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
KM,10,ANF,NA,Mandarine,orange,Erbsen,gelb,Socken,braun,Bueroklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
KM,11,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Socken,gelb,Waescheklammer,orange,carrots,green,3.99009900990099,13.916533368267366,0
KM,12,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Zucchini,gruen,Birne,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
KM,13,AF,NA,Paprika,braun,Paprika,rot,Waescheklammer,gruen,Bueroklammer,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
KM,14,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Birne,gruen,Socken,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
KM,15,ANF,NA,Zitrone,gelb,Tomate,gruen,Avokado,rot,Socken,orange,lemon,yellow,99.60396039603961,2.3794083631053837,100
KM,16,AF,NA,Socken,gruen,Socken,orange,Zucchini,gelb,Avokado,rot,socks,green,58.504950495049506,27.195817238088743,63
KM,17,NF,medium,Banane,braun,Sonnenbrille,braun,Socken,orange,Bueroklammer,rot,banana,brown,27.643564356435643,28.333225781197537,22
KM,18,AF,NA,Moehre,gruen,Moehre,orange,Socken,braun,Waescheklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
