speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
LM,1,ANF,typical,Mandarine,orange,Zitrone,gelb,Birne,rot,Waescheklammer,rot
LM,2,NF,medium,Banane,braun,Bueroklammer,braun,Aubergine,rot,Socken,gelb
LM,3,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,braun,Aubergine,rot
LM,4,NF,typical,Erdbeere,rot,Bueroklammer,rot,Sonnenbrille,orange,Zucchini,braun
LM,5,AF,atypical,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Zucchini,gruen
LM,6,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,rot
LM,7,ANF,typical,Zitrone,gelb,Tomate,gruen,Zucchini,braun,Aubergine,rot
LM,8,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,gruen,Waescheklammer,orange
LM,9,NF,atypical,Trauben,orange,Bueroklammer,orange,Waescheklammer,gelb,Zucchini,gruen
LM,10,AF,atypical,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Socken,gelb
LM,11,NF,typical,Bohnen,gruen,Socken,gruen,Sonnenbrille,rot,Waescheklammer,gelb
LM,12,NF,atypical,Gurke,rot,Socken,rot,Zucchini,braun,Sonnenbrille,orange
LM,13,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Aubergine,gelb,Waescheklammer,rot
LM,14,NF,medium,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Sonnenbrille,gelb
LM,15,AF,NA,Socken,gruen,Socken,orange,Waescheklammer,rot,Birne,rot
LM,16,ANF,medium,Erbsen,gelb,Kartoffeln,orange,Sonnenbrille,rot,Zucchini,gruen
LM,17,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Birne,orange,Waescheklammer,orange
LM,18,ANF,typical,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Waescheklammer,gelb
LM,19,NF,medium,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,gelb,Sonnenbrille,rot
LM,20,ANF,medium,Aprikose,rot,Banane,braun,Socken,gelb,Aubergine,gelb
LM,21,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Waescheklammer,rot
LM,22,NF,atypical,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Aubergine,gelb
LM,23,ANF,typical,Walnuss,braun,Bohnen,gruen,Waescheklammer,rot,Birne,rot
LM,24,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Aubergine,gelb,Birne,rot
LM,25,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,gelb,Aubergine,gelb
LM,26,NF,typical,Zitrone,gelb,Socken,gelb,Waescheklammer,orange,Avokado,gruen
LM,27,ANF,medium,Banane,braun,Aprikose,rot,Sonnenbrille,orange,Socken,gelb
LM,28,ANF,medium,Tomate,gruen,Erdbeere,rot,Aubergine,gelb,Zucchini,braun
LM,29,AF,atypical,Moehre,gruen,Moehre,orange,Birne,rot,Zucchini,braun
LM,30,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Birne,orange
LM,31,AF,atypical,Kirsche,gelb,Kirsche,gruen,Aubergine,rot,Sonnenbrille,orange
LM,32,ANF,medium,Kartoffeln,orange,Walnuss,braun,Aubergine,rot,Sonnenbrille,gelb
LM,33,ANF,typical,Bohnen,gruen,Erbsen,gelb,Waescheklammer,orange,Sonnenbrille,orange
LM,34,AF,atypical,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Waescheklammer,gelb
LM,35,NF,typical,Mandarine,orange,Socken,orange,Avokado,gruen,Zucchini,gelb
LM,36,ANF,typical,Mandarine,orange,Zitrone,gelb,Birne,rot,Waescheklammer,rot
LM,37,NF,medium,Banane,braun,Bueroklammer,braun,Aubergine,rot,Socken,gelb
LM,38,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,braun,Aubergine,rot
LM,39,NF,typical,Erdbeere,rot,Bueroklammer,rot,Sonnenbrille,orange,Zucchini,braun
LM,40,AF,atypical,Trauben,orange,Trauben,gelb,Sonnenbrille,rot,Zucchini,gruen
LM,41,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Aubergine,rot
LM,42,ANF,typical,Zitrone,gelb,Tomate,gruen,Zucchini,braun,Aubergine,rot
LM,43,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,gruen,Waescheklammer,orange
LM,44,NF,atypical,Trauben,orange,Bueroklammer,orange,Waescheklammer,gelb,Zucchini,gruen
LM,45,AF,atypical,Gurke,rot,Gurke,braun,Sonnenbrille,orange,Socken,gelb
LM,46,NF,typical,Bohnen,gruen,Socken,gruen,Sonnenbrille,rot,Waescheklammer,gelb
LM,47,NF,atypical,Gurke,rot,Socken,rot,Zucchini,braun,Sonnenbrille,orange
LM,48,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Aubergine,gelb,Waescheklammer,rot
LM,49,NF,medium,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Sonnenbrille,gelb
LM,50,AF,NA,Socken,gruen,Socken,orange,Waescheklammer,rot,Birne,rot
LM,51,ANF,medium,Erbsen,gelb,Kartoffeln,orange,Sonnenbrille,rot,Zucchini,gruen
LM,52,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Birne,orange,Waescheklammer,orange
LM,53,ANF,typical,Erdbeere,rot,Mandarine,orange,Sonnenbrille,gelb,Waescheklammer,gelb
LM,54,NF,medium,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,gelb,Sonnenbrille,rot
LM,55,ANF,medium,Aprikose,rot,Banane,braun,Socken,gelb,Aubergine,gelb
LM,56,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Waescheklammer,rot
