speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
MS,1,ANF,medium,Erbsen,gelb,Erdbeere,rot,Socken,gruen,Sonnenbrille,orange
MS,2,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Socken,gruen
MS,3,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot
MS,4,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun
MS,5,ANF,medium,Tomate,gruen,Banane,braun,Bueroklammer,rot,Waescheklammer,rot
MS,6,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen
MS,7,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,rot,Birne,rot
MS,8,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange
MS,9,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Sonnenbrille,orange
MS,10,NF,atypical,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot
MS,11,ANF,typical,Mandarine,orange,Tomate,gruen,Socken,gelb,Sonnenbrille,rot
MS,12,NF,medium,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun
MS,13,ANF,medium,Aprikose,rot,Walnuss,braun,Avokado,gruen,Waescheklammer,gruen
MS,14,AF,atypical,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
MS,15,NF,medium,Kartoffeln,orange,Socken,orange,Sonnenbrille,rot,Birne,gruen
MS,16,ANF,medium,Kartoffeln,orange,Erbsen,gelb,Birne,rot,Zucchini,rot
MS,17,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot
MS,18,AF,atypical,Paprika,braun,Paprika,rot,Sonnenbrille,orange,Socken,gelb
MS,19,NF,medium,Tomate,gruen,Socken,gruen,Bueroklammer,braun,Aubergine,rot
MS,20,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,gelb
MS,21,NF,atypical,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun
MS,22,ANF,medium,Banane,braun,Mandarine,orange,Birne,gruen,Bueroklammer,rot
MS,23,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot
MS,24,ANF,typical,Walnuss,braun,Aprikose,rot,Sonnenbrille,orange,Birne,gruen
MS,25,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,gruen,Bueroklammer,rot
MS,26,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,braun,Sonnenbrille,orange
MS,27,ANF,typical,Erdbeere,rot,Zitrone,gelb,Sonnenbrille,braun,Socken,gruen
MS,28,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Zucchini,rot
MS,29,AF,atypical,Gurke,rot,Gurke,braun,Socken,gruen,Avokado,gruen
MS,30,ANF,typical,Zitrone,gelb,Bohnen,gruen,Waescheklammer,rot,Sonnenbrille,braun
MS,31,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Socken,gelb,Birne,gruen
MS,32,AF,NA,Socken,gruen,Socken,orange,Sonnenbrille,rot,Bueroklammer,rot
MS,33,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,orange,Socken,gruen
MS,34,AF,atypical,Trauben,orange,Trauben,gelb,Birne,gruen,Sonnenbrille,rot
MS,35,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Socken,gelb
MS,36,ANF,medium,Erbsen,gelb,Erdbeere,rot,Socken,gruen,Sonnenbrille,orange
MS,37,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Avokado,gruen,Socken,gruen
MS,38,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot
MS,39,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun
MS,40,ANF,medium,Tomate,gruen,Banane,braun,Bueroklammer,rot,Waescheklammer,rot
MS,41,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen
MS,42,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,rot,Birne,rot
MS,43,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange
MS,44,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Sonnenbrille,orange
MS,45,NF,atypical,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot
MS,46,ANF,typical,Mandarine,orange,Tomate,gruen,Socken,gelb,Sonnenbrille,rot
MS,47,NF,medium,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun
MS,48,ANF,medium,Aprikose,rot,Walnuss,braun,Avokado,gruen,Waescheklammer,gruen
MS,49,AF,atypical,Moehre,gruen,Moehre,orange,Birne,rot,Waescheklammer,rot
MS,50,NF,medium,Kartoffeln,orange,Socken,orange,Sonnenbrille,rot,Birne,gruen
MS,51,ANF,medium,Kartoffeln,orange,Erbsen,gelb,Birne,rot,Zucchini,rot
MS,52,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot
MS,53,AF,atypical,Paprika,braun,Paprika,rot,Sonnenbrille,orange,Socken,gelb
MS,54,NF,medium,Tomate,gruen,Socken,gruen,Bueroklammer,braun,Aubergine,rot
MS,55,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Sonnenbrille,rot,Socken,gelb
MS,56,NF,atypical,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun
MS,57,ANF,medium,Banane,braun,Mandarine,orange,Birne,gruen,Bueroklammer,rot
