speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
MZ,1,ANF,medium,Kartoffeln,orange,Banane,braun,Aubergine,gruen,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,2,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
MZ,3,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,braun,Waescheklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
MZ,4,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
MZ,5,AF,atypical,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Waescheklammer,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,6,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,7,ANF,typical,Walnuss,braun,Erdbeere,rot,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
MZ,8,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Avokado,rot,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
MZ,9,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,gruen,Sonnenbrille,rot,grapes,orange,5.871287128712871,14.374048397258605,0
MZ,10,ANF,typical,Mandarine,orange,Aprikose,rot,Zucchini,braun,Socken,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
MZ,11,NF,atypical,Gurke,rot,Socken,rot,Zucchini,braun,Bueroklammer,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
MZ,12,ANF,medium,Aprikose,rot,Zitrone,gelb,Socken,gruen,Bueroklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
MZ,13,NF,atypical,Kirsche,gelb,Socken,gelb,Avokado,gruen,Zucchini,gruen,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,14,AF,atypical,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Socken,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
MZ,15,ANF,medium,Erbsen,gelb,Walnuss,braun,Waescheklammer,orange,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
MZ,16,NF,medium,Aprikose,rot,Bueroklammer,rot,Zucchini,gruen,Avokado,gruen,apricot,red,33.148514851485146,32.654061351878994,25
MZ,17,AF,NA,Socken,gruen,Socken,orange,Zucchini,braun,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
MZ,18,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Waescheklammer,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
MZ,19,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
MZ,20,ANF,medium,Banane,braun,Tomate,gruen,Avokado,rot,Bueroklammer,orange,banana,brown,27.643564356435643,28.333225781197537,22
MZ,21,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Avokado,rot,Bueroklammer,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
MZ,22,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,gelb,Waescheklammer,gelb,beans,green,96.81188118811882,7.065002294815097,100
MZ,23,ANF,typical,Erdbeere,rot,Erbsen,gelb,Bueroklammer,gruen,Waescheklammer,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
MZ,24,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,braun,Sonnenbrille,rot,beans,green,96.81188118811882,7.065002294815097,100
MZ,25,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,gelb,Zucchini,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
MZ,26,ANF,typical,Zitrone,gelb,Bohnen,gruen,Bueroklammer,orange,Avokado,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
MZ,27,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
MZ,28,AF,atypical,Trauben,orange,Trauben,gelb,Waescheklammer,braun,Bueroklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
MZ,29,NF,medium,Banane,braun,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen,banana,brown,27.643564356435643,28.333225781197537,22
MZ,30,AF,atypical,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
MZ,31,NF,typical,Zitrone,gelb,Sonnenbrille,gelb,Socken,gruen,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
MZ,32,AF,atypical,Paprika,braun,Paprika,rot,Bueroklammer,orange,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
MZ,33,ANF,medium,Tomate,gruen,Mandarine,orange,Bueroklammer,braun,Zucchini,braun,tomato,green,25.99009900990099,28.510522636214493,18
MZ,34,NF,atypical,Paprika,braun,Waescheklammer,braun,Bueroklammer,gruen,Socken,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
MZ,35,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Zucchini,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
MZ,36,ANF,medium,Kartoffeln,orange,Banane,braun,Aubergine,gruen,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,37,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
MZ,38,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,braun,Waescheklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
MZ,39,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
MZ,40,AF,atypical,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Waescheklammer,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,41,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,42,ANF,typical,Walnuss,braun,Erdbeere,rot,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
