speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
PB,1,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,rot,Socken,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
PB,2,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,orange,Bueroklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
PB,3,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Sonnenbrille,braun,Bueroklammer,rot,clothes.peg,orange,65.55445544554455,25.69999036868487,67
PB,4,NF,medium,Erbsen,gelb,Socken,gelb,Waescheklammer,gruen,Waescheklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
PB,5,ANF,NA,Banane,braun,Tomate,gruen,Socken,orange,Socken,rot,banana,brown,27.643564356435643,28.333225781197537,22
PB,6,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange,carrots,green,3.99009900990099,13.916533368267366,0
PB,7,AF,NA,Gurke,rot,Gurke,braun,Socken,orange,Bueroklammer,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
PB,8,ANF,NA,Aprikose,rot,Kartoffeln,orange,Socken,gruen,Bueroklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
PB,9,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Bueroklammer,orange,Socken,rot,suglasses,brown,52.039603960396036,24.20327283326749,57
PB,10,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Birne,rot,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
PB,11,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,gruen,Socken,orange,paper.clip,red,58.82178217821782,28.540285926950332,62
PB,12,NF,atypical,Trauben,orange,Waescheklammer,orange,Sonnenbrille,braun,Bueroklammer,rot,grapes,orange,5.871287128712871,14.374048397258605,0
PB,13,NF,medium,Banane,braun,Sonnenbrille,braun,Socken,gruen,Socken,rot,banana,brown,27.643564356435643,28.333225781197537,22
PB,14,ANF,NA,Erdbeere,rot,Mandarine,orange,Bueroklammer,braun,Socken,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
PB,15,NF,atypical,Paprika,braun,Bueroklammer,braun,Avokado,gelb,Sonnenbrille,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
PB,16,ANF,NA,Mandarine,orange,Zitrone,gelb,Socken,braun,Sonnenbrille,braun,mandarine,orange,98.70297029702971,4.731901424280615,100
PB,17,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Socken,braun,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
PB,18,AF,NA,Moehre,gruen,Moehre,orange,Socken,rot,Bueroklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
PB,19,ANF,NA,Kartoffeln,orange,Banane,braun,Avokado,gelb,Sonnenbrille,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
PB,20,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,braun,Sonnenbrille,braun,strawberry,red,99.35643564356435,2.7150843759111485,100
PB,21,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,braun,Zucchini,braun,mandarine,orange,98.70297029702971,4.731901424280615,100
PB,22,ANF,NA,Zitrone,gelb,Erdbeere,rot,Sonnenbrille,braun,Socken,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
PB,23,AF,NA,Socken,gruen,Socken,orange,Sonnenbrille,gelb,Zucchini,braun,socks,green,58.504950495049506,27.195817238088743,63
PB,24,ANF,NA,Erbsen,gelb,Walnuss,braun,Socken,rot,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
PB,25,AF,NA,Paprika,braun,Paprika,rot,Avokado,gelb,Sonnenbrille,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
PB,26,AF,NA,Trauben,orange,Trauben,gelb,Zucchini,braun,Socken,braun,grapes,orange,5.871287128712871,14.374048397258605,0
PB,27,ANF,NA,Bohnen,gruen,Aprikose,rot,Bueroklammer,orange,Zucchini,braun,beans,green,96.81188118811882,7.065002294815097,100
PB,28,NF,atypical,Gurke,rot,Waescheklammer,rot,Bueroklammer,gelb,Sonnenbrille,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
PB,29,ANF,NA,Walnuss,braun,Bohnen,gruen,Sonnenbrille,gelb,Avokado,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
PB,30,NF,atypical,Kirsche,gelb,Waescheklammer,gelb,Bueroklammer,rot,Birne,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
PB,31,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Bueroklammer,braun,Socken,gruen,suglasses,yellow,53.75247524752475,23.211379080353698,56
PB,32,NF,typical,Bohnen,gruen,Socken,gruen,Sonnenbrille,gelb,Bueroklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
