speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
PS,1,ANF,NA,Bohnen,gruen,Erbsen,gelb,Socken,orange,Avokado,rot,beans,green,96.81188118811882,7.065002294815097,100
PS,2,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Waescheklammer,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
PS,3,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Bueroklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
PS,4,ANF,NA,Kartoffeln,orange,Erdbeere,rot,Bueroklammer,braun,Avokado,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
PS,5,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Socken,orange,Avokado,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
PS,6,ANF,NA,Erdbeere,rot,Banane,braun,Waescheklammer,gelb,Socken,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
PS,7,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Birne,orange,Socken,rot,suglasses,yellow,53.75247524752475,23.211379080353698,56
PS,8,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange,beans,green,96.81188118811882,7.065002294815097,100
PS,9,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Zucchini,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
PS,10,NF,typical,Zitrone,gelb,Socken,gelb,Avokado,rot,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
PS,11,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,gruen,Avokado,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
PS,12,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Sonnenbrille,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
PS,13,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Socken,gelb,Socken,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
PS,14,ANF,NA,Aprikose,rot,Bohnen,gruen,Zucchini,braun,Waescheklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
PS,15,NF,typical,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Bueroklammer,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
PS,16,ANF,NA,Tomate,gruen,Mandarine,orange,Zucchini,gelb,Bueroklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
PS,17,AF,NA,Paprika,braun,Paprika,rot,Avokado,gruen,Bueroklammer,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
PS,18,NF,medium,Aprikose,rot,Socken,rot,Waescheklammer,orange,Birne,orange,apricot,red,33.148514851485146,32.654061351878994,25
PS,19,ANF,NA,Banane,braun,Kartoffeln,orange,Zucchini,rot,Bueroklammer,gruen,banana,brown,27.643564356435643,28.333225781197537,22
PS,20,NF,atypical,Gurke,rot,Waescheklammer,rot,Bueroklammer,braun,Sonnenbrille,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
PS,21,ANF,NA,Mandarine,orange,Zitrone,gelb,Avokado,gruen,Zucchini,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
PS,22,NF,atypical,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
PS,23,ANF,NA,Zitrone,gelb,Tomate,gruen,Socken,rot,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
PS,24,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb,tomato,green,25.99009900990099,28.510522636214493,18
PS,25,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Zucchini,rot,grapes,orange,5.871287128712871,14.374048397258605,0
PS,26,AF,NA,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
PS,27,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Socken,rot,banana,brown,27.643564356435643,28.333225781197537,22
PS,28,AF,NA,Moehre,gruen,Moehre,orange,Zucchini,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
PS,29,NF,typical,Erdbeere,rot,Bueroklammer,rot,Socken,gruen,Socken,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
PS,30,ANF,NA,Erbsen,gelb,Walnuss,braun,Avokado,rot,Socken,rot,peas,yellow,34.57425742574257,33.063377484659206,27
PS,31,NF,atypical,Moehre,gruen,Socken,gruen,Waescheklammer,gelb,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
PS,32,NF,atypical,Trauben,orange,Bueroklammer,orange,Avokado,gruen,Zucchini,gelb,grapes,orange,5.871287128712871,14.374048397258605,0
PS,33,ANF,NA,Walnuss,braun,Aprikose,rot,Bueroklammer,gruen,Birne,orange,walnut,brown,97.45544554455445,11.250355329922026,100
PS,34,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gruen,Birne,orange,suglasses,brown,52.039603960396036,24.20327283326749,57
PS,35,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
PS,36,ANF,NA,Bohnen,gruen,Erbsen,gelb,Socken,orange,Avokado,rot,beans,green,96.81188118811882,7.065002294815097,100
PS,37,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Waescheklammer,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
PS,38,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Bueroklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
PS,39,ANF,NA,Kartoffeln,orange,Erdbeere,rot,Bueroklammer,braun,Avokado,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
PS,40,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Socken,orange,Avokado,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
PS,41,ANF,NA,Erdbeere,rot,Banane,braun,Waescheklammer,gelb,Socken,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
PS,42,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Birne,orange,Socken,rot,suglasses,yellow,53.75247524752475,23.211379080353698,56
PS,43,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,orange,beans,green,96.81188118811882,7.065002294815097,100
PS,44,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Avokado,rot,Zucchini,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
PS,45,NF,typical,Zitrone,gelb,Socken,gelb,Avokado,rot,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
PS,46,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,gruen,Avokado,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
PS,47,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,orange,Sonnenbrille,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
PS,48,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Socken,gelb,Socken,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
PS,49,ANF,NA,Aprikose,rot,Bohnen,gruen,Zucchini,braun,Waescheklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
PS,50,NF,typical,Walnuss,braun,Sonnenbrille,braun,Birne,orange,Bueroklammer,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
PS,51,ANF,NA,Tomate,gruen,Mandarine,orange,Zucchini,gelb,Bueroklammer,braun,tomato,green,25.99009900990099,28.510522636214493,18
PS,52,AF,NA,Paprika,braun,Paprika,rot,Avokado,gruen,Bueroklammer,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
PS,53,NF,medium,Aprikose,rot,Socken,rot,Waescheklammer,orange,Birne,orange,apricot,red,33.148514851485146,32.654061351878994,25
PS,54,ANF,NA,Banane,braun,Kartoffeln,orange,Zucchini,rot,Bueroklammer,gruen,banana,brown,27.643564356435643,28.333225781197537,22
PS,55,NF,atypical,Gurke,rot,Waescheklammer,rot,Bueroklammer,braun,Sonnenbrille,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
PS,56,ANF,NA,Mandarine,orange,Zitrone,gelb,Avokado,gruen,Zucchini,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
PS,57,NF,atypical,Paprika,braun,Bueroklammer,braun,Zucchini,gelb,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
PS,58,ANF,NA,Zitrone,gelb,Tomate,gruen,Socken,rot,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
PS,59,NF,medium,Tomate,gruen,Sonnenbrille,gruen,Socken,rot,Waescheklammer,gelb,tomato,green,25.99009900990099,28.510522636214493,18
PS,60,AF,NA,Trauben,orange,Trauben,gelb,Socken,rot,Zucchini,rot,grapes,orange,5.871287128712871,14.374048397258605,0
PS,61,AF,NA,Gurke,rot,Gurke,braun,Waescheklammer,gelb,Socken,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
PS,62,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Socken,rot,banana,brown,27.643564356435643,28.333225781197537,22
PS,63,AF,NA,Moehre,gruen,Moehre,orange,Zucchini,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
PS,64,NF,typical,Erdbeere,rot,Bueroklammer,rot,Socken,gruen,Socken,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
PS,65,ANF,NA,Erbsen,gelb,Walnuss,braun,Avokado,rot,Socken,rot,peas,yellow,34.57425742574257,33.063377484659206,27
PS,66,NF,atypical,Moehre,gruen,Socken,gruen,Waescheklammer,gelb,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
PS,67,NF,atypical,Trauben,orange,Bueroklammer,orange,Avokado,gruen,Zucchini,gelb,grapes,orange,5.871287128712871,14.374048397258605,0
PS,68,ANF,NA,Walnuss,braun,Aprikose,rot,Bueroklammer,gruen,Birne,orange,walnut,brown,97.45544554455445,11.250355329922026,100
PS,69,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Bueroklammer,gruen,Birne,orange,suglasses,brown,52.039603960396036,24.20327283326749,57
PS,70,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
