speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
TS,1,ANF,NA,Walnuss,braun,Erdbeere,rot,Bueroklammer,gruen,Aubergine,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
TS,2,NF,medium,Kartoffeln,orange,Socken,orange,Avokado,gruen,Waescheklammer,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
TS,3,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,rot,Bueroklammer,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
TS,4,ANF,NA,Tomate,gruen,Banane,braun,Zucchini,rot,Waescheklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
TS,5,NF,atypical,Gurke,rot,Socken,rot,Birne,gruen,Bueroklammer,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
TS,6,AF,NA,Socken,gruen,Socken,orange,Zucchini,rot,Sonnenbrille,rot,socks,green,58.504950495049506,27.195817238088743,63
TS,7,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Bueroklammer,orange,Socken,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
TS,8,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Socken,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
TS,9,ANF,NA,Aprikose,rot,Kartoffeln,orange,Aubergine,gruen,Bueroklammer,gruen,apricot,red,33.148514851485146,32.654061351878994,25
TS,10,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Sonnenbrille,braun,Sonnenbrille,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
TS,11,NF,medium,Aprikose,rot,Waescheklammer,rot,Bueroklammer,gruen,Aubergine,gruen,apricot,red,33.148514851485146,32.654061351878994,25
TS,12,ANF,NA,Banane,braun,Erbsen,gelb,Bueroklammer,orange,Socken,rot,banana,brown,27.643564356435643,28.333225781197537,22
TS,13,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,orange,Socken,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
TS,14,NF,atypical,Trauben,orange,Waescheklammer,orange,Socken,gruen,Sonnenbrille,braun,grapes,orange,5.871287128712871,14.374048397258605,0
