speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
VS,1,AF,NA,Trauben,orange,Trauben,gelb,Socken,braun,Sonnenbrille,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
VS,2,NF,medium,Aprikose,rot,Socken,rot,Sonnenbrille,gruen,Waescheklammer,gelb,apricot,red,33.148514851485146,32.654061351878994,25
VS,3,ANF,NA,Erdbeere,rot,Tomate,gruen,Socken,braun,Socken,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
VS,4,NF,medium,Kartoffeln,orange,Socken,orange,Bueroklammer,gruen,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
VS,5,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,gelb,Socken,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
VS,6,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Socken,orange,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
VS,7,AF,NA,Kirsche,gelb,Kirsche,gruen,Socken,rot,Socken,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
VS,8,NF,medium,Banane,braun,Waescheklammer,braun,Socken,gruen,Sonnenbrille,gruen,banana,brown,27.643564356435643,28.333225781197537,22
VS,9,ANF,NA,Zitrone,gelb,Erdbeere,rot,Socken,gruen,Waescheklammer,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
VS,10,ANF,NA,Kartoffeln,orange,Aprikose,rot,Aubergine,gruen,Birne,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
VS,11,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Zucchini,braun,Socken,rot,carrots,green,3.99009900990099,13.916533368267366,0
VS,12,NF,atypical,Gurke,rot,Bueroklammer,rot,Socken,braun,Birne,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
VS,13,ANF,NA,Tomate,gruen,Banane,braun,Waescheklammer,gelb,Sonnenbrille,orange,tomato,green,25.99009900990099,28.510522636214493,18
VS,14,NF,typical,Erdbeere,rot,Waescheklammer,rot,Sonnenbrille,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
VS,15,AF,NA,Moehre,gruen,Moehre,orange,Zucchini,rot,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
VS,16,ANF,NA,Bohnen,gruen,Zitrone,gelb,Zucchini,rot,Socken,rot,beans,green,96.81188118811882,7.065002294815097,100
VS,17,NF,typical,Walnuss,braun,Sonnenbrille,braun,Socken,rot,Socken,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
VS,18,ANF,NA,Walnuss,braun,Bohnen,gruen,Socken,orange,Avokado,rot,walnut,brown,97.45544554455445,11.250355329922026,100
VS,19,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Birne,gruen,Aubergine,gruen,suglasses,yellow,53.75247524752475,23.211379080353698,56
VS,20,NF,typical,Mandarine,orange,Waescheklammer,orange,Birne,gruen,Zucchini,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
VS,21,AF,NA,Gurke,rot,Gurke,braun,Sonnenbrille,gruen,Birne,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
VS,22,ANF,NA,Banane,braun,Mandarine,orange,Avokado,rot,Aubergine,gruen,banana,brown,27.643564356435643,28.333225781197537,22
